BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;DISU;DISHU
IMAGES_P;2022;010000024;CH DE FLEYRIAT;010780054;M1160;1.43;;;1;;
IMAGES_P;2022;010000024;CH DE FLEYRIAT;010780054;MAUT;0.7;;;;;
IMAGES_P;2022;010000024;CH DE FLEYRIAT;010780054;N4130;13.51;;;;;
IMAGES_P;2022;010000024;CH DE FLEYRIAT;010780054;N4160;1;;;;;
IMAGES_P;2022;010000024;CH DE FLEYRIAT;010780054;NAUT;20.72;;;;;
IMAGES_P;2022;010000032;CH BUGEY SUD;010780062;M1160;1;;;1;;
IMAGES_P;2022;010000032;CH BUGEY SUD;010780062;N4130;8.04;;;1;;
IMAGES_P;2022;010000032;CH BUGEY SUD;010780062;NAUT;5.2;;;;;
IMAGES_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;0.6;;0;0;0;0
IMAGES_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N4130;0.85;;0;0;;
IMAGES_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;1;;;;;
IMAGES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2.41;0;;;;
IMAGES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4130;7.53;0;;;;
IMAGES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;4.05;0;;;;
IMAGES_P;2022;010780195;CLINIQUE CONVERT;010000156;M1160;;1;0;0;0;0
IMAGES_P;2022;020000089;CH GUISE;020000022;M1160;0;1;0;0;0;0
IMAGES_P;2022;020000089;CH GUISE;020000022;N4130;1.87;0;0;0;;
IMAGES_P;2022;020000089;CH GUISE;020000022;NAUT;1.75;0;;;;
IMAGES_P;2022;020000162;CH SAINT-QUENTIN;020000063;M1160;7.55;;1;1;1;1
IMAGES_P;2022;020000162;CH SAINT-QUENTIN;020000063;N4130;21.68;;1;1;;
IMAGES_P;2022;020000162;CH SAINT-QUENTIN;020000063;N4160;1;;;;;
IMAGES_P;2022;020000162;CH SAINT-QUENTIN;020000063;NAUT;11.7;;;;;
IMAGES_P;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1160;0.11;;0;0;0;1
IMAGES_P;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N4130;1;;0;0;;
IMAGES_P;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;1;;;;;
IMAGES_P;2022;020000394;CH LAON;020000253;M1160;3.74;;0;1;;
IMAGES_P;2022;020000394;CH LAON;020000253;N4130;14.79;;0;1;;
IMAGES_P;2022;020000394;CH LAON;020000253;NAUT;8.2;;;;;
IMAGES_P;2022;020000519;CH SOISSONS;020000261;M1160;7.35;;0;1;0;1
IMAGES_P;2022;020000519;CH SOISSONS;020000261;N4130;13.52;;0;1;;
IMAGES_P;2022;020000519;CH SOISSONS;020000261;N4160;0.8;;;;;
IMAGES_P;2022;020000519;CH SOISSONS;020000261;NAUT;10;;;;;
IMAGES_P;2022;020000535;CH CHAUNY;020000287;M1160;;4;0;0;0;0
IMAGES_P;2022;020000535;CH CHAUNY;020000287;N4130;10.34;;0;1;;
IMAGES_P;2022;020000535;CH CHAUNY;020000287;N4160;1;;;;;
IMAGES_P;2022;020000535;CH CHAUNY;020000287;NAUT;7.2;;;;;
IMAGES_P;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;M1160;0.2;;0;0;0;0
