BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2022;010000024;CH DE FLEYRIAT;010780054;1;;;1;;;1;;;;;;0;0;0;0;0;1;0;0;1;0;;5.07;0.86
INFOMED;2022;010000032;CH BUGEY SUD;010780062;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;0;1;730000015;2.63;0.05
INFOMED;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;1;;;;;;1;;;;;1;1;1;1;1;0;;;0;1;690000575;;
INFOMED;2022;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;0.01
INFOMED;2022;010000099;CH DE MEXIMIEUX;010780120;1;;;;;;1;;;;;;0;0;0;1;1;1;1;0;0;0;;0.5;0.05
INFOMED;2022;010000107;CH DE PONT DE VAUX;010780138;;1;;;;;;1;;;;;0;0;0;1;1;0;0;0;0;0;;0.2;0.1
INFOMED;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;;;;;;1;;;;;0;0;1;1;1;0;;;0;1;690000583;0.1;
INFOMED;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;1;;;;;;;;;;;0;0;1;1;1;0;;;0;1;690000583;0.4;
INFOMED;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;1;010007987;1.8;0.2
INFOMED;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;1;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;010008407;1.7;
INFOMED;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;1;;;0;0;0;0;0;0;;;0;0;;4.34;1
INFOMED;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;;;;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;1;0.2
INFOMED;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;0;;2;0.65
INFOMED;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;1;;;;;;;0;0;0;0;0;0;;;;0;;0.1;
INFOMED;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;1;010780278;0.4;0.08
INFOMED;2022;010010171;CLINIQUE DE CHATILLON;010011559;;;;;;;;;;;1;;0;0;0;0;0;1;0;0;0;1;920030269;0.3;0.1
INFOMED;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;;;;1;;;;;;0;1;;0;0;0;0;0;0;0;;;
INFOMED;2022;010780195;CLINIQUE CONVERT;010000156;;1;;;;;;;;;;;0;0;0;0;0;0;;;0;0;;2;0.3
