BOR;AN;FI;RS;FI_EJ;UNV;LIT_UNV;SEJ_UNV;JOU_UNV;EFFLIB_PM;ETPSAL_PM;GAR_PM;AST_PM;EFFLIB_NEU;ETPSAL_NEU;GAR_NEU;AST_NEU;EFFLIB_PNM;ETPSAL_PNM
MCOAVC;2022;010000024;CH DE FLEYRIAT;010780054;1;20;751;5748;;3.43;1;0;;;;;;
MCOAVC;2022;020000162;CH SAINT-QUENTIN;020000063;1;21;579;5938;;;0;1;;;0;1;;42.31
MCOAVC;2022;020000519;CH SOISSONS;020000261;1;21;512;1318;;;0;1;;;0;1;;11.61
MCOAVC;2022;030000079;CH DE MONTLUCON;030780100;1;18;582;4564;;4.57;0;1;;4.57;;;;
MCOAVC;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;13;441;4127;0;1;0;1;0;1;0;1;0;13.09
MCOAVC;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;1;22;808;7375;;6.43;0;1;;5.94;0;1;;32.11
MCOAVC;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;24;703;8382;;5.09;1;0;;4.99;1;0;;54.54
MCOAVC;2022;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;16;561;5159;;1.76;1;1;;1.76;1;1;;20.89
MCOAVC;2022;110000023;CH CARCASSONNE;110780061;1;18;805;5162;;2.15;0;1;;2.15;0;1;;32.26
MCOAVC;2022;110000056;CH NARBONNE;110780137;1;4;891;6548;;2.4;0;1;;2.4;0;1;;8.69
MCOAVC;2022;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;8;523;2120;;6.23;0;1;;6.23;0;1;;17
MCOAVC;2022;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;8;849;2058;;0.22;1;0;;0.22;1;0;;22.3
MCOAVC;2022;130783293;APHM HOPITAL LA TIMONE;130786049;1;26;1007;8204;;3.22;1;1;;3.22;;;;59.29
MCOAVC;2022;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;18;1156;5997;3;;0;1;2;;0;1;0;
MCOAVC;2022;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;13;626;3962;;4.62;0;0;;3.32;;;;38.39
MCOAVC;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;1;26;1128;9001;;1.18;0;1;;1.18;0;1;;34.48
MCOAVC;2022;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;10;551;3050;;1;0;1;;1;0;1;;12.37
MCOAVC;2022;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;28;1157;9599;;2.48;0;1;;2.48;0;1;;45.13
MCOAVC;2022;170000103;CTRE HOSP. DE SAINTONGE - SAINTES;170780175;1;15;480;1858;;1.99;0;1;;1.21;0;1;;35.19
MCOAVC;2022;180000010;CH BOURGES - JACQUES COEUR;180000028;1;12;387;3542;;3.96;0;1;;3.96;0;1;;23.34
MCOAVC;2022;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;14;601;4752;;0.1;0;1;;0.1;0;1;;14.89
MCOAVC;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;10;818;3140;0;1.5;1;0;0;1.5;1;0;;19.85
MCOAVC;2022;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;6;891;9320;;10.35;0;1;;;;;;14.64
MCOAVC;2022;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;22;741;5070;;4.64;0;1;;2.14;0;1;;11.35
