BOR;AN;FI;RS;FI_EJ;SPED;UPED;LIT_CHI_PED;LIT_MED_PED;PLA_CHI_PED;PLA_MED_PED;SEJHP_MED_PED;SEJHP_CHI_PED;SEJHC_MED_PED;SEJHC_CHI_PED;JOU_CHI_PED;JOU_MED_PED;EFFLIB_PM;EFFLIB_PED;EFFLIB_CHIPED;ETPSAL_PM;ETPSAL_PED;ETPSAL_CHIPED;GAR_PM;GAR_PED;GAR_CHIPED;AST_CHIPED;AST_PM;AST_PED;EFFLIB_INFNS;EFFLIB_PUE;EFFLIB_AUX;EFFLIB_KINE;EFFLIB_PSY;EFFLIB_APNM;ETPSAL_INFNS;ETPSAL_PUE;ETPSAL_AUX;ETPSAL_KINE;ETPSAL_PSY;ETPSAL_APNM
MCOPED;2022;010000024;CH DE FLEYRIAT;010780054;1;1;;18;;4;0;0;2236;0;0;5062;;;;5.12;4.32;;0;0;;;0;0;;;;;;;8.49;14.05;6.58;0;160;7.7
MCOPED;2022;010000032;CH BUGEY SUD;010780062;1;1;0;6;0;1;5;0;627;0;0;1110;;;;0.9;0.9;;;;;;1;1;;;;;;;5.87;1;2.32;;;4.91
MCOPED;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;;8;;1;140;0;898;0;0;2433;0;0;;2.39;1.74;;;;;;;;0;0;0;0;0;0;2.81;3.69;5.49;0;0.3;1.71
MCOPED;2022;020000162;CH SAINT-QUENTIN;020000063;1;1;0;20;0;4;308;0;2597;0;0;5496;;;;;;;1;0;;;1;0;;;;;;;14.82;11.69;18.66;1;3;17.93
MCOPED;2022;020000394;CH LAON;020000253;1;1;0;8;0;3;41;0;781;0;0;1440;0;0;0;2.31;2.31;0;1;1;;;0;0;;;;;;;8.47;;2.6;;1;5.85
MCOPED;2022;020000519;CH SOISSONS;020000261;1;;;15;;;0;0;1417;0;0;3643;;;;5.36;4.96;0.4;1;;;;0;;;;;;;;8.74;1.72;5.38;0.13;;6.44
MCOPED;2022;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;;7;;2;179;0;687;2;2;1420;;;;4.84;4.84;;1;1;0;;;;;;;;;;5.45;5.4;0.06;0.1;0.1;
MCOPED;2022;030000061;CH DE MOULINS;030780092;1;1;0;15;0;2;213;0;1048;0;0;2806;0;0;0;1.8;1.63;0.1;0;0;0;0;1;1;0;0;0;0;0;0;8.82;4.51;3.67;0;1.7;11.59
MCOPED;2022;030000079;CH DE MONTLUCON;030780100;1;1;0;26;0;0;0;0;1541;0;0;3192;;;;2.2;2.2;;0;0;;;1;1;;;;;;;14.54;4.81;18.85;;0.39;8.85
MCOPED;2022;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;;22;;;0;0;1424;0;0;3472;0;0;0;7.95;7.95;0;0;0;0;0;0;1;0;0;0;0;0;0;12.73;6.21;12.15;0;0.9;10.53
