BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2022;010000024;CH DE FLEYRIAT;010780054;270;92419;14972;4042;82796;68;22664;7260;3995;16579;47;17155;3474;786;10683;385;132238;25706;8823;110058;22;843;;;41524;20;2;;0;;;42;845;;;41524;;;1;;1;1;;;1;150;105;105;;92931;2523;63629;1204;5516;12582
MCO;2022;010000032;CH BUGEY SUD;010780062;66;24090;4020;771;21185;17;6205;970;36;4684;8;2920;501;58;1572;91;33215;5491;865;27441;8;135;0;;1292;8;1474;1;94;0;;17;1703;0;;1292;1;0;0;1;1;1;1;1;0;;90;24;;17899;1822;21383;0;1676;7021
MCO;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;59;21535;1669;9;18131;;;0;0;0;;;0;0;0;59;21535;1669;9;18131;;0;;;0;;0;;0;;;;0;;;0;;;1;;;;1;;;;;;;;;;;;
MCO;2022;010000099;CH DE MEXIMIEUX;010780120;10;3650;170;1;2670;;;0;0;0;;;0;0;0;10;3650;170;1;2670;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;
MCO;2022;010000107;CH DE PONT DE VAUX;010780138;15;5475;177;3;2259;;;0;0;0;;;0;0;0;15;5475;177;3;2259;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;12;4380;72;0;1468;0;0;0;0;0;0;0;0;0;0;12;4380;72;0;1468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;8;2920;126;0;2106;0;0;0;0;0;0;0;0;0;0;8;2920;126;0;2106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
MCO;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;8;2920;329;2;2818;;;0;0;0;;;0;0;0;8;2920;329;2;2818;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;16;5840;281;4;4114;;;0;0;0;;;0;0;0;16;5840;281;4;4114;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;1;0;;;;;1123;;;;;250
MCO;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;60;21900;4068;347;20063;20;7300;1057;45;4697;17;6205;916;177;2669;97;35405;6041;569;27429;7;1281;;;345;8;1385;1;95;;;16;2761;;;345;1;1;1;1;1;1;1;1;1;30;180;30;130;24992;4173;23438;401;3366;8769
MCO;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;2038;;0;;;2;2038;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;010780195;CLINIQUE CONVERT;010000156;28;10220;3481;843;13387;69;25185;5024;1301;11848;0;0;0;0;0;97;35405;8505;2144;25235;0;0;0;0;3709;33;9392;0;0;;;33;9392;0;0;3709;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
MCO;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;26;9490;5544;2408;12935;30;10950;2483;467;6358;15;5475;756;13;2876;71;25915;8783;2888;22169;2;522;;;333;28;6169;;0;;;30;6691;;;333;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2022;020000089;CH GUISE;020000022;28;10220;839;195;7157;0;0;0;0;0;0;0;0;0;0;28;10220;839;195;7157;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;14;1;1;1;1;0;1;1;1;0;150;;50;;7584;1161;1206;0;217;
MCO;2022;020000097;CH LA FÈRE;020000048;38;13870;664;7;10313;;;0;0;0;;;0;0;0;38;13870;664;7;10313;;0;;;0;;0;;0;;;;0;;;0;;;;;;0;;;1;;;;;238;108;417;;67;
MCO;2022;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;15;5475;276;7;2871;;;0;0;0;;;0;0;0;15;5475;276;7;2871;;0;;;0;;0;;0;;;;0;;;0;1;0;1;0;0;0;0;1;0;45;;;;988;;814;;;
MCO;2022;020000162;CH SAINT-QUENTIN;020000063;278;116321;18414;1648;97703;86;30748;4273;293;16603;28;10220;2199;121;7758;392;157289;24886;2062;122064;21;4143;2;374;48529;25;6003;1;709;0;;47;10855;2;374;48529;1;;1;1;1;1;1;1;1;180;118;39;120;110889;2732;61023;1;4539;12404
MCO;2022;020000246;CH VERVINS;020000071;26;9490;392;9;5966;;;0;0;0;;;0;0;0;26;9490;392;9;5966;;0;;;0;;0;;0;;;;0;;;0;1;0;1;1;0;0;0;0;0;;;;;1025;97;371;;42;54
MCO;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;0;0;0;30;10140;1002;2;2532;;;0;0;0;30;10140;1002;2;2532;;1187;;;0;18;4065;;0;;;18;5252;;;0;;;;;;;;;;;;;;;;;;;
MCO;2022;020000394;CH LAON;020000253;131;47574;7902;2503;39908;34;12407;2608;160;9974;18;6570;1273;146;4525;183;66551;11783;2809;54407;14;1571;;;8352;11;1736;0;241;;;25;3548;;;8352;1;0;1;1;1;1;1;1;1;84;;8;;31839;4542;48533;385;5697;10179
MCO;2022;020000519;CH SOISSONS;020000261;198;71326;11593;1252;63290;38;13186;3232;1608;8877;21;7665;2232;685;5939;257;92177;17057;3545;78106;10;1420;;;20990;15;0;;0;;;25;1420;;;20990;1;0;1;1;1;1;1;0;1;;;;;51959;1081;52461;286;2779;10393
