BOR;AN;FI;RS;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;;0;0;0;;1;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;29;0;1;1;14;1;1;1061;0;;2487;91;11394;9;2;38;116;865;441;1129;364;49;1766
NEUROCHIR;2022;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;0;3;0;0;0;;0;0;;0;;165;0;824;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2022;130780521;APHM HOPITAL NORD;130786049;1;25;0;0;0;;1;1;885;0;;1276;18;7592;18;1;88;148;897;271;575;0;0;0
NEUROCHIR;2022;130783293;APHM HOPITAL LA TIMONE;130786049;1;61;0;0;1;61;1;1;1500;0;;3552;65;21779;21;1;88;141;1701;599;2180;487;47;3210
NEUROCHIR;2022;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;115;0;1;1;4;1;1;;0;;1768;3;9613;3;0;10;56;620;142;700;183;2;534
NEUROCHIR;2022;140000209;CHU COTE DE NACRE - CAEN;140000100;1;42;1;1;0;;1;1;;1;;2189;82;13528;7;1;18;187;2609;549;1776;297;30;1700
NEUROCHIR;2022;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;30;1;1;1;4;1;1;1407;1;21;1838;34;7756;5;0;20;131;975;73;399;358;35;1794
NEUROCHIR;2022;250006954;CHRU JEAN MINJOZ;250000015;1;33;0;1;0;;1;1;;1;;1886;49;9297;13;1;69;70;493;85;806;283;8;1786
NEUROCHIR;2022;260020078;SERVICE NEUROCHIRURGIE - CHU42;420784878;1;10;0;0;0;;0;0;;0;;460;72;2648;1;1;0;0;0;0;0;0;0;0
NEUROCHIR;2022;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;42;0;1;1;8;1;1;8000;0;;1727;29;13039;23;0;97;160;963;12;65;326;13;1368
NEUROCHIR;2022;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;20;0;0;0;;1;0;;0;;913;32;5153;6;0;31;43;178;69;177;0;0;0
NEUROCHIR;2022;300012598;GCS NEUROCHIRURGIE DU GARD;300012580;1;15;0;0;0;;1;0;;0;;531;24;3104;1;0;2;0;0;0;0;0;0;0
NEUROCHIR;2022;300780152;HOPITAL PRIVE LES FRANCISCAINES NIMES;300017985;1;20;0;1;0;;0;0;;0;;669;5;2181;0;0;0;4;5;76;81;0;0;0
NEUROCHIR;2022;300782117;CHU NIMES CAREMEAU;300780038;1;11;0;0;0;;1;1;;1;;558;11;3232;6;1;13;36;306;127;582;0;0;0
NEUROCHIR;2022;310780283;CL DE L'UNION SAINT JEAN;310000112;1;34;0;0;0;;1;0;;0;;1395;6;4433;3;0;5;6;8;120;301;0;0;0
NEUROCHIR;2022;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;35;;;1;2;1;0;;0;;2787;21;11100;1;0;2;61;431;166;702;104;11;427
NEUROCHIR;2022;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;78;1;1;0;;1;1;5423;1;274;2890;24;20801;48;0;234;261;2958;721;1816;611;40;3557
NEUROCHIR;2022;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;70;1;1;0;;1;0;;0;;2426;49;15821;192;2;561;720;5500;943;1190;870;248;3154
NEUROCHIR;2022;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;25;1;1;0;;1;0;;0;;1535;8;6241;2;0;6;81;279;623;760;0;0;0
NEUROCHIR;2022;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;53;0;0;1;8;1;1;;1;;2363;58;11905;249;5;1247;83;1149;841;2363;862;83;3795
NEUROCHIR;2022;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;48;0;1;1;;0;1;4;1;0;2569;56;15094;27;4;63;119;1295;448;1627;484;54;1804
NEUROCHIR;2022;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;5;0;0;1;1;0;1;;0;;5;0;6;1028;384;2115;37;180;81;152;0;0;0
NEUROCHIR;2022;370000861;CHRU BRETONNEAU - TOURS;370000481;1;30;1;1;1;0;1;1;3650;0;;2054;60;9246;9;0;42;114;1821;620;2542;471;28;2514
NEUROCHIR;2022;380000067;HOPITAL NORD - CHU38;380780080;1;39;1;1;0;;1;1;2920;1;;2182;59;11724;37;3;159;326;2075;415;1291;355;106;1776
NEUROCHIR;2022;420785354;HOPITAL NORD - CHU42;420784878;1;43;1;1;1;2;1;1;4745;1;78;2210;62;13778;28;4;131;86;979;297;936;209;13;1599
NEUROCHIR;2022;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;31;1;1;0;;1;0;;0;;1350;321;6014;9;1;21;336;1617;126;237;367;34;2186
NEUROCHIR;2022;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;18;0;0;0;;0;0;;0;;656;4;5137;7;0;53;97;639;161;477;13;0;63
NEUROCHIR;2022;490000049;CHR ANGERS SITE LARREY;490000031;1;32;0;0;1;2;1;;;;;1603;44;9198;12;0;33;132;789;50;297;222;51;1098
NEUROCHIR;2022;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;29;0;1;1;6;1;1;520;0;;2151;651;6950;7;6;1;47;476;566;1443;330;9;1483
NEUROCHIR;2022;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;72;1;1;1;8;1;1;;1;193;2556;30;21855;7;0;61;133;1642;115;1235;512;46;2817
NEUROCHIR;2022;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;8;0;0;1;8;1;0;;0;;0;0;0;464;5;2217;123;464;4;6;21;2;120
NEUROCHIR;2022;590000618;CH VALENCIENNES;590782215;1;20;1;1;0;;1;1;60;1;493;1214;172;6011;10;3;29;95;694;25;259;0;0;0
NEUROCHIR;2022;590796975;HOP SALENGRO - HOPITAL B CHR LILLE;590780193;1;125;1;1;1;1;1;;5174;1;32;4236;297;22038;705;191;2457;222;3320;28;343;784;92;3321
NEUROCHIR;2022;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;60;1;1;1;0;1;0;;0;;2390;41;14528;17;0;72;249;1956;109;1198;409;28;2603
NEUROCHIR;2022;630781268;HOPITAL ESTAING - CHU63;630780989;0;;0;0;0;;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2022;640000162;CH DE LA COTE BASQUE - BAYONNE;640780417;1;21;0;0;0;0;0;0;;0;;1609;65;7044;12;5;18;52;609;96;269;0;0;0
NEUROCHIR;2022;640780946;POLYCLINIQUE DE NAVARRE;640000469;1;32;0;1;0;;1;0;;0;;199;6;1106;0;0;0;0;0;16;93;0;0;0
NEUROCHIR;2022;660000084;CH PERPIGNAN;660780180;1;23;1;1;1;2;1;1;360;1;360;901;28;7171;7;0;38;86;751;84;386;0;0;0
NEUROCHIR;2022;660780669;POLYCL MEDITERRANEE;660000324;1;4;;;;;;;;;;143;0;626;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2022;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;50;0;1;1;6;1;1;;0;;1629;77;8895;11;1;48;94;891;22;624;338;35;1442
NEUROCHIR;2022;680000684;HOPITAL LOUIS PASTEUR;680000973;1;45;0;0;1;1;1;1;2320;1;300;2337;85;12865;5;1;28;178;1582;13;29;156;28;749
NEUROCHIR;2022;690007539;HOPITAL FEMME MERE ENFANT - HCL;690781810;1;10;0;0;0;;0;0;;0;;2;0;10;627;39;3391;76;212;198;299;0;0;0
NEUROCHIR;2022;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;15;0;0;0;;1;0;;0;;348;4;1579;0;0;0;8;19;148;228;0;0;0
NEUROCHIR;2022;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;0;3;0;0;0;;0;0;;0;;279;12;635;0;0;0;1;3;0;0;0;0;0
NEUROCHIR;2022;690784178;HOPITAL PIERRE WERTHEIMER - HCL;690781810;1;114;1;1;1;5;1;;;0;;4782;1734;18842;54;40;65;167;1532;527;1413;705;62;2690
NEUROCHIR;2022;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;14;0;1;0;;1;1;;1;;835;10;4371;9;0;35;87;372;74;278;72;2;286
