BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2022;010000024;CH DE FLEYRIAT;010780054;;;;2;D;C;;;;;;;1;D;B;;;;;;;609;C;D;;;;;;;;;;
ORG;2022;010000032;CH BUGEY SUD;010780062;0;;;2;A;B;0;;;0;;;1;A;;2;A;B;0;;;25;C;;1;C;;1;1;SAVOIE BELLEY;;;;
ORG;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;;;;;;;;;;1;A;;;;;1;C;;;;;;;;;;;
ORG;2022;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;;;;;;;;;;;;1;A;B;;;;;;;0;;;;;;
ORG;2022;010000099;CH DE MEXIMIEUX;010780120;;;;2;A;B;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;
ORG;2022;010000107;CH DE PONT DE VAUX;010780138;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;;;;;;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;
ORG;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;;1;C;;;;;;;;;;;;;;;;;3;D;C;;;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;3;C;D;;;;;;;;;;;;;;;;;;;10;C;D;;;;0;;;;;;
ORG;2022;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;;;;;;;;;;;;;;;;;;;;5;C;A;;;;0;;;;;;
ORG;2022;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;;;;;;;;;;;;;;;3;C;;;;;0;;;;;;
ORG;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;010010171;CLINIQUE DE CHATILLON;010011559;4;C;D;0;;;0;;;0;;;0;;;0;;;2;C;;4;;;;;;1;1;VAL RHÔNE SANTÉ;;;;
ORG;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;010780195;CLINIQUE CONVERT;010000156;;;;;;;;;;;;;;;;2;A;;;;;;;;;;;0;;;;;;
ORG;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;;;;1;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;010780294;NEPHROCARE CH BELLEY;690000278;;;;;;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;
ORG;2022;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;;;;;;;;;;;;;;;10;C;D;;;;0;;;;;;
ORG;2022;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;;;;;;;1;C;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;020000097;CH LA FÈRE;020000048;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2022;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;;;;;;;;;;;;;;;;;;;;104;C;;;;;0;;;;;;
ORG;2022;020000162;CH SAINT-QUENTIN;020000063;;;;3;D;;;;;;;;;;;;;;1;C;;263;C;A;;;;;;;;;;
ORG;2022;020000246;CH VERVINS;020000071;;;;;;;;;;;;;1;B;;;;;;;;1;D;;;;;;;;;;;
ORG;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;1;A;D;;;;;;;3;A;B;;;;;;;82;C;A;8;C;A;0;;;;;;
ORG;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;0;;;0;;;0;;;0;;;0;;;1;A;;0;;;2;;;0;;;1;1;AISNE SUD- SAPHIR;;;;
ORG;2022;020000394;CH LAON;020000253;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;
ORG;2022;020000519;CH SOISSONS;020000261;;;;2;D;;;;;;;;;;;10;D;;;;;163;C;A;;;;;;;;;;
ORG;2022;020000535;CH CHAUNY;020000287;;;;5;D;A;;;;;;;2;B;A;2;D;A;;;;;;;;;;0;;;;;;
ORG;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;1;B;;;;;1;E;;2;B;B;;;;;;;1;D;;;;;0;;;;;;
ORG;2022;020001061;CH CHÂTEAU-THIERRY;020004404;;;;;;;;;;;;;1;B;;;;;;;;17;A;D;;;;;;;;;;
ORG;2022;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AISNE NORD;;;;
ORG;2022;020004297;HAD AMSAM SOISSONS;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;AISNE NORD;AISNE SUD- SAPHIR;;;
ORG;2022;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;;;;1;B;;;;;;;;1;B;;;;;1;;;23;;;;;;0;;;;;;
ORG;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;020010310;SSR AURORE BUCY-LE-LONG;750719361;;;;;;;;;;;;;;;;;;;;;;23;C;A;;;;0;;;;;;
ORG;2022;020016341;SSR RENAISSANCE SOISSONS;750814030;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;
ORG;2022;030000061;CH DE MOULINS;030780092;1;C;;4;A;C;;;;;;;;;;2;D;B;1;C;;;;;;;;1;1;ALLIER PUY-DE-DÔME;;;;
ORG;2022;030000079;CH DE MONTLUCON;030780100;;;;1;A;;;;;;;;;;;;;;;;;38;C;D;;;;;;;;;;
ORG;2022;030000087;CH JACQUES LACARIN VICHY;030780118;;;;3;D;G;;;;;;;1;A;;;;;1;C;;;;;;;;1;1;ALLIER PUY-DE-DÔME;;;;
ORG;2022;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;;;;30;A;C;;;;;;;4;A;;1;A;;;;;28;A;C;6;A;B;;;;;;;
