BOR;AN;FI;RS;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A37;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A36;PHARMA_F8;PHARMA_G8;PHARMA_E8;PHARMA_H8;PHARMA_F9;PHARMA_G9;PHARMA_H9;PHARMA_E9;PHARMA_A20;PHARMA_A11;PHARMA_B14;PHARMA_C14;PHARMA_A16;PHARMA_A38;PHARMA_A17;PHARMA_A18;PHARMA_A39;PHARMA_A40;PHARMA_A41;PHARMA_A42;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A43;PHARMA_A44;PHARMA_A45;PHARMA_A46;PHARMA_A47;PHARMA_A25;PHARMA_A26;PHARMA_A48;PHARMA_A49;PHARMA_A50;PHARMA_F29;PHARMA_F30;PHARMA_F31;PHARMA_F32;PHARMA_F33;PHARMA_F34;PHARMA_F35;PHARMA_G29;PHARMA_G30;PHARMA_G31;PHARMA_G32;PHARMA_G33;PHARMA_G34;PHARMA_G35;PHARMA_D29;PHARMA_E29
PHARMA;2022;010000024;CH DE FLEYRIAT;010780054;1;4;0;;1;;0;290;0;52;104;169;0;;;;;;;;;1;1;156;169;1;1;0;0;0;0;61005;6240;1;1;50;0;690;1;0;0;0;1;1;4;1;4;8.08;0.6;2;1.5;23.8;16.82;4.17;;;;;;;;0;1
PHARMA;2022;010000032;CH BUGEY SUD;010780062;0;;;;1;0;0;133;0;40;0;185;0;;;;;;;;;1;1;0;185;1;0;0;0;1;0;3925;1578;1;0;;;;0;0;0;0;0;0;;;;2.1;;0.6;0.11;5.1;;1.7;0;;;;;;;0;1
PHARMA;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;;;;59;;69;30;296;0;;;;;;;;;1;1;30;296;0;1;0;0;1;0;8135;743;0;0;;;;0;1;0;0;0;0;;;;1.4;;;;2.59;;;;;;;;;;0;0
PHARMA;2022;010000081;CH DU PAYS DE GEX;010780112;0;;;;1;0;0;;;20;30;240;0;;;;;;;;;0;1;50;240;0;0;0;0;0;0;;78;1;0;;;;0;0;0;0;0;0;;;;1;;;;2.8;;;;;;;;;;0;0
PHARMA;2022;010000099;CH DE MEXIMIEUX;010780120;0;;;;;;;10;0;20;0;121;0;;;;;;;;;1;1;30;121;0;0;0;0;1;0;3813;763;0;0;;;;0;0;0;0;0;0;;;;0.93;;;0;2.18;0;0;;;;;;;;0;0
PHARMA;2022;010000107;CH DE PONT DE VAUX;010780138;1;4;0;;0;0;0;15;;20;;172;0;;;;;;;;;1;1;35;172;0;1;0;0;1;0;3712;516;0;0;;;;0;1;0;1;0;0;;;;0.48;;;;0.29;;;;;;;;;;0;0
PHARMA;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;;;;;;;8;;29;;234;0;;;;;;;;;1;1;;234;0;1;0;0;1;0;7000;150;1;0;;;;0;1;0;0;0;0;;;;0.9;;;;2.8;;;;;;;;;;0;0
PHARMA;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;1;1;1;30;;194;;69;1;1;1;1;1;1;1;1;1;1;1;224;69;0;1;0;0;1;1;;;1;0;;;;0;1;1;0;0;0;;;;2;;;;3.8;1;1;;;;;;;;0;0
PHARMA;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;0;;;;1;;;;315;;;;0;;;;;;;;;1;1;30;;0;0;0;0;0;0;17630;2752;1;0;;;;1;0;0;0;0;0;;;;3.3;;;;3.6;1;0.71;;;;;;;;0;1
PHARMA;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;0;;;;;;;;;100;;;1;0;0;1;0;0;0;0;0;1;1;100;;0;0;0;0;1;0;17;;0;0;;;;0;0;0;0;0;0;;;;1.07;;;;0.9;;;;;;;;;;0;0
PHARMA;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;;;120;;28;35;;0;;;;;;;;;1;1;65;255;1;1;0;0;1;0;;;1;0;;;;0;0;0;0;1;1;2;;2;2.5;0.5;0;0;9.06;4.97;1.08;0;0;0;0;0;0;0;0;0
PHARMA;2022;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;;;;;;;;0;;;;;;;;;1;1;;;0;0;0;0;0;0;;;0;1;50;;;0;0;0;0;0;0;;;;0.5;;;;;;;;;;;;;;0;0
PHARMA;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;0;;;;1;0;0;;;56;;;0;;;;;;;;;1;1;56;;0;0;0;0;0;0;2557;23;0;0;;;;0;0;0;0;0;0;;;;0.58;;;;1.61;;;;;;;;;;0;0
PHARMA;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0;;;;;;;;;91;;;0;;;;;;;;;1;1;91;;0;0;0;0;1;1;14045;611;0;0;;;;0;0;0;0;0;0;;;;1.1;;;;0.3;;;;;;;;;;0;0
PHARMA;2022;010780195;CLINIQUE CONVERT;010000156;0;;;;1;0;0;137;0;0;0;0;0;;;;;;;;;1;1;65;0;1;0;0;0;0;0;;;0;0;;;;0;0;0;0;1;1;2;0;2;1.52;0.4;0.7;0;6.93;2;0;0;0;0;0;0;0;0;0;0
PHARMA;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;;;71;;;;;0;;;;;;;;;1;1;;;0;0;0;0;0;0;;;0;1;60;;;0;0;0;0;1;0;;;;1.72;0.5;;;6.51;;;;;;;;;;0;0
PHARMA;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;0;;;;1;1;;;;100;;;0;;;;;;;;;1;1;100;;0;1;0;0;0;0;3451;56;0;0;;;;0;0;0;0;0;0;;;;0.77;;;;1.98;;;;;;;;;;0;0
PHARMA;2022;010780492;CRF ROMANS-FERRARI;360000707;0;;;;;;;;;67;;;0;;;;;;;;;1;1;67;;0;0;0;0;0;0;3297;123;0;0;;;;0;0;0;0;0;0;;;;0.93;;;;;;;;;;;;;;0;0
PHARMA;2022;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;0;;;;;;;;;30;;50;0;;;;;;;;;1;1;30;50;0;0;0;0;0;0;;;0;0;;;;0;0;0;1;0;0;;;;0.5;;;;0.5;;;;;;;;;;0;0
PHARMA;2022;020000089;CH GUISE;020000022;0;;;;0;0;0;58;0;42;30;115;0;;;;;;;;;1;1;130;115;0;0;0;0;1;0;13749;815;1;1;30;0;0;0;0;0;0;0;0;0;0;0;2.03;0;0;0;3.81;0.52;0;0;0;0;0;0;0;0;0;0
PHARMA;2022;020000097;CH LA FÈRE;020000048;1;4;0;;;;;38;;31;;105;0;;;;;;;;;1;1;69;;0;0;0;0;1;0;9460;120;1;0;;;;0;0;0;0;0;0;;;;1.1;;;;1.86;;;;;;;;;;0;0
PHARMA;2022;020000162;CH SAINT-QUENTIN;020000063;1;4;0;;0;0;1;493;112;49;60;191;1;0;0;0;1;0;1;0;0;1;1;127;;1;0;0;0;1;1;42267;11472;1;0;;;;0;0;0;0;0;0;;;;9;;1.8;1.15;20.67;37.95;2.5;;;;;;;;0;1
PHARMA;2022;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;0;;;;;;;;;247;;;0;;;;;;;;;1;1;;;0;0;0;0;1;0;18879;752;0;0;;;;0;1;0;0;0;0;;;;2.14;;;;4.56;;0.51;;;;;;;;0;0
PHARMA;2022;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;;;;;;;30;;;;;0;;;;;;;;;1;1;;;0;0;0;0;1;0;18;;0;0;;;;0;0;0;0;0;0;;;;1.25;;;;1.95;;;;;;;;;;0;0
PHARMA;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;0;;;;;;;;86;;;;0;;;;;;;;;1;1;86;0;0;0;0;0;1;1;9582;984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PHARMA;2022;020000394;CH LAON;020000253;1;4;0;8;0;0;1;265;;260;40;672;1;0;1;1;1;1;0;1;1;1;1;207;52;1;0;0;0;0;1;160372;4018;1;1;;;500;0;0;0;0;0;0;;;;3.58;;;;5.9;3;2.69;;;;;;;;0;1
PHARMA;2022;020000519;CH SOISSONS;020000261;0;;;;1;1;1;269;;60;50;290;0;;;;;;;;;1;1;134;290;1;1;0;0;1;1;;;1;0;;;;0;0;0;0;1;1;2;0;3;4.55;0.8;;1;9.28;11.65;2;;;;;;;;0;1
PHARMA;2022;020000535;CH CHAUNY;020000287;1;4;;;0;0;0;155;0;38;44;166;1;0;0;0;0;0;0;0;0;0;1;64;204;0;0;0;0;1;1;;;1;0;0;0;0;0;0;0;0;0;0;0;0;;3.62;;;;7.69;1.3;3.19;;;;;;;;0;1
PHARMA;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0;;;;;;;;;;;;0;;;;;;;;;1;1;;;0;0;0;0;1;0;16135;2910;0;0;;;;0;0;0;0;0;0;;;;2;;;0.5;6;;1.5;;;;;;;;0;0
PHARMA;2022;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;0;;;;;;;;;184;;;0;;;;;;;;;1;1;;;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;0;0;;;;1;;;;2;;;;;;;;;;0;1
PHARMA;2022;020001061;CH CHÂTEAU-THIERRY;020004404;0;;;;1;;;187;;;;285;0;;;;;;;;;1;1;;;0;0;0;0;0;0;68027;4811;1;1;;;113;0;0;0;0;1;1;3;;2;2.9;0.2;0.4;0.33;7.22;3;0.8;;;;;;;;0;1
