BOR;AN;FI;RS;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;14741;68;11;;27;544;297;83;4;;30;496;309;60531;4336;1851;;180;18630;7260;9224;6;27;;;85;91;159166;366;705;;110;1987;682;1;0.8;1;10.5;0;;0;;0;;0;0
PSY2;2022;010010171;CLINIQUE DE CHATILLON;010011559;1034;;;;;;;;;;;;;42841;;;;;;;4943;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;603;0;0;0;0;0;0;;;;;;;28541;;;;;;;2208;;;;;;;;;;;;;;0;;1;18.36;0;;0;;0;;0;0
PSY2;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;1896;60;2;0;69;175;192;67;2;0;111;193;216;95567;5656;614;0;844;6566;5425;17729;20;0;0;0;53;0;124631;739;0;0;7;943;939;1;5;1;1.8;1;0.8;1;;0;;0;0
PSY2;2022;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;411;;;;;;;;;;;;;18422;;;;;;;2777;;;;;;;;;;;;;;0;;1;13.24;0;;0;;0;;;0
PSY2;2022;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;422;16;;;;60;60;30;;;;68;92;12892;1118;;;;1860;3141;7754;59;;;;117;36;22997;2;;;;;6;1;1.5;0;;0;;0;;0;;0;0
PSY2;2022;030000061;CH DE MOULINS;030780092;4866;35;1;2;26;138;31;33;1;3;23;163;35;33844;2281;348;13;185;6956;1325;9275;99;0;4;0;669;46;48416;306;0;7;11;402;40;1;1;1;37.63;1;36.99;0;;0;;0;0
PSY2;2022;030000087;CH JACQUES LACARIN VICHY;030780118;3673;59;;;;201;3;20;;;;168;16;28721;1843;;;;5617;18;2976;0;;;;315;0;74937;382;;;;1375;0;0;;1;36.2;1;3.04;0;;0;;0;0
PSY2;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;865;0;0;0;0;0;0;;;;;;;104944;;;;;;;0;;;;;;;22913;;;;;;;0;;1;1.35;0;;0;;0;;0;0
PSY2;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;2218;21;;1;;94;;34;;1;;139;;10737;339;;;;915;;6530;142;;;;316;;44842;1402;;11;;3884;;1;0.5;1;19.21;1;3.19;0;;0;;;0
