BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFLIB_PKT;HPLETPSAL_PKT;HPLEFFLIB_MED;HPLETPSAL_MED;HPLEFFLIB_PNM;HPLETPSAL_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;GEN;;4;;;304;;;;;;110578;87;;;2938;89233;;;;;;;7319;;;;12;1;13;74149;6182;29292;8448;2552;3331;0;11422;9573;;23.07;;13.47;0;1;;639.36;382.3;91.6;32.55;6.95;39.57;;7.42;;1.13;;363.36;183.81;85.32;4.21;;11.75
PSY;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INF;;1;;;11;;;;;;4015;14;;;201;3555;;;;;;;2114;;;3;8;1;6;23301;2103;7412;119;133;507;692;2914;2612;;7.3;;;0;1;;123.08;59.44;4.25;23.28;11.49;15.48;;1.27;;;;33.44;19.64;3.15;2.46;0.3;2.43
PSY;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;3785;;1010;;;;;887;856;;0.46;;;;;;5.67;2.36;;3.31;;;;;;;;;;;;;
PSY;2022;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;TOT;0;;5;1;315;;;;;;114593;101;;;3139;92788;;;;;;;9433;;;4;20;2;20;101235;8285;37714;8567;2685;3838;692;14865;12876;;30.83;;13.47;;;;768.11;444.1;95.85;59.14;18.44;55.05;;8.69;;1.13;;396.8;203.45;88.47;6.67;0.3;14.18
PSY;2022;010010171;CLINIQUE DE CHATILLON;010011559;GEN;;;;;85;;;;15;;31025;20;4;;1023;31411;;;;11430;;;4943;;;;;;;;;;;;;;1034;;5;0.18;;0.4;0;0;;56.72;26.4;20.36;5.13;2.31;2.52;;;;;;;;;;;
PSY;2022;010010171;CLINIQUE DE CHATILLON;010011559;INF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;0;0;;;;;;;;;;;;;;;;;;
PSY;2022;010010171;CLINIQUE DE CHATILLON;010011559;TOT;0;;;0;85;;;;15;;31025;20;4;;1023;31411;;;;11430;;;4943;;;;;;;;;;;;;;1034;;5;0.18;;0.4;;;;56.72;26.4;20.36;5.13;2.31;2.52;;;;;;;;;;;
PSY;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;GEN;;;;;86;;;;;;31390;10;;;830;28541;;;;;;;2208;;;;;;;;;;;;;;603;;5;;0;0.42;0;0;0;57.84;26.37;5;1.87;0;1.39;5;;;0.42;0;55.47;23.58;5;1.37;0;1.39
PSY;2022;020000386;CLINIQUE DE LA ROSERAIE;020000600;TOT;0;;;0;86;;;;;;31390;10;;;830;28541;;;;;;;2208;;;;;;;;;;;;;;603;;5;;;0.42;;;;57.84;26.37;5;1.87;0;1.39;5;;;0.42;;55.47;23.58;5;1.37;0;1.39
PSY;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;GEN;;5;;;288;80;0;0;0;0;105120;52;0;0;2252;81057;29338;0;0;0;0;0;7425;0;0;1;6;25;3;46055;2992;7072;19463;1642;2717;16;7517;5879;;30.8;;;1;0;;650.71;390.13;93;19.7;4;26.05;;14.27;;;;402.97;235.5;;;;
PSY;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;INF;;3;;;24;4;;;0;0;7380;118;0;0;387;4086;188;;;0;0;0;10377;0;0;1;8;18;0;34682;1185;0;263;5;483;160;3959;3670;;12.28;;;1;0;;201.06;93.74;5;28.6;11;27.1;;2.32;;;;51.35;33.9;4;0.8;0;2.8
PSY;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;PEN;;;;;0;;;;;;0;0;;0;0;0;;;;;;;0;;0;0;2;;1;0;;1358;9166;;;;905;837;;2.6;;;;;;42.41;30.94;3;4;0;0;;1.34;;;;32.28;22.8;3;5;0;0
PSY;2022;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;TOT;1;;5;1;312;84;0;0;0;0;112500;170;0;0;2639;85143;29526;0;0;0;0;0;17802;0;0;2;16;43;4;80737;4177;8430;28892;1647;3200;176;12159;10254;;45.68;;;;;;894.18;514.81;101;52.3;15;53.15;;17.93;;;;486.6;292.2;7;5.8;0;2.8
PSY;2022;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;GEN;;;;;60;;;;;;21900;12;;;588;18422;;;;;;;2777;;;;;;;;;;;;;;411;0;5;;;;0;0;16;79.96;31.29;21.97;1.37;;;;;;;;;;;;;
PSY;2022;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;TOT;0;;;0;60;;;;;;21900;12;;;588;18422;;;;;;;2777;;;;;;;;;;;;;;411;0;5;;;;;;16;79.96;31.29;21.97;1.37;;;;;;;;;;;;;
PSY;2022;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;GEN;;2;;;71;1;0;0;2;0;25185;36;4;;1056;19799;365;;;31;;83;7892;74;;2;1;1;4;23005;3071;1121;801;160;1999;;2843;2831;;;;;1;0;;114.32;91;0.09;3.76;;1.61;;;;;;;;;;;
PSY;2022;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;TOT;1;;0;0;71;1;0;0;2;0;25185;36;4;;1056;19799;365;;;31;;83;7892;74;;2;1;1;4;23005;3071;1121;801;160;1999;;2843;2831;;;;;;;;114.32;91;0.09;3.76;;1.61;;;;;;;;;;;
PSY;2022;030000061;CH DE MOULINS;030780092;GEN;;2;;;116;15;0;15;0;0;42340;37;0;4;921;31542;4384;0;3496;0;0;0;5428;0;2063;0;7;4;1;20700;1653;388;7782;1527;624;147;4006;3308;;9.28;;3.56;0;1;;235.02;124.94;17.4;5.5;3.23;5.05;0;6.74;0;2.16;0;138.28;90.84;12.39;1.56;0;1.75
PSY;2022;030000061;CH DE MOULINS;030780092;INF;;1;;;19;26;;;0;0;6935;26;0;0;88;2696;2834;;;0;0;0;3319;0;0;0;3;2;2;9512;561;1942;949;171;412;219;975;861;;3.55;;0.6;0;0;;88.48;43.48;4.39;3.51;2.16;9.86;0;2.57;0;0.6;;26.78;15.3;1.82;0.4;0;1.73
PSY;2022;030000061;CH DE MOULINS;030780092;PEN;;;;;0;;;;;;0;0;;0;0;0;;;;;;;0;;0;0;0;;;0;;0;0;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2022;030000061;CH DE MOULINS;030780092;TOT;1;;2;1;135;41;0;15;0;0;49275;63;0;4;1009;34238;7218;0;3496;0;0;0;8747;0;2063;0;10;6;3;30212;2214;2330;8731;1698;1036;366;4947;4149;;12.83;;4.16;;;;323.5;168.42;21.79;9.01;5.39;14.91;;9.31;;2.76;;165.06;106.14;14.21;1.96;0;3.48
PSY;2022;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;;2;;;85;4;;16;;;30989;35;;;747;21523;703;;3518;;;;2055;;;;3;;1;24769;;1426;10208;3508;878;0;2659;2015;0;7.97;0;0;;1;0;155.82;98.13;19.65;7.91;0;3.8;0;5.49;0;0;0;110.2;68.55;19.65;1;0;2.8
PSY;2022;030000087;CH JACQUES LACARIN VICHY;030780118;INF;;1;;;;4;;;;;;10;;;;;101;;;;;;1398;;;3;2;;1;26377;;193;263;49;453;33;847;802;0;3.41;0;0;0;0;0;33.49;7.28;0;6.87;2.87;9.72;0;0;0;0;0;;0;0;0;0;0
PSY;2022;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;1;;1;0;85;8;;16;;;30989;45;;;747;21523;804;;3518;;;;3453;;;3;5;;2;51146;;1619;10471;3557;1331;33;3707;3021;;11.38;;0;;;0;189.31;105.41;19.65;14.78;2.87;13.52;0;5.49;0;0;0;110.2;68.55;19.65;1;0;2.8
PSY;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;GEN;;1;;;49;296;0;0;0;0;17885;0;0;0;334;12777;91901;0;0;0;0;266;0;0;0;3;3;1;1;4373;17412;218;386;506;18;0;865;493;0;4;0;3.69;0;1;0;95.88;46.31;21.32;2.62;1.96;6.8;0;1;0;1.1;0;59.96;23.77;18.32;0.52;0.43;0.9
PSY;2022;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;TOT;1;;0;0;49;296;0;0;0;0;17885;0;0;0;334;12777;91901;0;0;0;0;266;0;0;0;3;3;1;1;4373;17412;218;386;506;18;0;865;493;0;4;0;3.69;;;0;95.88;46.31;21.32;2.62;1.96;6.8;0;1;0;1.1;0;59.96;23.77;18.32;0.52;0.43;0.9
PSY;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;GEN;;2;;;46;;;;;;16790;32;;;507;10888;;;;;;;5160;;;1;;1;2;10090;0;7636;4257;4;774;;1359;1062;;6.25;;;0;1;;97.54;58.66;10.33;2;0.8;2.73;;5.25;;;;67.27;39.17;10.33;0.35;0.8;1.53
PSY;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;INF;;1;;;;4;;;;;;12;;;4;;1103;;;;;;1828;;;2;;1;1;6346;2480;803;;;10;;959;919;;1.25;;;0;1;;24.22;6.3;;4.53;3.65;5.73;;;;;;;;;;;
PSY;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2022;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;TOT;1;;;1;46;4;;;;;16790;44;;;511;10888;1103;;;;;;6988;;;3;;2;3;16436;2480;8439;4425;4;784;;2310;1973;;7.5;;;;;;121.76;64.96;10.33;6.53;4.45;8.46;;5.25;;;;67.27;39.17;10.33;0.35;0.8;1.53
PSY;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;;2;;;100;10;;;;;39525;84;;;1099;30662;1810;;;;;206;14020;;;;10;1;;34016;1919;0;2433;346;1754;28;4702;4032;;15.37;;0.52;1;0;;206.01;120.09;46.11;11.92;;8.86;;10.28;;0.55;;139.07;61.62;45.66;8.41;;4.37
PSY;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;INF;;1;;;;0;;;;;730;47;;;;;;;;;;;3421;;;;7;1;;19055;3;0;6;13;867;81;1532;1385;;4.59;;;0;0;;74.02;31.87;;18.2;9.68;14.27;;;;;;;;;;;
PSY;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;0.03;;;;1.3;0.9;;0.4;;;;;;;;;;;;;
