BOR;AN;FI;RS;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1010;10;7;2;13;;;4;;9.38;12.74;;13.15;1;;5.62;2.35;32;22.12;4
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1020;2;1;;1;;;;;2.01;1.29;;;;;2.01;1.29;4;3.3;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1030;8;4;;5;;;;;8.03;8.03;;16.06;;;;;17;16.06;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1031;5;1;1;1;;;;;3.54;0.92;;4.24;;;0.1;0.12;8;4.46;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1040;;;1;;;;;;0.26;;;;;;;0.26;1;0.26;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1050;;1;1;;;;;;0.4;1;;1;;;;0.4;2;1.4;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1070;;1;1;;;;1;;0.4;1;;1;;;0.4;;2;1.4;1
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1090;4;1;1;;;;;;4.39;1;;4.02;;;1;0.37;6;5.39;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1100;2;;1;2;;;;;2.21;1.25;;2.46;;;1;;5;3.46;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1110;3;1;;1;;;;;2.17;1.4;;3.01;;;0.4;0.16;5;3.57;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1120;5;1;1;1;;;;;5.79;1.81;;6.83;;;;0.77;8;7.6;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1130;2;3;;;;;;;2.01;3.01;;5.02;;;;;5;5.02;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1140;4;3;1;;;;;;3.81;3.01;;5.82;;;1;;8;6.82;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1150;1;1;1;;;;;;1.41;1;;1.01;1;;0.4;;3;2.41;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1160;;1;;1;;;;;;1.51;;1.01;;;;0.5;2;1.51;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1170;1;2;;;;;;;1;2.01;;3.01;;;;;3;3.01;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1190;;1;;3;;;;;;2.61;;2.41;;;0.2;;4;2.61;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1320;1;2;1;3;;;;;1.4;2.71;;3.71;;;;0.4;7;4.11;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M1340;7;5;5;9;;;;;9.43;11.13;;13.04;;;;7.52;26;20.56;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2020;1;1;;;;;;;1.01;1;;2.01;;;;;2;2.01;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2030;4;1;1;;;;;;4.22;1;;5.02;;;;0.2;6;5.22;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2050;1;7;1;;;;;4;1.1;5.68;;6.52;0.16;;;0.1;9;6.78;4
Q20;2022;010000024;CH DE FLEYRIAT;010780054;M2070;;1;1;;;;;;0.2;0.92;;;;;0.2;0.92;2;1.12;
