BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2022;010000024;010780054;1000;5.93;1.4;109.49;;116.82;9.81;56.26;4.43;62.91;31.83;1.3;2.32;1.1;169.96;0.52;6.11;6.63;8.09;207.64;509.14
Q24;2022;010000024;010780054;2000;;;133.82;;133.82;19.14;349.77;80.21;277.74;66.77;8.81;33.89;26.92;863.25;1.8;0.87;2.67;91.81;31.71;1123.26
Q24;2022;010000024;010780054;2100;;;131.39;;131.39;18.98;332.04;79.71;268.86;64.77;7.77;33.89;26.92;832.94;1.8;0.87;2.67;91.81;31.71;1090.52
Q24;2022;010000024;010780054;2300;;;2.43;;2.43;0.16;17.73;0.5;8.88;2;1.04;;;30.31;;;;;;32.74
Q24;2022;010000024;010780054;9999;5.93;1.4;243.31;;250.64;28.95;406.03;84.64;340.65;98.6;10.11;36.21;28.02;1033.21;2.32;6.98;9.3;99.9;239.35;1632.4
Q24;2022;010000032;010780062;1000;1.8;;22.51;;24.31;0.34;7.89;0.56;6.14;12.57;0.85;;0.55;28.9;;;;1.31;24.62;79.14
Q24;2022;010000032;010780062;2000;;;28.58;;28.58;7.15;79.75;6.3;70.6;29.33;1.8;10.51;9.99;215.43;;1.74;1.74;23.39;7.36;276.5
Q24;2022;010000032;010780062;2100;;;27.33;;27.33;6.15;70.11;6.3;57.55;22.63;0.5;10.4;6.62;180.26;;1.41;1.41;23.39;7.36;239.75
Q24;2022;010000032;010780062;2400;;;1.25;;1.25;1;9.64;;13.05;6.7;1.3;0.11;3.37;35.17;;0.33;0.33;;;36.75
Q24;2022;010000032;010780062;9999;1.8;;51.09;;52.89;7.49;87.64;6.86;76.74;41.9;2.65;10.51;10.54;244.33;;1.74;1.74;24.7;31.98;355.64
Q24;2022;010000065;010780096;1000;0.61;;14.58;;15.19;0.06;3.02;;4.56;0.05;0.03;;0.04;7.76;0.03;0.13;0.16;3.5;8.11;34.72
Q24;2022;010000065;010780096;2000;;;6.37;;6.37;8.6;56.89;;84.02;7.37;3.9;;6.86;167.64;3.57;3.49;7.06;;;181.07
Q24;2022;010000065;010780096;2100;;;3.86;;3.86;5.25;35.9;;48.64;5.47;1.99;;2.28;99.53;3.42;1.49;4.91;;;108.3
Q24;2022;010000065;010780096;2400;;;2.51;;2.51;3.35;20.99;;35.38;1.9;1.91;;4.58;68.11;0.15;2;2.15;;;72.77
Q24;2022;010000065;010780096;9999;0.61;;20.95;;21.56;8.66;59.91;;88.58;7.42;3.93;;6.9;175.4;3.6;3.62;7.22;3.5;8.11;215.79
Q24;2022;010000081;010780112;1000;0.17;;2.93;;3.1;;0.86;;2.08;6.37;;;0.35;9.66;1.17;;1.17;0.47;7.73;22.13
Q24;2022;010000081;010780112;2000;;;1.17;;1.17;0.82;6.57;;14.58;16.38;0.27;;2.21;40.83;0.17;0.48;0.65;;0.23;42.88
Q24;2022;010000081;010780112;2400;;;1.11;;1.11;0.32;3.26;;8.82;4.1;0.11;;1.97;18.58;0.17;0.43;0.6;;0.09;20.38
Q24;2022;010000081;010780112;2500;;;0.06;;0.06;0.5;3.31;;5.76;12.28;0.16;;0.24;22.25;;0.05;0.05;;0.14;22.5
Q24;2022;010000081;010780112;9999;0.17;;4.1;;4.27;0.82;7.43;;16.66;22.75;0.27;;2.56;50.49;1.34;0.48;1.82;0.47;7.96;65.01
Q24;2022;010000099;010780120;1000;0.63;;2.08;;2.71;;;;;;;;;;;;;;6.59;9.3
Q24;2022;010000099;010780120;2000;;;1.21;;1.21;1;7.8;;14.48;6.21;0.5;;1.45;31.44;0.2;0.3;0.5;2.53;;35.68
Q24;2022;010000099;010780120;2100;;;0.36;;0.36;0.3;2.65;;7.47;2.07;;;;12.49;;;;0.84;;13.69
Q24;2022;010000099;010780120;2400;;;0.85;;0.85;0.7;5.15;;7.01;4.14;0.5;;1.45;18.95;0.2;0.3;0.5;1.69;;21.99
Q24;2022;010000099;010780120;9999;0.63;;3.29;;3.92;1;7.8;;14.48;6.21;0.5;;1.45;31.44;0.2;0.3;0.5;2.53;6.59;44.98
Q24;2022;010000107;010780138;1000;0.17;;2.9;;3.07;;0.36;;0.23;;;;;0.59;;;;0.3;3.5;7.46
Q24;2022;010000107;010780138;2000;;;;;;0.51;8.81;;13.35;4.68;0.22;;1.18;28.75;0.32;0.5;0.82;;;29.57
Q24;2022;010000107;010780138;2100;;;;;;0.22;3.76;;5.81;2.01;0.09;;0.57;12.46;0.14;0.22;0.36;;;12.82
Q24;2022;010000107;010780138;2400;;;;;;0.29;5.05;;7.54;2.67;0.13;;0.61;16.29;0.18;0.28;0.46;;;16.75
Q24;2022;010000107;010780138;9999;0.17;;2.9;;3.07;0.51;9.17;;13.58;4.68;0.22;;1.18;29.34;0.32;0.5;0.82;0.3;3.5;37.03
Q24;2022;010000115;010009132;1000;0.52;0.2;2.4;;3.12;;;;;10.87;;;0.12;10.99;;;;;12.77;26.88
Q24;2022;010000115;010009132;2000;;0.06;1.1;;1.16;1.64;12.96;;21.44;13.29;0.88;;3.76;53.97;0.1;0.61;0.71;1.56;1.1;58.5
Q24;2022;010000115;010009132;2100;;;0.28;;0.28;0.34;2.3;;7.19;4.84;0.44;;0.58;15.69;;0.25;0.25;0.75;0.45;17.42
Q24;2022;010000115;010009132;2400;;;0.6;;0.6;0.3;2.87;;1.91;;0.44;;0.88;6.4;;0.25;0.25;;0.48;7.73
Q24;2022;010000115;010009132;2500;;0.06;0.22;;0.28;1;7.79;;12.34;8.45;;;2.3;31.88;0.1;0.11;0.21;0.81;0.17;33.35
Q24;2022;010000115;010009132;9999;0.52;0.26;3.5;;4.28;1.64;12.96;;21.44;24.16;0.88;;3.88;64.96;0.1;0.61;0.71;1.56;13.87;85.38
Q24;2022;010000131;010009132;1000;0.6;0.3;3.78;;4.68;;;;0.28;7.54;;;0.25;8.07;;;;;7.77;20.52
Q24;2022;010000131;010009132;2000;;;0.91;;0.91;1;12.81;;10.93;4.4;0.4;;1.83;31.37;0.28;0.49;0.77;0.5;0.36;33.91
Q24;2022;010000131;010009132;2100;;;0.11;;0.11;0.22;4.1;;3.94;2.63;0.13;;0.4;11.42;;0.49;0.49;0.5;0.08;12.6
