BOR;AN;FI;RS;FI_EJ;PERSO;SMUR_ETPSAL;SMUR_EFFLIB;SMUR_COMSU;SAMU_ETPSAL;SAMU_EFFLIB
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;M9999;3.15;;1;3.13;4
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;MREG;;;;3.13;4
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;N2120;0.39;;0;0.39;
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;N2223;9.11;;1;0.22;
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;N5140;9.84;;0;;
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;N9999;19.34;;1;2962;
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;NARM;;;0;23.82;
SMURSAMU_P;2022;010000024;CH DE FLEYRIAT;010780054;NSEC;;;0;5.19;
SMURSAMU_P;2022;010000032;CH BUGEY SUD;010780062;M9999;4.14;;1;;
SMURSAMU_P;2022;010000032;CH BUGEY SUD;010780062;N2120;0.19;;1;;
SMURSAMU_P;2022;010000032;CH BUGEY SUD;010780062;N2223;6;;1;;
SMURSAMU_P;2022;010000032;CH BUGEY SUD;010780062;N5140;6.75;;1;;
SMURSAMU_P;2022;010000032;CH BUGEY SUD;010780062;N9999;12.94;;1;;
SMURSAMU_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;0;0;1;0;0
SMURSAMU_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2223;0;0;1;0;0
SMURSAMU_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N5140;0;0;1;0;0
SMURSAMU_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N9999;0;0;1;0;0
SMURSAMU_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;;11;;;
SMURSAMU_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2223;4.8;;;;
SMURSAMU_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N5140;5.7;;;;
SMURSAMU_P;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;10.5;;;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;M9999;2;;1;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2120;0.25;;1;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2223;0.54;;1;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;N2500;1.76;;;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;N5140;1.61;;1;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;N9999;4.65;;1;;
SMURSAMU_P;2022;020000162;CH SAINT-QUENTIN;020000063;NARM;0.49;;;;
SMURSAMU_P;2022;020000394;CH LAON;020000253;M9999;6.19;;1;4.3;
SMURSAMU_P;2022;020000394;CH LAON;020000253;MREG;;;0;1;
SMURSAMU_P;2022;020000394;CH LAON;020000253;N2120;0.5;;1;0.04;
SMURSAMU_P;2022;020000394;CH LAON;020000253;N2223;11.16;;1;1;
SMURSAMU_P;2022;020000394;CH LAON;020000253;N5140;11.6;;0;;
SMURSAMU_P;2022;020000394;CH LAON;020000253;N9999;23.31;;;20.9;
SMURSAMU_P;2022;020000394;CH LAON;020000253;NARM;;;0;19.36;
SMURSAMU_P;2022;020000519;CH SOISSONS;020000261;M9999;2;;1;;
SMURSAMU_P;2022;020000519;CH SOISSONS;020000261;N2223;5.6;;1;;
SMURSAMU_P;2022;020000519;CH SOISSONS;020000261;N2500;1.01;;;;
SMURSAMU_P;2022;020000519;CH SOISSONS;020000261;N5140;4.86;;0;;
SMURSAMU_P;2022;020000519;CH SOISSONS;020000261;N9999;11.47;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;M9999;5.79;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;N2120;0.2;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;N2223;4;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;N2500;2.9;;;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;N5140;;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;N9999;7.1;;;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;NARM;;;1;;
SMURSAMU_P;2022;020000535;CH CHAUNY;020000287;NSEC;;;1;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;4.89;;1;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;0.2;;1;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N2223;1.5;;1;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N5140;5;;;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;7.7;;1;;
SMURSAMU_P;2022;020001061;CH CHÂTEAU-THIERRY;020004404;NSEC;1;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;M9999;5.3;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;N2120;0.5;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;N2223;3.1;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;N2500;1;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;N5140;2.1;;;;
SMURSAMU_P;2022;020001087;CH HIRSON;020004495;N9999;6.7;;;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M1140;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M9999;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;MREG;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2120;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2223;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N5140;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N9999;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;NARM;;;1;;
SMURSAMU_P;2022;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;NSEC;;;1;;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;M9999;4.85;0;1;5.05;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;MREG;4.85;0;1;5.05;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;N2120;0.06;0;0;0.54;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;N2223;5.45;0;1;1;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;N2500;0;0;;1.47;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;N5140;7.8;0;0;;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;N9999;13.31;0;1;22.72;
SMURSAMU_P;2022;030000061;CH DE MOULINS;030780092;NARM;0;0;;19.71;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;M9999;5.91;;1;;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;N2120;0.67;;1;;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;N2223;8.33;;1;;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;N5140;7.1;;1;;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;N9999;17.1;;;;
SMURSAMU_P;2022;030000079;CH DE MONTLUCON;030780100;NSEC;1;;1;;
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;11.55;0;1;;
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;0;1;0;0
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2223;12;0;;0;0
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;11.05;0;;0;0
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N5140;1.87;0;;0;0
SMURSAMU_P;2022;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;25.92;0;;;
SMURSAMU_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;0.71;0;;0;0
SMURSAMU_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MREG;0.71;0;;0;0
SMURSAMU_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2223;0.78;0;;0;0
SMURSAMU_P;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;0.78;0;;0;0
SMURSAMU_P;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;2.42;;;;
SMURSAMU_P;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2223;3.96;;;;
SMURSAMU_P;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;3.96;;;;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;2.98;;1;3.46;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MREG;;;;3.46;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2120;0.17;;1;;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2223;1.53;;1;;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N5140;7.99;;1;;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;11.18;;1;9.77;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NARM;;;0;9.52;
SMURSAMU_P;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NSEC;;;1;0.25;
SMURSAMU_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;10.19;;;3.74;
SMURSAMU_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2223;8.09;;;0.4;
SMURSAMU_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;;;;0.4;
SMURSAMU_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;8.17;;;14.89;
SMURSAMU_P;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NARM;0.05;;;13.47;
SMURSAMU_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;1.7;0;1;0;0
SMURSAMU_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2223;6.14;0;1;0;0
SMURSAMU_P;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;6.14;0;;0;0
SMURSAMU_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;9.03;;1;;
SMURSAMU_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2223;5.73;;0;;
SMURSAMU_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N5140;6;;0;;
SMURSAMU_P;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;11.73;;0;;
SMURSAMU_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;2.61;;1;;
SMURSAMU_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;0.2;;1;;
SMURSAMU_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N2223;5.76;;1;;
SMURSAMU_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N5140;1;;0;;
SMURSAMU_P;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;6.96;;1;;
SMURSAMU_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;1.8;;0;;
SMURSAMU_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;N2120;0.5;;0;;
SMURSAMU_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;N2223;4.74;;0;;
SMURSAMU_P;2022;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;5.24;;0;;
SMURSAMU_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M9999;14.63;;1;10.43;
SMURSAMU_P;2022;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;0.63;;;0.5;
