BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB
SSR_P;2022;010000032;CH BUGEY SUD;010780062;M1010;2.25;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;M1320;0.8;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N241P;2.63;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N2430;0.24;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N2460;1;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N2500;12.83;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N2710;1.3;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;N3120;0.34;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;NAUT;8.18;
SSR_P;2022;010000032;CH BUGEY SUD;010780062;NCINF;10.92;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;1.91;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1040;;1
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;4.73;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N241P;2.5;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2430;;1
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2450;0.75;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2460;2;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2470;0.8;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2500;35.38;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2710;1.92;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N310H;0.15;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N3120;2;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;4.41;
SSR_P;2022;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NCINF;23.34;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;M1010;0.74;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;MAUT;0.07;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N241P;1.71;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N2450;0.27;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N2460;0.13;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N2470;0.15;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N2500;8.23;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N2710;0.11;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N310H;0.21;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;N3120;0.4;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;NAUT;11.58;
SSR_P;2022;010000081;CH DU PAYS DE GEX;010780112;NCINF;3.49;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;MAUT;1;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N241P;1.05;2
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N2450;0.2;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N2470;0.2;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N2500;7.01;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N2710;0.5;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N310H;0.2;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;N3120;0.3;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;NAUT;5.08;
SSR_P;2022;010000099;CH DE MEXIMIEUX;010780120;NCINF;5.05;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;M1320;1.76;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;N241P;0.61;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;N2500;7.54;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;N2710;0.13;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;N310H;0.18;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;N3120;0.28;
SSR_P;2022;010000107;CH DE PONT DE VAUX;010780138;NCINF;5.34;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;1;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MAUT;0.02;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N241P;0.5;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;0.08;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2470;0.2;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2500;1.85;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2710;0.44;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N310H;0.06;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;0.25;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;1.18;
SSR_P;2022;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NCINF;3.17;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;M1320;1;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;MAUT;0.02;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N241P;0.98;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2460;0.2;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2500;6.79;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N2710;0.27;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;N310H;0.29;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NAUT;2.94;
SSR_P;2022;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;NCINF;9.21;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;M1010;1.6;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N241P;0.2;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N2500;4.9;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N2710;2.3;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N310H;1.6;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;N3120;0.8;
SSR_P;2022;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;NCINF;4.63;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1010;2;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;M1180;1;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N241P;6.45;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N2460;0.7;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N2500;8.4;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N2710;0.3;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;N3120;0.25;
SSR_P;2022;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;NCINF;8.5;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1010;4.8;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1070;0.2;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1150;1;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;M1320;0.8;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;MAUT;1;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N241P;6.25;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2430;0.7;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2450;2.25;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2460;3;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2500;67.94;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N2710;3.46;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N3120;1.45;
SSR_P;2022;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;NCINF;57.6;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1010;2.26;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1120;0.07;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;M1180;1.77;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N241P;4.36;4
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2430;0.76;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2450;0.24;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2460;4.45;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2500;19.66;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N2710;0.93;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N310H;3.41;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;N3120;1.52;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NAUT;0.55;
SSR_P;2022;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;NCINF;16.57;
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1010;1.18;0
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1320;1.18;0
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N241P;2.16;0
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;11.8;0
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;0.44;0
SSR_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NCINF;3.5;0
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1010;1.5;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;M1180;1.52;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;MAUT;0.58;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N241P;7.12;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2430;2.27;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2450;0.85;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2460;5.92;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2470;1.5;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2500;20.22;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N2710;2.88;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N310H;0.7;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;N3120;2.23;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NAUT;38.84;
SSR_P;2022;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;NCINF;16.06;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1010;0.46;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;2;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N241P;3.62;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2430;0.08;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2450;0.17;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2460;0.7;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2470;20.53;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2500;0.77;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2710;0.51;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NAUT;6.16;
SSR_P;2022;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NCINF;11.3;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;M1150;4;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N241P;1.9;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2450;0.9;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2500;7.5;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N2710;0.92;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N310H;6.12;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;N3120;0.7;
SSR_P;2022;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;NCINF;14.47;
SSR_P;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1010;6.99;
SSR_P;2022;010780278;CENTRE DE REEDUCATION MANGINI;010783009;M1180;2.34;
