FI;FI_EJ;AN;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFF_INT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRSOI;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRSOI;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL;BOR
010000024;010780054;2022;270;68;47;385;14972;7260;3474;25706;82796;16579;10683;110058;22;20;;42;843;2;0;845;38103;177181;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;560;1;42384;0;;1;0;0;1;1;1933;0;1897;1;340;0;0;1;11565;1;;1;8976;1;17475;1;1;0;0;0;0;1;148;32;26;25;35;9;;2;21;3;209;63;5;4;;;4;4;;;;;9;115.07;22.12;20.56;20.52;27.59;6.78;;1.61;16.42;1.36;162.05;64.15;38;31;92;432;367;106;17;42;1125;5;2;271;12;8;33;35;36;3;247;644;1769;36.21;28.95;84.64;406.03;340.65;98.6;10.11;28.02;1033.21;5.93;1.4;243.31;9.3;6.98;29.49;32.69;33.67;4.05;239.35;599.19;1632.4;;;;;;;;1;1;1;2;1;3;0;;;;;13;19;SYGEN
010000032;010780062;2022;66;17;8;91;4020;970;501;5491;21185;4684;1572;27441;8;8;1;17;135;1474;94;1703;805;49801;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;465;1771;8;;;;;1;16727;0;;1;0;0;0;1;1004;1;361;0;0;0;0;;;;;1;805;0;;0;0;0;0;0;0;1;25;7;11;;10;3;;;3;;38;;;;;;;;;;;;;20.8;7.22;8.28;;7.87;1.29;;;2.1;;30.77;4.5;14;9;7;90;78;49;4;13;264;2;;62;2;2;8;9;10;;43;136;400;10.51;7.49;6.86;87.64;76.74;41.9;2.65;10.54;244.33;1.8;;51.09;1.74;1.74;5.75;9.58;9.37;;31.98;111.31;355.64;;;;;;;;1;1;0;1;1;;;;;;;4;6;SYGEN
010000065;010780096;2022;59;;;59;1669;0;0;1669;18131;0;0;18131;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;696;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;11;;;;;;;2;;23;;;;;;;;;;;;;14.51;9.81;;;;;;;1.4;;15.91;2;;9;;65;99;6;7;11;197;1;;30;9;5;7;;2;;15;64;261;;8.66;;59.91;88.58;7.42;3.93;6.9;175.4;0.61;;20.95;7.22;3.62;2.65;;0.85;;8.11;40.39;215.79;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010000081;010780112;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;121;0;;30;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;1;;5;;;;;;;;;;;;;1.76;1.76;;;;;;;0.17;;1.93;;;3;;16;37;52;2;7;117;1;;15;4;1;3;;;;47;70;187;;0.82;;7.43;16.66;22.75;0.27;2.56;50.49;0.17;;4.1;1.82;0.48;0.47;;;;7.96;14.52;65.01;;;;;;;;1;0;0;;;;;;;;;;;SYGEN
010000099;010780120;2022;10;;;10;170;0;0;170;2670;0;0;2670;0;;;0;0;0;0;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;261;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;1;2;7;;;;;;;;;;0;;0;2.2;0.58;;;;;;;0.94;0.1;3.24;;;1;;9;23;8;1;5;47;2;;8;2;1;2;;;1;18;33;80;;1;;7.8;14.48;6.21;0.5;1.45;31.44;0.63;;3.29;0.5;0.3;1.53;;;1;6.59;13.54;44.98;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010000107;010780138;2022;15;;;15;177;0;0;177;2259;0;0;2259;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;263;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;1;;4;;;;;;;;;;;;;2.6;;;;;;;;0.48;;3.08;;;1;;10;14;4;;2;31;1;;11;2;1;2;;;;21;37;68;;0.51;;9.17;13.58;4.68;0.22;1.18;29.34;0.17;;2.9;0.82;0.5;0.3;;;;3.5;7.69;37.03;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010000115;010009132;2022;12;0;0;12;72;0;0;72;1468;0;0;1468;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;106;0;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;1.79;0.79;;;;;;;0.54;;2.33;;;3;;14;27;25;1;7;77;2;1;8;2;1;3;;;;19;35;112;;1.64;;12.96;21.44;24.16;0.88;3.88;64.96;0.52;0.26;3.5;0.71;0.61;1.56;;;;13.87;20.42;85.38;;;;;;;;;;;;;;;;;;;;;SYGEN
010000131;010009132;2022;8;0;0;8;126;0;0;126;2106;0;0;2106;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;257;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;4;;;;;;;;;;;;;1.4;;;;;;;;0.48;;1.88;;;1;;15;14;12;1;5;48;2;1;9;2;1;1;;;;12;27;75;;1;;12.81;11.21;11.94;0.4;2.08;39.44;0.6;0.3;4.69;0.77;0.49;0.5;;;;8.13;14.99;54.43;;;;;;;;1;1;0;;;;;;;;;;;SYGEN
010000180;010007987;2022;8;;;8;329;0;0;329;2818;0;0;2818;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;501;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;1;;3;;;;;;;;;;;;;1.6;1.6;;;;;;;0.35;;1.95;;;1;;5;6;7;3;1;23;1;;2;1;1;;;;;1;5;28;;1;;4.9;6.14;6.45;2.85;0.2;21.54;0.1;;2;0.8;0.8;;;;;0.7;3.6;25.14;;;;;;;;;;;;;;;;;;;;;SYGEN
010000198;010007987;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;1018;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;4;3;;;;;;;0.35;;4.35;;;1;;8;10;15;1;13;48;1;;5;1;1;;;;;3;10;58;;1;;7.54;8.4;14.45;0.3;10.65;42.34;0.1;;4.75;0.2;0.2;;;;;2.2;7.25;49.59;;;;;;;;;;;;;;;;;;;;;SYGEN
