BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2022;010000024;CH DE FLEYRIAT;010780054;GEN;930;733;1;IAO;42384;5181;11625;8385;1779;1426;0;;;1;;;133;28;2;;10;3650;2906;336;2927;1;1
URGENCES2;2022;010000032;CH BUGEY SUD;010780062;GEN;168;168;0;;16727;1937;4899;3172;1109;510;0;0;0;0;0;0;225;24;14;;4;1460;802;536;267;0;1
URGENCES2;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;GEN;420;504;1;IAOMAO;22583;1981;5346;4137;1064;;;;;;;;453;55;46;;5;;1270;318;1094;1;0
URGENCES2;2022;010780195;CLINIQUE CONVERT;010000156;GEN;190;336;1;IAO;23369;1892;4523;3421;0;0;0;0;0;0;0;0;0;0;0;;4;1460;929;600;336;1;0
URGENCES2;2022;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;GEN;369;898;1;IAO;38727;3335;9961;1345;521;56;;;;;;;;;;;8;2920;4617;2471;2429;1;1
URGENCES2;2022;020000162;CH SAINT-QUENTIN;020000063;GEN;692;1008;1;IAO;36790;5610;52;5599;1744;5;564;8;0;0;0;0;69;20;1;;10;3650;5887;1992;4813;1;0
URGENCES2;2022;020000162;CH SAINT-QUENTIN;020000063;PED;168;420;0;;19388;;;;;;;;;;;;;;;2735;0;0;0;0;0;;
URGENCES2;2022;020000394;CH LAON;020000253;GEN;463;626;1;IAOMAO;24600;3097;3491;4482;1449;37;7;5;0;0;0;0;885;253;7;;4;1460;3831;2503;1446;1;1
URGENCES2;2022;020000394;CH LAON;020000253;PED;168;;1;IAO;9879;;;;;;;;;;;;;;;567;;;0;0;0;;
URGENCES2;2022;020000519;CH SOISSONS;020000261;GEN;546;840;1;IAO;34680;4597;4894;6623;2223;73;2;2;0;0;0;0;358;38;15;;4;1460;1982;986;1294;0;0
URGENCES2;2022;020000519;CH SOISSONS;020000261;PED;336;854;1;IAO;12343;;;;;;;;;;;;;;;1296;;;0;0;0;;
URGENCES2;2022;020000535;CH CHAUNY;020000287;GEN;168;420;1;IAOMAO;18021;1986;2166;3295;1113;20;48;34;14;0;;;163;11;8;;6;2190;1436;397;1167;1;0
URGENCES2;2022;020001061;CH CHÂTEAU-THIERRY;020004404;GEN;266;416;1;IAO;33528;3088;8678;7803;1710;830;;;;;;;1116;363;44;;8;2264;4353;2285;2264;1;0
URGENCES2;2022;020001087;CH HIRSON;020004495;GEN;336;406;1;IAO;14185;1771;2771;;;;;;;;;;;;;;4;1460;2001;1197;832;;
URGENCES2;2022;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;GEN;168;322;1;IAO;10474;792;1642;;;;;;;;;;;;;;6;;674;515;160;1;1
URGENCES2;2022;030000061;CH DE MOULINS;030780092;GEN;420;588;1;IAO;36771;4446;10275;10412;2936;1161;12;1;2;14;5;0;0;0;0;;8;2920;3922;1837;2574;1;1
URGENCES2;2022;030000079;CH DE MONTLUCON;030780100;GEN;252;420;1;IAO;37293;4777;12078;7003;2458;1254;131;5;0;;;;118;21;10;;6;2190;3332;1110;2384;1;1
URGENCES2;2022;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;336;676;1;IAO;32418;5558;5820;9126;3318;635;560;31;3;11;2;0;;;;;10;3650;4689;1202;4296;0;0
URGENCES2;2022;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;GEN;490;1260;1;IAO;29222;3225;7433;5429;1634;709;;;;;;;860;153;43;;8;2920;2559;601;1992;1;0
URGENCES2;2022;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;GEN;336;434;0;;17188;2000;3693;2484;881;86;4;4;0;;;;627;289;16;;5;1825;1756;678;1143;;
URGENCES2;2022;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;406;588;1;IAOMAO;22765;2029;5207;3264;965;84;402;16;8;;;;544;46;148;;6;2190;1932;904;1126;1;1
URGENCES2;2022;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;;1;IAO;22691;;;;;;;;;;;;;;;;2;;1306;959;348;;
URGENCES2;2022;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;GEN;168;168;;;8787;828;2115;1090;387;66;0;0;0;;;;429;;;;2;730;943;671;288;;
URGENCES2;2022;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;GEN;210;525;1;IAO;28756;3654;5415;8068;2059;767;0;0;0;0;0;0;1614;615;75;;9;3285;4006;1019;3127;;
URGENCES2;2022;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;438;806;1;IAO;57941;4567;18621;9460;;;381;;;;;;604;;;;13;4745;3907;1296;3344;;
URGENCES2;2022;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;626;650;1;IAO;50455;7652;15681;5775;1964;1148;460;4;4;0;0;0;390;106;29;;12;4380;4571;1000;6092;1;1
URGENCES2;2022;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;668;1230;1;IAOMAO;53503;8531;11966;10502;4609;1069;350;;;;;;156;;;;7;2555;2746;1602;1153;1;1
URGENCES2;2022;060002102;CH LA PALMOSA DE MENTON;060791761;GEN;336;238;1;IAO;19606;3055;3481;2852;;;54;;;0;0;0;688;;;;4;1460;4383;2957;1506;1;1
URGENCES2;2022;060780491;INSTITUT ARNAULT TZANCK;060790797;GEN;172;271;1;IAO;19637;2192;447;2158;614;5;;;;;;;138;24;5;;4;1460;159;138;21;1;1
URGENCES2;2022;060780517;POLYCLINIQUE SAINT JEAN;060000239;GEN;252;348;1;IAO;31004;2419;4650;2432;796;38;;;;;;;261;;;;5;1825;743;646;97;1;1
URGENCES2;2022;060780715;CLINIQUE SAINT GEORGE;060000361;GEN;280;322;1;IAO;28469;3108;6083;3304;983;52;3;2;;;;;449;79;18;;4;1460;79;73;6;1;1
URGENCES2;2022;060780723;CLINIQUE DU PARC IMPERIAL;060004959;GEN;168;203;1;IAO;14538;1100;131;;;;;;;;;;;;;;8;2920;1499;1170;337;1;1
URGENCES2;2022;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;PED;420;252;;;58571;;;;;;;;;;;;;;;7996;8;2920;3249;1646;1645;;
