BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;MOD;COMSMUR
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;M9999;11.25;;3;1
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;N1220;4;;;
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;N2120;1;;;
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;N2500;18.29;;;
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;N9999;53.94;;;
URGENCES_P;2022;010000024;CH DE FLEYRIAT;010780054;NINF;27.65;;;
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;M9999;4.14;;3;1
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;N2120;0.29;;2;1
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;N2500;4.57;;;
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;N3120;0.03;;;
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;N9999;18.05;;;
URGENCES_P;2022;010000032;CH BUGEY SUD;010780062;NINF;9.26;;1;1
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M9999;11.04;0;;1
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N1220;1.63;0;;
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;0;0;2;1
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;13.2;0;;
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2620;0;0;3;0
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N9999;34.06;0;;
URGENCES_P;2022;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NINF;19.23;0;2;1
URGENCES_P;2022;010780195;CLINIQUE CONVERT;010000156;M9999;0;6;;0
URGENCES_P;2022;010780195;CLINIQUE CONVERT;010000156;N1220;3.38;0;;
URGENCES_P;2022;010780195;CLINIQUE CONVERT;010000156;N2120;0.32;;;
URGENCES_P;2022;010780195;CLINIQUE CONVERT;010000156;N2500;2.96;0;;
URGENCES_P;2022;010780195;CLINIQUE CONVERT;010000156;N9999;18.83;0;;
