BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_D19;CANCERO_D20;CANCERO_D21;CANCERO_D22;CANCERO_D23;CANCERO_E19;CANCERO_E20;CANCERO_E21;CANCERO_E22;CANCERO_E23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_D28;CANCERO_D29;CANCERO_D30;CANCERO_D31;CANCERO_D32;CANCERO_D33;CANCERO_D34;CANCERO_E24;CANCERO_E26;CANCERO_E28;CANCERO_E29;CANCERO_E30;CANCERO_E31;CANCERO_E32;CANCERO_E33;CANCERO_E34
CANCERO;2023;010000024;CH DE FLEYRIAT;010780054;1;1;1;30957;239;29880;8410;1027;1;;;;11322;239;270;10846;2;0;;901;17790;70;0;0;2.8;3.6;11.78;0.4;4.49;;;;;;14;24;;;479;12105;0;0;0;0;0;0;4929;0;4.71;1.59;19.31;8.75;0.31;0;8.65;0;0;;;;;;;
CANCERO;2023;010000032;CH BUGEY SUD;010780062;1;0;0;989;0;853;890;0;0;730000015;;;874;0;28;804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;244;0;213;311;0;0;010780054;;;137;0;0;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;0;8;0;0;314;0;;;;0;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;010780195;CLINIQUE CONVERT;010000156;1;0;1;3629;0;3319;1909;0;1;;;;3171;0;3;3130;;;;;;;;;;;;;;;;;;;;15;;;0;3605;0;0;0;0;0;0;0;0;0;0;2.43;0;0.92;0.67;0.5;0;0;1;3;0;0;0;0;0
CANCERO;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;277;0;170;555;0;1;690023411;;;25;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;020000162;CH SAINT-QUENTIN;020000063;1;1;1;28287;0;27400;9609;0;1;;;;10503;0;195;10003;3;0;0;886;16005;186;0;0;2;3.75;12.29;;2.68;0;;;;;21;30;0;0;604;12315;0;0;0;12;0;0;6817;0;1.4;7.8;25.68;13.61;2;;8.65;0;0;0;0;;;;;
CANCERO;2023;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;0;374;0;269;338;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;020000394;CH LAON;020000253;1;0;1;1322;0;1155;1676;0;1;;;;1145;0;3;1128;;;;;;;;;;;;;;;;;;;31;11;;;6;192;0;0;0;0;0;0;22;0;0.86;;0.52;;;;1;0;0;;;;;;;
CANCERO;2023;020000519;CH SOISSONS;020000261;1;1;1;10241;0;9993;1759;0;1;;;;3749;0;11;3688;1;1;;341;5910;18;0;0;;;3.04;;0.2;;;;;;8;14;;;554;3777;0;0;0;0;0;0;2844;0;4.6;;11.71;7.14;0.05;0.58;8.97;0;0;;;;;;;
CANCERO;2023;020000535;CH CHAUNY;020000287;1;0;1;1559;0;1495;225;0;1;;;;1445;0;0;1382;;;;;;;;;;;;;;;;;;;;9;;;0;1449;0;0;0;0;0;0;0;0;1;0.6;2.2;0.86;;;1.03;0;0;;;;;;;
CANCERO;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;1;637;0;546;637;0;0;020000261;;;514;0;0;503;;;;;;;;;;;;;;;;;;;;2;;;0;466;0;0;0;0;0;0;0;0;;0.1;1;0.4;;;0.1;0;0;;;;;;;
CANCERO;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;0;1;2542;0;2335;1724;0;1;;;;2294;0;2;2257;;;;;;;;;;;;;;;;;;;;16;;;0;2814;0;0;0;2;0;0;0;0;0.45;;2;;0.12;;3.99;0;0;1;;;;;;
CANCERO;2023;030000061;CH DE MOULINS;030780092;1;0;1;3566;0;3252;4127;0;1;;;;3404;0;67;3221;;;;;;;;;;;;;;;;;;;;8;;;0;3368;0;0;0;0;0;0;0;0;0.8;;8.67;3.06;0.5;;4.24;0;0;;;;;;;
CANCERO;2023;030000079;CH DE MONTLUCON;030780100;1;0;1;3475;6;3082;5249;462;1;;;;3162;6;23;3023;;;;;;;;;;;;;;;;;;;11;9;0;0;380;3550;0;0;0;0;0;0;4984;0;2.75;2.67;8.44;5.94;1;;7.38;0;0;;;;;;;
CANCERO;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;1;6851;13;6550;3603;500;1;;;;6566;13;8;6455;;;;;;;;;;;;;;;;;;;0;32;0;0;0;8669;0;0;0;4;0;0;0;0;3.45;0;12.57;8.13;0.57;0;6.01;0;0;0;0;0;0;0;0;0
CANCERO;2023;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;0;1;0;13735;;13100;;;;;;;;;;;2;;0;635;13100;1108;;;;3;6.2;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;0;1;0;10359;;9865;0;;;;;;;;;;2;0;0;494;9865;;0;;0;2.89;10.51;0;3.8;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;030780548;POLYCLINIQUE LA PERGOLA;030000194;1;0;1;2756;0;2482;1534;0;1;;;;2425;0;9;2395;;;;;;;;;;;;;;;;;;;;12;;;0;2275;0;0;0;0;0;0;0;0;;;2.42;;;;1.5;0;0;1;2;;;;;1
CANCERO;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0;1;7335;0;6718;6080;0;1;;;;6459;0;65;6293;;;;;;;;;;;;;;;;;;;;21;;;0;6333;0;0;0;0;0;0;0;0;;;5.01;1;0.6;0.5;1.1;0;0;4;;;;;;
CANCERO;2023;030785430;POLYCLINIQUE SAINT-ODILON;030009088;1;0;1;1154;0;542;3032;0;1;;;;956;0;481;446;;;;;;;;;;;;;;;;;;;;17;;;0;1178;0;0;0;0;0;0;0;0;;;2.4;;;0.5;1;0;0;1;1;;;1;;
CANCERO;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;1;4237;0;4050;2819;0;0;040788887;;;4100;0;1;4023;;;;;;;;;;;;;;;;;;;0;10;0;0;0;5465;0;0;0;9;0;0;0;0;1;1.18;6.42;0.12;0.5;0;2.81;0;0;0;0;0;0;0;0;0
CANCERO;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;1;1459;0;1387;953;0;1;;;;1430;0;4;1370;;;;;;;;;;;;;;;;;;;;13;;;0;1922;0;0;0;4;0;0;0;0;0.2;1.13;14.27;12.57;0.5;;4.5;0;0;;;;;;;
CANCERO;2023;040780470;CLINIQUE TOUTES AURES;040000192;0;0;0;307;0;245;150;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
