BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;M1040;0;8;1;0
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;M104H;0;3;0;0
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;M1160;0;16;0;0
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;M2140;0;5;1;0
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;MAUT;0;0;1;0
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;N2200;6.94;0;;
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;N2310;1.94;0;;
CHIRCAR_P;2023;010780195;CLINIQUE CONVERT;010000156;N4130;1.11;0;;
CHIRCAR_P;2023;020000162;CH SAINT-QUENTIN;020000063;M103X;1;1;0;0
CHIRCAR_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1040;3;0;0;1
CHIRCAR_P;2023;020000162;CH SAINT-QUENTIN;020000063;M104H;3;0;0;1
CHIRCAR_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1160;1;1;0;0
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;M1040;7.03;;0;1
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;M104H;7.03;;0;0
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;MAUT;1.29;;0;0
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;N2200;14.78;;;
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;N2510;10.67;;;
CHIRCAR_P;2023;020000519;CH SOISSONS;020000261;NAUT;5.95;;;
CHIRCAR_P;2023;030000061;CH DE MOULINS;030780092;M1040;1.74;;0;1
CHIRCAR_P;2023;030000061;CH DE MOULINS;030780092;N2200;10.42;;;
CHIRCAR_P;2023;030000061;CH DE MOULINS;030780092;N2510;7.82;;;
CHIRCAR_P;2023;030000061;CH DE MOULINS;030780092;NAUT;2.64;;;
CHIRCAR_P;2023;030000079;CH DE MONTLUCON;030780100;M1040;1.2;4;0;1
CHIRCAR_P;2023;030000079;CH DE MONTLUCON;030780100;N2320;2;;;
CHIRCAR_P;2023;030000079;CH DE MONTLUCON;030780100;N4130;2;;;
CHIRCAR_P;2023;030000079;CH DE MONTLUCON;030780100;NAUT;0.83;;;
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;M1040;0.73;0;0;1
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;MAUT;0.2;0;0;0
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;11.82;0;;
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3;0;;
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;4;0;;
CHIRCAR_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2.7;0;;
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M103X;10.19;;1;0
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1040;6.36;3;1;1
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;8.77;;0;1
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;5.46;;;
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2510;3.97;;;
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4130;3.5;;;
CHIRCAR_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;0.49;;;
CHIRCAR_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;M1040;2.32;3;1;1
CHIRCAR_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;4.7;;;
CHIRCAR_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;1.6;;;
CHIRCAR_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;0.2;;;
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;M103X;;29;0;1
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;M1040;;19;1;1
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;;22;0;1
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N2320;2.2;;;
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;4.2;;;
CHIRCAR_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;2;;;
