BOR;AN;FI;RS;DIALYSE_AA100;DIALYSE_AA101;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2023;010000024;CH DE FLEYRIAT;;;010780054;112BA;;;;19;75;10753;;;;;
DIALYSE;2023;010000024;CH DE FLEYRIAT;;;010780054;1210;;;;;8;;;;;;
DIALYSE;2023;010000024;CH DE FLEYRIAT;;;010780054;121AX;;;;;6;;;;;;
DIALYSE;2023;010000024;CH DE FLEYRIAT;;;010780054;121CX;;;;3;2;;;;;;
DIALYSE;2023;010000024;CH DE FLEYRIAT;;;010780054;122BX;;;;1;1;;;;;;
DIALYSE;2023;010000024;CH DE FLEYRIAT;1;1;010780054;TOT;0;;;;;;810;3;;39;3
DIALYSE;2023;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;;;690796552;1130X;;;;8;24;3771;;;;;
DIALYSE;2023;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;0;0;690796552;TOT;0;;;;;;;2;;;
DIALYSE;2023;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;;;210012290;1140X;;;;3;3;621;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;;;690000278;112AX;;;;1;0;108;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;;;690000278;112BA;;;;12;21;3470;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;;;690000278;1130X;;;;8;40;6152;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;;;690000278;1140X;;;;6;4;496;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;;;690000278;1150A;;;;1;1;142;;;;;
DIALYSE;2023;010780294;NEPHROCARE CH BELLEY;1;0;690000278;TOT;0;;;;;;0;;;27;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;112AX;;;;3;7;906;;;;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;1130X;;;;19;65;8959;;;;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;1140X;;;;6;10;1515;;;;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;1150A;;;;5;5;1523;;;;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;1210;;;;;9;;;;520;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;121AX;;;;;6;;;;335;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;210012290;121CX;;;;4;3;;;;185;;
DIALYSE;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;0;1;210012290;TOT;0;;;;;;;;;;
DIALYSE;2023;020000162;CH SAINT-QUENTIN;;;020000063;112AX;;;;4;8;96;;;;;
DIALYSE;2023;020000162;CH SAINT-QUENTIN;;;020000063;112BA;;;;30;110;18549;;;;;
