BOR;AN;FI;RS;FI_EJ;PERSO;ETPS;NBLIB
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;M9999;1.73;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;MAUT;1.73;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;N2120;0.5;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;N2210;7.38;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;N2710;0.32;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;N9999;10.52;
HAD_P;2023;010000024;CH DE FLEYRIAT;010780054;NAUT;2.32;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;0.5;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M9999;2;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Mcoor;1.5;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2120;1;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2210;0.53;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2510;1.72;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2710;0.5;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N3120;0.57;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N9999;13.67;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;4.4;
HAD_P;2023;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Ncoor;4.95;
HAD_P;2023;020000089;CH GUISE;020000022;M3050;0.4;
HAD_P;2023;020000089;CH GUISE;020000022;M9999;0.8;73
HAD_P;2023;020000089;CH GUISE;020000022;MAUT;;73
HAD_P;2023;020000089;CH GUISE;020000022;Mcoor;0.4;
HAD_P;2023;020000089;CH GUISE;020000022;N2120;1;
HAD_P;2023;020000089;CH GUISE;020000022;N2210;2;148
HAD_P;2023;020000089;CH GUISE;020000022;N2410;;44
HAD_P;2023;020000089;CH GUISE;020000022;N2510;24;
HAD_P;2023;020000089;CH GUISE;020000022;N2710;0.15;
HAD_P;2023;020000089;CH GUISE;020000022;N3120;0.1;
HAD_P;2023;020000089;CH GUISE;020000022;N9999;29.25;192
HAD_P;2023;020000089;CH GUISE;020000022;Ncoor;2;
HAD_P;2023;020004297;HAD AMSAM SOISSONS;020005179;M3050;0.2;
HAD_P;2023;020004297;HAD AMSAM SOISSONS;020005179;M9999;0.61;
HAD_P;2023;020004297;HAD AMSAM SOISSONS;020005179;Mcoor;0.41;
