BOR;AN;FI;RS;FI_EJ;SPED;UPED;LIT_CHI_PED;LIT_MED_PED;PLA_CHI_PED;PLA_MED_PED;SEJHP_MED_PED;SEJHP_CHI_PED;SEJHC_MED_PED;SEJHC_CHI_PED;JOU_CHI_PED;JOU_MED_PED;EFFLIB_PM;EFFLIB_PED;EFFLIB_CHIPED;ETPSAL_PM;ETPSAL_PED;ETPSAL_CHIPED;GAR_PM;GAR_PED;GAR_CHIPED;AST_CHIPED;AST_PM;AST_PED;EFFLIB_INFNS;EFFLIB_PUE;EFFLIB_AUX;EFFLIB_KINE;EFFLIB_PSY;EFFLIB_APNM;ETPSAL_INFNS;ETPSAL_PUE;ETPSAL_AUX;ETPSAL_KINE;ETPSAL_PSY;ETPSAL_APNM
MCOPED;2023;010000024;CH DE FLEYRIAT;010780054;1;1;;18;;4;302;0;1669;0;0;4200;;;;5.48;4.68;0;1;1;;;;;;;;;;;8.86;11.42;8.17;0;1.63;5.89
MCOPED;2023;010000032;CH BUGEY SUD;010780062;1;1;0;6;0;1;7;0;537;0;0;952;;;;1.2;1.2;;;;;;1;1;;;;;;;5.65;1;2.82;;;4.96
MCOPED;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;;;8;;1;152;0;773;0;0;2206;0;0;;2.39;1.74;;;;;;;;0;0;0;0;0;0;2.89;3.89;6.35;0;0.3;1
MCOPED;2023;020000162;CH SAINT-QUENTIN;020000063;1;1;0;20;0;4;386;0;2365;0;0;4940;0;0;0;5.86;5.86;0;1;0;0;0;0;0;;;;;;;14.62;12.48;17.65;;2.34;19.68
MCOPED;2023;020000394;CH LAON;020000253;1;1;;8;;3;72;0;684;0;0;1276;;;;2.07;1.65;;1;1;;;0;0;;;;;;;8.19;0.42;2.6;;1;6.63
MCOPED;2023;020000519;CH SOISSONS;020000261;1;1;0;15;0;2;40;0;1177;0;0;3352;;;;7.53;7.13;0.4;1;0;0;0;0;0;;;;;;;7.14;1;4.7;;;7.9
MCOPED;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;0;;7;;2;129;1;604;2;3;1314;;;;5.17;5.17;;1;1;;;0;0;;;;;;;4.2;6.03;3.92;0.1;0.1;1
MCOPED;2023;030000061;CH DE MOULINS;030780092;1;1;0;15;0;2;208;0;955;0;0;2255;0;0;0;1.82;1.61;0;0;0;0;0;1;1;0;0;0;0;0;0;9.26;5.49;4.82;0;1.29;10.32
MCOPED;2023;030000079;CH DE MONTLUCON;030780100;1;1;;13;;;0;0;1310;0;0;2500;;;;2.37;2.37;;0;;;;1;1;;;;;;;8.56;2.65;14.25;;0.4;4.08
MCOPED;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;0;0;21;1;0;0;159;1352;0;0;3846;0;0;0;7.03;7.03;0;0;0;0;0;1;1;0;0;0;0;0;0;12.58;7.53;12.75;0;0.9;9.41
MCOPED;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;0;0;8;0;2;287;0;788;0;0;1747;0;0;;2.46;2.46;;0;0;0;0;1;1;0;0;0;0;0;0;2.44;5.71;0.24;0.03;0;6.81
MCOPED;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0;0;1;0;0;0;0;9;0;0;24;;;;2.65;2.65;;0;0;;;1;1;;;;;;;;;;;;
MCOPED;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;;;4;;;0;0;405;0;0;850;;;;1.1;1.1;;;;;;;;;;;;;;4.82;1.5;2.75;;;1.6
MCOPED;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;0;;9;;1;44;0;1079;0;0;2422;;;;4.3;4.3;;;;;;;;;;;;;;4.54;5.63;1;;;6.67
MCOPED;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;1;15;;3;269;0;859;77;148;1666;0;0;;1.58;1.5;;;;;;;;0;0;0;0;0;0;1.87;6.43;10.08;0.38;0.35;4.68
MCOPED;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;22;0;1;103;0;1330;0;0;3262;2;;;5.88;5.88;;0;;;;1;;;;;;;;2.82;11.65;7.82;;;10.7
MCOPED;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;;12;;;3;0;797;0;0;2659;;;;3.07;2.87;;1;1;;;0;0;;;;;;;1.97;6.64;7.27;0.3;0.2;6.13
MCOPED;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;1;23;73;14;10;2490;2713;7829;1961;5107;22065;;;;43.44;5.93;;1;1;0;0;1;1;;;;;;;47.04;31.23;79.64;3.02;4.42;110.02
