BOR;AN;FI;RS;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;;0;0;0;;1;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;28;0;1;1;14;1;1;1218;0;;1621;86;8266;5;0;11;130;1132;452;1227;383;62;1868
NEUROCHIR;2023;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;0;3;0;0;0;;0;0;;0;;171;1;830;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2023;130780521;APHM HOPITAL NORD;130786049;1;25;0;0;0;;1;1;885;0;;1297;13;7823;5;0;19;143;876;251;447;0;0;0
NEUROCHIR;2023;130783293;APHM HOPITAL LA TIMONE;130786049;1;80;0;0;1;61;1;1;1500;0;;3147;79;20647;14;0;107;136;1367;640;1894;475;28;3019
NEUROCHIR;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;115;0;1;1;6;1;0;0;0;;4988;28;24702;6;0;27;87;630;418;1019;211;3;653
NEUROCHIR;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;1;42;1;1;0;0;1;0;;1;99;2168;114;13474;16;2;122;171;2199;496;1599;332;48;1801
NEUROCHIR;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;30;1;1;1;4;1;1;2149;0;261;1749;37;7622;2;1;2;197;1308;72;457;365;30;1996
NEUROCHIR;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;33;0;1;0;0;1;0;0;0;0;1916;27;10564;12;0;62;94;625;95;1240;305;10;2109
NEUROCHIR;2023;260020078;SERVICE NEUROCHIRURGIE - CHU42;420784878;1;10;0;0;0;0;0;0;;0;;447;71;2793;2;0;6;0;0;0;0;0;0;0
NEUROCHIR;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;42;0;1;1;8;1;1;10000;0;;1820;37;12565;17;1;68;146;1136;57;180;310;11;1584
NEUROCHIR;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;20;0;0;0;;1;0;;0;;1071;35;6162;5;3;3;62;501;50;121;0;0;0
NEUROCHIR;2023;300012598;GCS NEUROCHIRURGIE DU GARD;300012580;1;30;0;0;0;;1;0;;0;;1724;471;4390;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2023;300782117;CHU NIMES CAREMEAU;300780038;1;11;0;0;1;1;1;0;;1;36;586;27;2786;3;0;11;23;177;128;217;0;0;0
NEUROCHIR;2023;310780283;CL DE L'UNION SAINT JEAN;310000112;0;;0;0;;;1;;;;;1375;7;4288;0;0;0;15;160;107;360;0;0;0
NEUROCHIR;2023;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;35;;;1;2;1;0;;0;;2712;8;10857;8;0;29;32;147;148;561;138;24;563
NEUROCHIR;2023;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;78;1;1;1;;1;1;5615;1;284;3081;29;21347;54;3;273;227;2931;789;2241;615;50;3206
NEUROCHIR;2023;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;70;1;1;0;;1;1;3;0;;2232;44;12709;181;5;554;1244;4293;560;685;889;228;3126
NEUROCHIR;2023;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;25;1;1;0;;1;0;0;0;0;1284;6;5379;1;0;4;83;209;653;771;0;0;0
NEUROCHIR;2023;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;53;0;0;1;8;1;1;;1;;2316;75;10882;304;7;1444;103;1353;787;2538;922;82;4011
NEUROCHIR;2023;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;48;1;1;1;;1;0;;0;;2090;40;14467;18;1;91;135;1476;404;1750;422;58;1995
NEUROCHIR;2023;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;5;0;0;1;1;;1;0;0;;3;2;3;1157;413;2338;43;273;102;145;0;0;0
NEUROCHIR;2023;370000861;CHRU BRETONNEAU - TOURS;370000481;1;30;1;1;1;0;1;1;3650;0;;2162;88;9306;10;2;25;135;1504;597;2250;564;31;2898
NEUROCHIR;2023;380000067;HOPITAL NORD - CHU38;380780080;1;39;1;1;0;;1;1;2920;1;;2051;22;10968;40;0;135;262;1728;441;1590;380;88;1948
NEUROCHIR;2023;420785354;HOPITAL NORD - CHU42;420784878;1;44;1;1;1;3;1;1;6388;1;53;2322;85;12851;27;1;155;136;1184;302;669;214;20;1189
NEUROCHIR;2023;440017598;CHU DE NANTES SITE LAENNEC;440000289;1;30;1;1;1;;1;1;;0;;1506;299;6237;7;0;12;392;1618;143;171;450;36;2219
NEUROCHIR;2023;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;18;0;0;1;18;1;0;0;0;0;665;2;5537;6;0;55;75;571;207;687;17;0;71
NEUROCHIR;2023;490000049;CHR ANGERS SITE LARREY;490000031;1;32;0;0;1;2;1;1;;1;;1722;30;9060;15;1;56;134;705;65;451;258;49;1270
NEUROCHIR;2023;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;29;0;1;1;6;1;1;520;0;;2448;849;6859;6;2;16;60;399;633;1804;325;14;1419
NEUROCHIR;2023;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;72;1;1;1;8;1;;;1;192;2561;14;23968;10;0;74;129;1968;143;1910;593;100;3678
NEUROCHIR;2023;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;0;;0;0;1;;1;0;;0;;1;0;2;432;8;2306;135;587;1;2;32;2;296
NEUROCHIR;2023;590000618;CH VALENCIENNES;590782215;1;22;1;1;0;;1;1;77;1;610;1147;116;5976;9;4;17;107;536;16;177;0;0;0
NEUROCHIR;2023;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;1;126;1;1;1;0;1;1;5506;1;175;4678;520;23006;725;186;2470;265;3750;47;603;906;121;3756
