BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;MAUT;1.31;;;
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2200;0.63;;;
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2300;0.9;;;
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2400;0.9;;;
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2500;0.08;;;
NEUROCHIR_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;NAUT;1.68;;;
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M103X;5.38;;;
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M1160;2.6;;0;1
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M2060;4.57;;0;1
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2200;12.98;;;
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;15.84;;;
NEUROCHIR_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NAUT;16.49;;;
NEUROCHIR_P;2023;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;M2060;;1;0;0
NEUROCHIR_P;2023;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;080010242;N2300;0.2;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;M1120;0.58;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;M2060;4.38;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;MAUT;0.15;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;N2200;12.52;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;N2400;0.3;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;N2500;10.41;;;
NEUROCHIR_P;2023;130780521;APHM HOPITAL NORD;130786049;NAUT;4;;;
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;M2060;5.72;;0;1
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;MAUT;0.1;;;
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;N2200;30.82;;;
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;N2300;0.17;;;
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;N2500;29.92;;;
NEUROCHIR_P;2023;130783293;APHM HOPITAL LA TIMONE;130786049;NAUT;6.83;;;
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M103X;;13;;
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M1120;;11;0;1
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M1160;;9;0;1
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;M2060;;13;0;1
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;N2200;21.79;;;
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;N2500;20.37;;;
NEUROCHIR_P;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;NAUT;11.06;;;
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;M1160;1.86;;0;0
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;M2060;7.68;;1;0
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;N2200;22.96;;;
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;N2500;28.37;;;
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;N4000;12.68;;;
NEUROCHIR_P;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;NAUT;17.4;;;
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;M1120;0;;0;1
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;M1160;3.1;0;0;1
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;M2060;7;0;0;1
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;N2300;20.3;;;
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;N2500;14.31;;;
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;N4000;6.2;0;;
NEUROCHIR_P;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;NAUT;11.62;;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;M103X;1.13;0;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;M1120;0.1;0;0;0
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;M1160;2.66;4;0;0
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;M2060;2.63;2;0;1
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;N2200;1.91;0;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;N2400;1.2;0;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;N2500;8.74;0;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;N4000;3.87;0;;
NEUROCHIR_P;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;NAUT;5.22;0;;
NEUROCHIR_P;2023;260020078;SERVICE NEUROCHIRURGIE - CHU42;420784878;M2060;2.47;;0;1
NEUROCHIR_P;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M103X;0.6;;;
NEUROCHIR_P;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M1120;3.5;;0;1
NEUROCHIR_P;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M1160;1.48;;0;1
NEUROCHIR_P;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M2060;5.5;;0;1
