BOR;AN;FI;RS;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A24;ORG_B24;ORG_C24;ORG_A25;ORG_A26;ORG_A27;FI_EJ;vide
ORG;2023;010000024;CH DE FLEYRIAT;;;;2;D;C;;;;1;D;B;;;;;;;609;C;D;;;;0;;;;;;;;;;0;1;1;010780054;0
ORG;2023;010000032;CH BUGEY SUD;;;;2;A;B;;;;1;A;;2;A;B;;;;25;C;;1;C;;1;1;SAVOIE BELLEY;;;;;;;;1;1;1;010780062;0
ORG;2023;010000065;CH DE TREVOUX - MONTPENSIER;;;;;;;;;;;;;1;A;;;;;4;C;;;;;;;;;;;;;;;0;1;1;010780096;0
ORG;2023;010000081;CH DU PAYS DE GEX;;;;;;;;;;;;;;;;1;A;B;;;;;;;;;;;;;;;;;0;0;;010780112;0
ORG;2023;010000099;CH DE MEXIMIEUX;;;;2;A;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;;;;;0;0;;010780120;0
ORG;2023;010000107;CH DE PONT DE VAUX;2;C;;;;;;;;;;;;;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;;;;;0;1;2;010780138;0
ORG;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;;;;1;C;;;;;2;A;;;;;;;;1;C;;;;;;;;;;;;;;;1;1;2;010009132;0
ORG;2023;010000131;CHI AIN VAL DE SAONE - THOISSEY;;;;1;C;;;;;2;A;;;;;;;;1;C;;;;;;;;;;;;;;;1;1;2;010009132;0
ORG;2023;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;;;;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;;;;;;;;010007987;0
ORG;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;;;;;;;;;;;;;;;;;;;3;D;C;;;;0;;;;;;;;;;;;;010007987;0
