BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFLIB_PM;USP_EFFLIB_PMPAL;USP_EFFLIB_CADRES;USP_EFFLIB_IDE;USP_EFFLIB_IDEPAL;USP_EFFLIB_AIDES;USP_EFFLIB_PSY;USP_EFFLIB_PNMAUT;USP_ETPSAL_PM;USP_ETPSAL_PMPAL;USP_ETPSAL_CADRES;USP_ETPSAL_IDE;USP_ETPSAL_IDEPAL;USP_ETPSAL_AIDES;USP_ETPSAL_PSY;USP_ETPSAL_PNMAUT;EMSP_EFFLIB_PM;EMSP_EFFLIB_PMPAL;EMSP_EFFLIB_CADRES;EMSP_EFFLIB_IDE;EMSP_EFFLIB_IDEPAL;EMSP_EFFLIB_AIDES;EMSP_EFFLIB_PSY;EMSP_EFFLIB_PNMAUT;EMSP_ETPSAL_PM;EMSP_ETPSAL_PMPAL;EMSP_ETPSAL_CADRES;EMSP_ETPSAL_IDE;EMSP_ETPSAL_IDEPAL;EMSP_ETPSAL_AIDES;EMSP_ETPSAL_PSY;EMSP_ETPSAL_PNMAUT
PALIA;2023;010000024;CH DE FLEYRIAT;010780054;1;14;4;0;22;1;1;10;311;;;12;1;1684;34;7;479;60;84;335;841;0;63;94;;;;;;;;;2.21;1.16;0.5;7.28;;7.97;0.97;2;;;;;;;;;0.96;0.71;;1.96;1.4;;1.1;1.4
PALIA;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;;1;1;10;144;;;;0;;;;;;;;;;;;;;;;;;;;1.8;;1;6.56;;6.12;0.5;1.11;;;;;;;;;;;;;;;;
PALIA;2023;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;10;;;187;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;010780195;CLINIQUE CONVERT;010000156;1;4;;;95;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020000089;CH GUISE;020000022;1;4;4;;65;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020000097;CH LA FÈRE;020000048;0;;;;;1;1;8;152;;;;0;;;;;;;;;;;;;;;;;;;;1;;0.46;3.92;3.92;7;;1.19;;;;;;;;;;;;;;;;
PALIA;2023;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;1;6;2;;58;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020000162;CH SAINT-QUENTIN;020000063;1;7;4;0;81;0;;;;;;;1;472;29;4;92;30;62;0;684;5;96;0;;;;;;;;;;;;;;;;;0;0;;;;;;;0.3;0.3;0.3;1.8;;;1.5;
PALIA;2023;020000246;CH VERVINS;020000071;1;3;;;2340;0;;;;;;;1;380;9;5;158;125;33;;83;;7;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.1;1;1;0.5;0.5;
PALIA;2023;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;8;8;0;91;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020000394;CH LAON;020000253;1;7;0;0;48;0;;;;;;;1;6107;12;3;483;;483;0;286;;7;6;;;;;;;;;;;;;;;;;;;;;;;;;0.33;;;1;;;1.17;1.95
PALIA;2023;020000519;CH SOISSONS;020000261;0;;;;;1;1;12;310;;;22;1;1926;;;24;0;23;1;523;22;135;30;;;;;;;;;2.04;;0.08;9.99;;9.65;;2.29;;;;;;;;;0.42;;;2.1;;;0.3;1.37
PALIA;2023;020000535;CH CHAUNY;020000287;1;5;1;;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;6;;;22;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;0.2;;0.2;0.2;
PALIA;2023;020001087;CH HIRSON;020004495;1;6;;;69;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;4;0;0;95;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
PALIA;2023;030000061;CH DE MOULINS;030780092;1;6;0;0;93;0;;;;;;;1;5610;1;1;1236;17;5;1211;737;0;24;10;;;;;;;;;;;;;;;;;;;;;;;;;0.25;0;0.2;3.58;;;0.5;0.77
PALIA;2023;030000079;CH DE MONTLUCON;030780100;1;8;0;0;158;0;;;;;;;1;5103;4;1;653;0;56;597;715;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;0.1;2.09;;;0.9;
PALIA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;4;2;0;57;1;1;10;173;0;0;9;1;5518;22;1;833;376;152;305;689;0;84;13;0;0;0;0;0;0;0;0;1.72;0.88;0;5.64;2;9.01;1;0;0;0;0;0;0;0;0;0;0.51;0;0;2;1;0.96;1;0
PALIA;2023;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1;1;;;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;7;;;91;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;3;;;17;1;1;10;245;;;;1;383;13;2;286;;68;218;567;;45;15;;;;;;;;;1.5;1.5;0.8;8.7;2;9.6;1;5.1;;;;;;;;;1.35;;0.1;3.8;;;1.3;2
PALIA;2023;040000119;EPS LUMIERE DE RIEZ;040780231;1;2;2;;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
