BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;IVG1516;CONV;IMG;AMP;PAT_AMP
PERINAT;2023;010000024;CH DE FLEYRIAT;010780054;TYPE2;;1;28;9;3;;5;2410;262;184;12;104;6;0;0;1697;1;9075;2355;1581;0;5684;1841;8136;288;1716;14;1810;31;10;;1875;3539;4035;;109;0;1;513;517;356;30;24;;17;1;0
PERINAT;2023;010000032;CH BUGEY SUD;010780062;TYPE1;;0;8;0;0;0;2;434;49;0;0;0;0;0;0;328;3;1387;0;0;0;1149;330;1294;47;244;0;329;1;2;0;332;1894;1987;196;24;0;1;87;97;48;3;1;2;0;0;0
PERINAT;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;73;;73;0;0;;0;0;0
PERINAT;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;TYPE1;;;17;;;;3;737;114;0;0;0;0;0;0;531;8;2291;0;0;0;1792;531;2076;78;383;0;529;2;7;;533;3275;5231;0;14;0;1;117;126;105;1;1;;0;0;0
PERINAT;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;TYPE1;;;15;0;0;0;3;730;53;0;0;0;0;0;0;568;17;2473;0;0;0;1899;561;2232;144;652;0;557;4;18;;572;;;;26;0;0;0;0;0;0;0;;0;0;0
PERINAT;2023;020000089;CH GUISE;020000022;CPPR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1197;343;35;0;0;0;0;;0;0;0;0;0;0;0
PERINAT;2023;020000162;CH SAINT-QUENTIN;020000063;TYPE2;;0;28;9;6;0;5;2094;172;351;34;364;25;0;0;1391;0;7686;1725;1993;0;4416;1602;6741;325;1690;11;1575;27;9;0;1651;7895;7627;158;94;0;1;421;425;326;33;1;1;11;0;0
PERINAT;2023;020000394;CH LAON;020000253;TYPE2;;;18;6;;;3;1088;97;209;7;0;0;0;0;593;3;3945;1255;0;0;2193;759;3469;175;946;0;750;9;4;;770;5267;4143;;7;0;1;343;253;257;12;4;;7;0;0
PERINAT;2023;020000519;CH SOISSONS;020000261;TYPE2;;;18;8;4;0;3;1246;100;239;8;83;10;0;0;785;1;4676;1690;480;0;2779;917;4119;172;967;0;901;16;1;;935;9365;2196;;18;0;1;323;269;267;20;4;3;5;0;0
PERINAT;2023;020000535;CH CHAUNY;020000287;TYPE1;;;16;;;;3;685;88;0;0;0;0;0;0;502;6;2001;0;0;0;1577;492;1780;114;506;1;485;7;6;0;508;9612;1244;200;70;0;1;204;243;129;8;0;;0;0;0
