BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU
PSY;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;GEN;;4;;;274;;;;;;105701;87;;;3053;88285;;;;;;8751;;;12;1;13;70645;4525;30471;12470;3088;3762;0;11658;9267;;22.71;;12.43;0;1;;627.35;362.45;96.71;36.07;7.82;42.91
PSY;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INF;;1;;;14;;;;;;4327;14;;;198;3493;;;;;;1807;;;11;1;6;24535;1538;8260;543;36;614;831;2915;2664;;6.29;;;0;1;;124.85;59.91;5.93;22.12;11.64;15.01
PSY;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5367;;;;852;812;;0.76;;;;;;5.99;2.95;;3.03;;
PSY;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;TOT;1;;5;1;288;;;;;;110028;101;;;3251;91778;;;;;;10558;;;23;2;19;95180;6063;38731;18380;3124;4376;831;15070;12547;;29.76;;12.43;;;;758.19;425.31;102.64;61.22;19.46;57.92
PSY;2023;010010171;CLINIQUE DE CHATILLON;010011559;GEN;;;;;85;;;;15;;31025;20;4;;967;36628;;;;3012;;5276;;;;;;;;;;;;;970;;5;0.4;;0.51;0;0;;57.26;26.2;19.94;5.57;4.54;1.01
PSY;2023;010010171;CLINIQUE DE CHATILLON;010011559;TOT;0;;;0;85;;;;15;;31025;20;4;;967;36628;;;;3012;;5276;;;;;;;;;;;;;970;;5;0.4;;0.51;;;;57.26;26.2;19.94;5.57;4.54;1.01
PSY;2023;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;INF;;;;;;;;;;;;3;;;;;;;;;;585;;;;;;;;;;;;;34;;;0.3;;0.05;0;0;;3.18;1;0;0.5;0.3;0.88
PSY;2023;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;TOT;0;;;0;;;;;;;;3;;;;;;;;;;585;;;;;;;;;;;;;34;;;0.3;;0.05;;;;3.18;1;0;0.5;0.3;0.88
PSY;2023;020000386;CLINIQUE DE LA ROSERAIE;020000600;GEN;;;;;86;;;;;;31390;10;;;870;29971;;;;;;2413;;;;;;;;;;;;;589;;6;;0;0.43;0;0;6;58.02;26.65;4.66;1.97;;2.04
PSY;2023;020000386;CLINIQUE DE LA ROSERAIE;020000600;TOT;0;;;0;86;;;;;;31390;10;;;870;29971;;;;;;2413;;;;;;;;;;;;;589;;6;;0;0.43;;;6;58.02;26.65;4.66;1.97;;2.04
PSY;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;GEN;;5;;;288;76;0;0;0;0;105120;52;0;0;2468;81247;27491;0;0;0;0;6514;0;0;7;25;3;41712;3492;7806;14709;2090;2504;10;8169;6364;0;26.4;0;0;1;;0;533.35;317.95;80.4;21.4;1.8;21.2
PSY;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;INF;;3;;;24;3;;;0;0;7500;118;0;0;314;3867;104;;;0;0;6710;0;0;9;18;0;31783;1189;;247;6;614;164;3805;3511;0;11.8;0;0;1;;0;184.87;92.4;5.5;26.6;8.8;24.3
