FI;PERSO;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_PC;ETP_PC_EXT;ETP_PC_PA_EXT;ETP_PA;ETP_PA_EXT;ETP_AUTRES;BOR;AN;RS;FI_EJ;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETPSAL_TOT_PUBLIC;EFFSAL;ETPSAL;EFFLIB;cf_at;cf_au
010000024;M1010;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;6;6;4;12;;;;;8.98;12.13;;28;21.11;;;
010000024;M1020;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;2;0;0;;;;;1.67;2;;4;3.67;;;
010000024;M1030;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;5;5;1;6;;;;;6.09;8.35;;17;14.44;;;
010000024;M1031;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;5;2;0;0;;;;;5;1.75;;7;6.75;;;
010000024;M1040;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;0;1;0;;;;;2.4;0;;3;2.4;;;
010000024;M1050;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;1;1;1;;;;;0.4;1.07;;3;1.47;;;
010000024;M1070;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;0;1;1;;;;;0.4;1;;2;1.4;;;
010000024;M1090;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;5;0;2;0;;;;;4.86;1;;7;5.86;;;
010000024;M1100;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;2;1;1;;;;;3.36;1.63;;6;4.99;;;
010000024;M1110;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;4;0;0;2;;;;;3.66;1.33;;6;4.99;;;
010000024;M1120;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;5;0;2;1;;;;;5.76;0.92;;8;6.68;;;
