BOR;AN;FI;RS;FI_EJ;INTMED;DOCJU_MED;INTPHA;DOCJU_PHA;INTODO;DOCJU_ODO;INTGEN;INTURG;DOCJU_URG;INT;DOCJU;FFI;dtSTAG
Q22;2023;010000024;CH DE FLEYRIAT;010780054;20;4;4;0;0;0;25;5;3;54;7;14;7
Q22;2023;010000032;CH BUGEY SUD;010780062;;;;;;;4;;;4;;;
Q22;2023;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;4;;;4;;;
Q22;2023;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;5;;;;;;1;;;6;;;
Q22;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;2;0;0;2;0;2;0
Q22;2023;020000089;CH GUISE;020000022;;;;;;;2;;;2;;;
Q22;2023;020000162;CH SAINT-QUENTIN;020000063;40;10;4;2;0;0;25;7;0;76;12;53;37
Q22;2023;020000394;CH LAON;020000253;;;1;;;;4;1;;6;;34;17
Q22;2023;020000519;CH SOISSONS;020000261;4;;1;;;;4;;;9;;36;
Q22;2023;020000535;CH CHAUNY;020000287;;;;;;;4;;;4;;13;4
Q22;2023;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;;;;;;;;;;;;4;
Q22;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;;;;;;2;;;3;;12;5
Q22;2023;020003877;SSR CH LAON;020000253;;;;;;;;;;;;4;4
Q22;2023;020004677;USLD CH SOISSONS;020000261;;;;;;;;;;;;1;
Q22;2023;020005476;USLD CH LAON;020000253;;;;;;;;;;;;1;1
Q22;2023;030000061;CH DE MOULINS;030780092;10;1;;;;;11;4;1;25;2;42;27
Q22;2023;030000079;CH DE MONTLUCON;030780100;21;;;;;;3;6;;30;;56;27
Q22;2023;030000087;CH JACQUES LACARIN VICHY;030780118;24;6;2;1;0;0;19;4;0;49;7;27;16
Q22;2023;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;;;;;;4;4
Q22;2023;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;2;;;;;;;;;2;;;
Q22;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;;;;;;;;;1;;;
Q22;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;;;;;;;;;;;;4;4
Q22;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;0;0;0;1;0;0;20;0;0;20;1;0;0
