BOR;AN;FI;RS;FI_EJ;UNI;LIT;LIT_PROXI;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2023;010000024;CH DE FLEYRIAT;010780054;REAADU;12;;4380;579;591;66;3239;16;38;72;6.65;;2.2;;28.83;;19.77;;0;;2.36;
REA;2023;010000024;CH DE FLEYRIAT;010780054;SITOT;6;6;2190;506;;;1323;;;;;;;;;;;;;;;
REA;2023;010000024;CH DE FLEYRIAT;010780054;SIUNV;6;6;2190;506;;;1323;;;;1.43;;;;;;;;;;;
REA;2023;010000024;CH DE FLEYRIAT;010780054;SURVADU;8;8;2920;512;;;1369;;;;;;;;8.35;;5.82;;;;;
REA;2023;010000024;CH DE FLEYRIAT;010780054;SURVENF;4;;1460;223;;;927;;;;0.82;;;;;;;;;;;
REA;2023;010000032;CH BUGEY SUD;010780062;SURVADU;4;0;1460;813;;;1398;;;;0.6;;0.16;;4.28;;4.16;;;;;
REA;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SURVADU;3;;1095;517;;;742;;;;0;;;;6.44;;5.64;;;;0.09;
REA;2023;010780195;CLINIQUE CONVERT;010000156;REAADU;10;;3650;703;744;29;3854;21;29;193;0;12;0;0;23.02;0;11.04;0;0;0;0.98;0
REA;2023;010780195;CLINIQUE CONVERT;010000156;SITOT;8;;2920;1288;;;2089;;;;;;;;;;;;;;;
REA;2023;010780195;CLINIQUE CONVERT;010000156;SURVADU;5;5;1825;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0
REA;2023;010780195;CLINIQUE CONVERT;010000156;USIC;8;;2920;1288;;;2089;;;;0;13;0;0;10.85;0;6.92;0;0;0;1.04;0
REA;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;SURVADU;6;0;2190;46;;;188;;;;5;0;0;0;0.1;0;0.1;0;0;0;0;0
REA;2023;020000162;CH SAINT-QUENTIN;020000063;REAADU;10;;3650;408;412;10;4151;22;50;52;5.08;;1.2;;27.08;;24.67;;;;5.42;
REA;2023;020000162;CH SAINT-QUENTIN;020000063;SITOT;18;0;6570;1533;;;4852;;;;;;;;;;;;;;;
REA;2023;020000162;CH SAINT-QUENTIN;020000063;SIUNV;6;0;2190;519;;;1353;;;;2.5;;0;;6.12;;3.34;;;;;
REA;2023;020000162;CH SAINT-QUENTIN;020000063;SURVADU;6;0;2190;222;;;1221;;;;1;;;;;;;;;;;
REA;2023;020000162;CH SAINT-QUENTIN;020000063;USIC;12;0;4380;1014;;;3499;;;;3;;0.6;;19.24;;10.13;;;;4.3;
REA;2023;020000394;CH LAON;020000253;REAADU;8;;2920;299;305;11;2939;6;36;46;2.42;;0.47;;21.64;;11.81;;;;0.7;
REA;2023;020000394;CH LAON;020000253;SITOT;6;0;2190;541;;;1436;;;;;;;;;;;;;;;
REA;2023;020000394;CH LAON;020000253;SURVADU;4;4;1360;154;;;519;;;;2.42;;0.2;;4;;3;;;;0.8;
REA;2023;020000394;CH LAON;020000253;USIC;6;0;2190;541;;;1436;;;;2.2;;;;7.43;;3;;;;0.6;
REA;2023;020000519;CH SOISSONS;020000261;REAADU;8;;2920;298;301;21;2266;17;49;41;7.98;;;;20.85;;18.45;;0.2;;2.81;
REA;2023;020000519;CH SOISSONS;020000261;SITOT;12;0;4380;1071;;;2687;;;;;;;;;;;;;;;
REA;2023;020000519;CH SOISSONS;020000261;SIUNV;6;0;2190;509;;;1287;;;;;;0.5;;7.03;;3.82;;;;2.65;
REA;2023;020000519;CH SOISSONS;020000261;SURVADU;4;4;1460;175;;;709;;;;7.98;;;;;;;;;;;
REA;2023;020000519;CH SOISSONS;020000261;USIC;6;0;2190;562;;;1400;;;;;;;;8.03;;4.43;;;;4.03;
REA;2023;020000535;CH CHAUNY;020000287;SITOT;6;;2190;558;;;2189;;;;;;;;;;;;;;;
REA;2023;020000535;CH CHAUNY;020000287;SURVADU;3;;1095;66;;;441;;;;0.9;;;;;;;;;;;
REA;2023;020000535;CH CHAUNY;020000287;USIC;6;;2190;558;;;2189;;;;0.98;;;;;;;;;;;
REA;2023;020001061;CH CHÂTEAU-THIERRY;020004404;REAADU;9;;3285;314;323;7;2873;9;37;69;4.06;;;;22.53;;15.63;;;;0.55;
REA;2023;020001061;CH CHÂTEAU-THIERRY;020004404;SITOT;3;;1095;201;;;713;;;;;;;;;;;;;;;
REA;2023;020001061;CH CHÂTEAU-THIERRY;020004404;SURVADU;3;;1095;255;;;1260;;;;1.32;;;;2.9;;2.76;;;;0.2;
REA;2023;020001061;CH CHÂTEAU-THIERRY;020004404;USIC;3;;1095;201;;;713;;;;0.89;;;;2;;3.77;;;;0.2;
REA;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;AUTSI;4;;1460;444;;;2579;;;;;11;;;;;;;;;;
REA;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SITOT;4;;1460;444;;;2579;;;;;;;;;;;;;;;
REA;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SURVADU;12;;4380;113;;;992;;;;;11;;;3.63;;3.63;;;;;
REA;2023;030000061;CH DE MOULINS;030780092;REAADU;8;;2920;333;348;10;2541;5;49;67;6.13;;;;18.92;;13.3;;;1;1.83;
REA;2023;030000061;CH DE MOULINS;030780092;SITOT;4;;1518;440;;;1103;;;;;;;;;;;;;;;
