BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2023;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;0;;0;1;252;336;252;2;3;0;0;1041;318;249;0;0;0;1608;;179;4;42;136;799;89;186;549;250;363478;8289;345470;305512;206870;204688;84649;403;223;180;682;0;3;6;9381;1
SMURSAMU;2023;010000032;CH BUGEY SUD;010780062;1;1;0;0;0;;0;0;168;168;168;;2;;;412;27;;17;2;;458;434;54;5;42;363;332;24;48;163;169;;;;;;;;;;;;;;;;
SMURSAMU;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;434;20;0;0;0;0;454;251;61;2;25;163;357;49;60;251;106;;;;;;;;;;;;;;;;
SMURSAMU;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;589;37;;;;;626;116;89;;27;;495;;;274;221;;;;;;;;;;;;;;;;
SMURSAMU;2023;020000162;CH SAINT-QUENTIN;020000063;1;1;0;0;0;;0;0;456;336;336;1;2;0;0;980;77;348;6;106;0;1517;413;6;3;178;226;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;020000394;CH LAON;020000253;1;1;0;0;0;;0;1;336;336;336;2;3;1;0;762;420;77;77;243;0;1579;331;108;32;11;403;738;73;100;566;172;320826;62746;244473;210755;151680;100161;43943;248;168;80;360;0;0;0;1342;0
SMURSAMU;2023;020000519;CH SOISSONS;020000261;1;1;0;0;0;;0;0;168;168;168;;2;;;721;4;0;0;0;0;725;323;115;2;40;163;565;54;130;528;37;;;;;;;;;;;;;;;;
SMURSAMU;2023;020000535;CH CHAUNY;020000287;1;1;0;0;0;;0;0;168;168;168;;2;;;539;6;;;;;545;307;76;6;12;213;238;18;44;144;94;;;;;;;;;;;;;;;;
SMURSAMU;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;0;;0;0;168;168;129;1;1;;;516;131;;;;;647;98;85;3;8;2;463;43;70;401;62;;;;;;;;;;;;;;;;
SMURSAMU;2023;020001087;CH HIRSON;020004495;1;1;0;0;0;;0;0;336;168;168;;1;;;384;16;3;;;;403;176;49;17;38;176;326;37;91;159;167;;;;;;;;;;;;;;;;
SMURSAMU;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;1;0;0;0;1;020000063;0;0;168;168;0;;1;;;317;0;0;0;0;0;317;198;53;3;19;123;122;11;13;101;21;;;;;;;;;;;;;;;;
SMURSAMU;2023;030000061;CH DE MOULINS;030780092;1;1;0;0;0;;0;1;252;252;252;2;2;1;0;796;229;65;74;54;0;1218;384;96;7;125;156;375;73;137;321;54;336561;45208;281626;266889;194552;158461;50164;276;168;118;672;1;3;0;2820;0
SMURSAMU;2023;030000079;CH DE MONTLUCON;030780100;1;1;0;0;0;;0;0;336;336;223;2;2;0;0;894;151;;43;23;;1111;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;0;;0;0;208;336;336;2;2;0;0;1117;132;0;116;12;0;1377;533;175;0;98;194;563;116;156;541;22;;;;;;;;;;;;;;;;
SMURSAMU;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;0;0;;0;0;238;168;168;1;2;0;0;666;72;0;0;0;;738;167;22;1;30;104;528;29;93;312;216;;;;;;;;;;;;;;;;
SMURSAMU;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;1;0;0;0;;0;0;168;168;168;1;1;;;303;118;;;;;421;93;56;1;7;29;203;11;27;77;126;;;;;;;;;;;;;;;;
SMURSAMU;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;1;0;0;0;;0;1;168;168;168;1;2;0;0;337;45;0;284;11;0;677;24;22;0;2;0;621;0;0;480;141;174913;3841;164744;155607;83710;40909;12406;293;168;125;336;0;8;1;720;1
SMURSAMU;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;0;0;;0;0;168;168;168;;1;1;;143;29;0;460;14;0;646;84;27;3;12;37;589;61;22;0;589;;;;;;;;;;;;;;;;
SMURSAMU;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;0;0;0;;0;1;336;175;0;0;3;1;0;617;136;154;288;212;0;1407;98;130;43;43;98;716;85;66;560;156;89462;3181;86281;85771;46820;44544;14821;276;168;108;840;0;40;0;314;0
SMURSAMU;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;865;142;;;;;1007;230;92;3;32;230;625;81;231;431;194;;;;;;;;;;;;;;;;
