BOR;AN;FI;RS;FI_EJ;PERSO;SMUR_ETPSAL;SMUR_EFFLIB;SMUR_COMSU;SAMU_ETPSAL;SAMU_EFFLIB
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;M9999;2.79;;1;3.73;3
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;MREG;2.79;;1;0;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;N2120;0.5;;1;0.5;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;N2223;9.28;;0;0.34;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;N2500;0;;;1.47;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;N5140;9.95;;0;0;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;N9999;24.03;;;34.38;
SMURSAMU_P;2023;010000024;CH DE FLEYRIAT;010780054;NARM;0;;0;32.07;
SMURSAMU_P;2023;010000032;CH BUGEY SUD;010780062;M9999;3.83;;0;;
SMURSAMU_P;2023;010000032;CH BUGEY SUD;010780062;N2120;0.24;;0;;
SMURSAMU_P;2023;010000032;CH BUGEY SUD;010780062;N2223;6.31;;0;;
SMURSAMU_P;2023;010000032;CH BUGEY SUD;010780062;N5140;6.47;;0;;
SMURSAMU_P;2023;010000032;CH BUGEY SUD;010780062;N9999;13.02;;0;;
SMURSAMU_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;0;0;1;0;0
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;0;11;1;;
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2120;0.46;0;1;;
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2223;4.8;;1;;
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N5140;5.53;;1;;
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;15.37;0;1;;
SMURSAMU_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NSEC;4.58;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;M9999;13.12;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2120;0.17;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2223;0.56;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2500;1.76;;;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;N5140;0.9;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;N9999;3.87;;1;;
SMURSAMU_P;2023;020000162;CH SAINT-QUENTIN;020000063;NARM;0.48;;0;;
SMURSAMU_P;2023;020000394;CH LAON;020000253;M9999;7.47;;1;3.63;
SMURSAMU_P;2023;020000394;CH LAON;020000253;N2120;0.5;;0;0.5;
SMURSAMU_P;2023;020000394;CH LAON;020000253;N2223;9.45;;0;3.18;
SMURSAMU_P;2023;020000394;CH LAON;020000253;N2500;;;;1;
SMURSAMU_P;2023;020000394;CH LAON;020000253;N5140;11.68;;0;0.65;
SMURSAMU_P;2023;020000394;CH LAON;020000253;N9999;22.06;;;30.31;
SMURSAMU_P;2023;020000394;CH LAON;020000253;NARM;;;;15.68;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;M9999;2;;1;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;N2120;;;1;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;N2223;5.41;;1;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;N2500;1.75;;;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;N5140;4.26;;1;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;N9999;11.43;;;;
SMURSAMU_P;2023;020000519;CH SOISSONS;020000261;NSEC;;;1;;
SMURSAMU_P;2023;020000535;CH CHAUNY;020000287;M9999;10.84;;1;;
SMURSAMU_P;2023;020000535;CH CHAUNY;020000287;N2120;0.2;;;;
SMURSAMU_P;2023;020000535;CH CHAUNY;020000287;N2223;4;;;;
SMURSAMU_P;2023;020000535;CH CHAUNY;020000287;N2500;3;;;;
SMURSAMU_P;2023;020000535;CH CHAUNY;020000287;N9999;7.2;;;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;5.44;;1;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;0.2;;1;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2223;1;;1;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N5140;5;;;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;7.2;;1;;
SMURSAMU_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;NSEC;1;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;M9999;9.37;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;N2120;0.5;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;N2223;3.2;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;N2500;1.71;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;N5140;1.4;;;;
SMURSAMU_P;2023;020001087;CH HIRSON;020004495;N9999;6.81;;;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M1140;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M9999;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;MREG;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2120;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2223;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N5140;;;1;;
SMURSAMU_P;2023;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N9999;;;1;;
