BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM;GDE
URGENCES2;2023;010000024;CH DE FLEYRIAT;010780054;GEN;877;742;1;IAO;38394;5316;9787;7965;1606;1218;0;;;0;;;131;23;1;;10;3650;3283;339;3578;1;1;
URGENCES2;2023;010000032;CH BUGEY SUD;010780062;GEN;168;168;1;IAO;13853;1586;3935;2453;971;475;0;0;0;0;0;0;199;22;11;;4;1460;536;313;229;0;1;
URGENCES2;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;GEN;420;504;1;IAOMAO;22146;1991;4973;4231;1168;633;;;;;;;440;36;39;;5;1825;1375;364;1140;1;0;
URGENCES2;2023;010780195;CLINIQUE CONVERT;010000156;GEN;200;340;1;;23548;1902;4530;;;;;;;;;;;;;;4;1460;2444;2008;439;1;0;
URGENCES2;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;GEN;369;898;1;IAO;38165;3489;9152;;;;;;;;;;;;;;8;2920;4451;2083;2662;1;1;
URGENCES2;2023;020000162;CH SAINT-QUENTIN;020000063;GEN;820;1092;1;IAOMAO;37971;5568;80;11627;1587;1;18;1;3;0;0;0;63;0;0;;10;3650;5744;1841;4201;0;0;
URGENCES2;2023;020000162;CH SAINT-QUENTIN;020000063;PED;168;420;0;;18150;;;;;;;;;;;;;;;2395;0;0;0;0;0;;;
URGENCES2;2023;020000394;CH LAON;020000253;GEN;463;628;1;IAOMAO;25505;3169;3700;4814;1482;45;8;5;0;0;0;0;930;196;17;;4;1460;5059;3537;1574;1;1;
URGENCES2;2023;020000394;CH LAON;020000253;PED;168;168;1;IAO;9516;;;;;;;;;;;;;;;599;;;0;0;0;;;
URGENCES2;2023;020000519;CH SOISSONS;020000261;GEN;546;1848;1;IAO;34396;4662;4772;6410;2176;49;;;;;;;434;33;16;;8;1772;1882;896;1356;0;0;
URGENCES2;2023;020000519;CH SOISSONS;020000261;PED;238;336;0;;10546;;;;;;;;;;;;;;;1063;0;0;0;0;0;;;
URGENCES2;2023;020000535;CH CHAUNY;020000287;GEN;168;420;1;MAO;18377;2159;2210;;;;;;;;;;;;;;6;2190;2303;1374;995;1;0;
URGENCES2;2023;020001061;CH CHÂTEAU-THIERRY;020004404;GEN;266;416;1;IAO;33217;3571;9575;6963;1771;702;;;;;;;782;292;27;;8;2920;4995;2601;2644;1;0;
URGENCES2;2023;020001087;CH HIRSON;020004495;GEN;336;406;1;IAO;14631;1715;3114;264;1210;18;;;;;;;874;210;60;;4;1460;2381;1523;905;;;
URGENCES2;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;GEN;168;322;1;IAO;10157;918;808;;;;;;;;;;;;;;6;2190;627;483;144;1;1;
URGENCES2;2023;030000061;CH DE MOULINS;030780092;GEN;420;588;1;IAO;37452;4413;9405;10826;2956;1085;3;0;0;1;0;0;;0;0;;8;2920;4456;2290;2658;1;1;
URGENCES2;2023;030000079;CH DE MONTLUCON;030780100;GEN;252;420;1;IAO;36869;5102;12078;6841;2558;968;138;3;0;;;;251;38;21;;6;2190;2245;226;2180;1;1;
URGENCES2;2023;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;399;1515;1;IAOMAO;32895;5873;5917;9352;3363;828;379;21;4;2;1;0;316;37;61;;10;3650;5204;1632;4008;0;1;
URGENCES2;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;GEN;490;1092;1;IAO;22236;2420;5300;3150;1070;326;;;;;;;38;4;3;;8;2920;2309;599;1727;1;0;
URGENCES2;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;GEN;336;434;0;;17760;2383;3432;2927;1039;116;0;0;0;;;;788;370;34;;4;1460;2014;800;1287;;;
URGENCES2;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;406;588;1;IAOMAO;23922;2332;5198;3288;1080;99;428;13;10;0;0;0;623;79;129;;6;2190;1911;710;1336;1;1;
URGENCES2;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;;1;IAO;21076;1799;3894;4998;1002;469;;2;;;;;;;;;2;730;1766;1376;396;;;
URGENCES2;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;GEN;168;168;;;8481;938;1924;1000;411;26;;;;;;;202;;;;2;730;942;714;231;;;
URGENCES2;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;GEN;210;525;1;IAO;31059;4903;5436;9654;2572;996;3;;;;;;2124;824;115;;10;3650;4310;1207;3221;;;
URGENCES2;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;446;806;1;IAOMAO;42780;4674;16041;9474;;;290;;;;;;581;;;;12;4380;4080;1386;3290;0;1;
URGENCES2;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;672;1512;1;IAO;48444;7751;13312;6259;2247;1148;487;4;2;0;0;0;371;78;46;;12;4380;4162;899;5448;1;1;
URGENCES2;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;668;1227;1;IAOMAO;51598;8859;10878;11168;4820;974;582;;;;;;1027;;;;7;2555;2613;1873;746;1;1;
URGENCES2;2023;060002102;CH LA PALMOSA DE MENTON;060791761;GEN;336;238;1;IAO;19414;3176;2996;2487;;;20;;;0;0;0;573;;;;4;1460;3493;2594;925;1;1;
URGENCES2;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;GEN;166;307;1;IAO;18406;2387;303;2448;682;6;;;;;;;154;32;3;;4;1460;664;549;115;1;1;
URGENCES2;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;GEN;252;348;1;IAO;33130;2574;6361;2399;772;128;;;;;;;359;41;102;;5;1830;1074;916;158;1;1;
URGENCES2;2023;060780715;CLINIQUE SAINT GEORGE;060000361;GEN;280;322;1;IAO;29043;3312;6629;3694;1055;49;11;2;;;;;110;79;23;;4;1460;50;50;0;;;
URGENCES2;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;GEN;168;238;1;IAO;14275;1342;114;;;;;;;;;;;;;;8;2920;1906;1558;354;1;1;
URGENCES2;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;PED;420;252;;;50475;;;;;;;;;;;;;;;7579;8;2920;2783;1913;872;;;
URGENCES2;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;964;2184;1;IAOMAO;94871;14934;1693;;;;;;;;;;;;;;19;;7367;4340;3127;1;1;
URGENCES2;2023;070000013;CH DE PRIVAS ARDECHE;070002878;GEN;168;84;;;16114;2244;2255;3764;1413;2255;37;;;;;;433;;;;5;1565;2335;549;2113;1;1;
URGENCES2;2023;070000179;CH ARDECHE NORD;070780358;GEN;476;336;1;IAO;32132;3478;9096;10143;2499;1340;;;;;;;;;;;14;5110;7480;3036;5672;1;1;
URGENCES2;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;GEN;420;490;1;IAO;24711;3590;4409;;;;;;;;;;;;;;10;3650;4753;1796;3968;;;
URGENCES2;2023;070780424;CLINIQUE PASTEUR;070000245;GEN;168;245;1;IAO;15522;921;2401;948;126;11;0;;;0;;;60;7;4;;2;730;320;34;296;1;1;
URGENCES2;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;GEN;156;453;1;IAO;18268;2031;4067;940;233;434;;;;;;;;;;;4;1105;3637;2005;1842;1;0;
URGENCES2;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;GEN;336;336;1;IAO;14825;1670;2887;1005;432;13;2;1;0;;;;88;11;13;;6;2190;2022;791;1421;1;0;
URGENCES2;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;GEN;168;252;0;;3352;406;732;279;173;2;1;1;0;;;;80;12;12;;0;;642;480;167;1;1;
URGENCES2;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;GEN;348;1092;1;IAO;58384;5130;16119;2978;565;748;;;;;;;;;;;8;2920;8482;4893;3873;1;1;
URGENCES2;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;GEN;742;826;1;IAOMAO;39174;5188;7594;11137;2855;797;0;0;0;0;0;0;30;1;6;;8;2920;6797;3636;3196;0;1;
URGENCES2;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;336;336;0;;10778;2260;1419;2106;;;;;;;;;;;;;3;1095;1028;483;569;1;1;
URGENCES2;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;GEN;908;1302;1;IAO;50388;5812;12515;11376;2959;1839;17;17;0;0;0;0;1152;151;143;;16;5840;1583;149;2992;1;1;
URGENCES2;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;GEN;168;225;1;IAO;18504;3444;3619;2785;998;18;0;0;0;0;0;0;434;172;52;;4;1095;871;179;741;1;0;
URGENCES2;2023;110000023;CH CARCASSONNE;110780061;GEN;380;840;1;IAOMAO;37204;5521;8646;7814;2356;1114;;;;;;;375;71;68;;9;3175;4496;1527;3091;1;1;
URGENCES2;2023;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;GEN;168;252;1;IAO;12294;880;2907;;;;;;;;;;;;;;2;649;1308;692;654;1;1;
URGENCES2;2023;110000056;CH NARBONNE;110780137;GEN;357;924;1;IAO;47410;5909;12981;10535;3309;1202;;;;;;;1288;400;73;;9;3131;8605;5334;3542;1;0;
URGENCES2;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;GEN;168;400;1;IAO;19388;1487;2949;1859;437;39;;;;;;;;;;;6;2190;1922;1442;487;;;
URGENCES2;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;GEN;168;324;1;IAO;20386;2673;3000;1900;650;120;;;;;;;239;18;25;;4;1460;1734;1513;222;1;1;
URGENCES2;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;GEN;336;332;1;IAO;29149;4652;6597;7045;2503;742;55;0;55;0;0;0;1804;840;60;;6;2190;2326;664;1826;1;1;
URGENCES2;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;GEN;168;168;1;IAO;12897;1767;2140;3513;1076;107;;;;;;;;;;;2;730;1329;996;338;1;0;
URGENCES2;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;GEN;195;336;1;IAO;10372;1629;1676;1302;599;14;2;2;0;0;0;;375;97;34;;2;730;209;77;152;0;0;
URGENCES2;2023;120004569;CH MILLAU;120004528;GEN;168;252;1;IAO;16431;2096;2806;2479;883;57;80;60;1;0;0;0;712;799;114;;3;;1154;363;824;0;1;
URGENCES2;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;GEN;168;172;1;IAO;9473;1295;1932;1657;594;70;0;0;0;0;0;0;205;38;41;;2;730;898;468;448;1;1;
URGENCES2;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;GEN;672;1424;1;IAO;59518;9002;17265;14537;4612;2488;562;25;3;1;1;0;487;227;25;;7;2555;9440;4941;4936;1;1;
