BOR;AN;FI;RS;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;EMG
URGENCES;2023;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;1
URGENCES;2023;010000032;CH BUGEY SUD;010780062;1;1;0;0;0
URGENCES;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;0;0;0
URGENCES;2023;010780195;CLINIQUE CONVERT;010000156;1;1;0;0;0
URGENCES;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;0;0;0
URGENCES;2023;020000162;CH SAINT-QUENTIN;020000063;1;1;0;1;1
URGENCES;2023;020000394;CH LAON;020000253;1;1;0;1;
URGENCES;2023;020000519;CH SOISSONS;020000261;1;1;0;1;0
URGENCES;2023;020000535;CH CHAUNY;020000287;1;1;0;0;1
URGENCES;2023;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;0
URGENCES;2023;020001087;CH HIRSON;020004495;1;1;0;0;
URGENCES;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;1;0;0;0
URGENCES;2023;030000061;CH DE MOULINS;030780092;1;1;0;0;1
URGENCES;2023;030000079;CH DE MONTLUCON;030780100;1;1;0;0;
URGENCES;2023;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;1
URGENCES;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;0;0
URGENCES;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;1;0;0;
URGENCES;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;1;0;0;0
URGENCES;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;0;
URGENCES;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;1;0;0;
URGENCES;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;0;0;
URGENCES;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;0;0;1
URGENCES;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;0;1
URGENCES;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;0;0;1
URGENCES;2023;060002102;CH LA PALMOSA DE MENTON;060791761;1;1;0;0;1
URGENCES;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;1;1;0;0;0
URGENCES;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;1;0;0;1
URGENCES;2023;060780715;CLINIQUE SAINT GEORGE;060000361;1;1;0;0;
URGENCES;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;1;0;0;
URGENCES;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;1;0;0;1;0
URGENCES;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;1;0;0;1
