BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;MOD;COMSMUR
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;M9999;12.52;;3;1
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;N1220;3.72;;;
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;N2120;1;;;
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;N2500;20.81;;;
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;N3120;0.1;;;
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;N9999;56.33;;;
URGENCES_P;2023;010000024;CH DE FLEYRIAT;010780054;NINF;27.22;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;M9999;3.83;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;N2120;0.38;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;N2500;4.3;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;N3120;0.04;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;N9999;18.05;;;
URGENCES_P;2023;010000032;CH BUGEY SUD;010780062;NINF;9.74;;;
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M9999;9.68;0;2;1
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N1220;2.24;0;2;1
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;0;0;2;1
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;12.29;0;;
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N9999;33.24;0;;
URGENCES_P;2023;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NINF;18.71;0;2;1
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;M9999;0;6;;0
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;N1220;4.63;0;;0
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;N2120;1.07;0;;0
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;N2500;4.52;0;;
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;N9999;24.19;0;;
URGENCES_P;2023;010780195;CLINIQUE CONVERT;010000156;NINF;13.97;0;;0
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;;11;3;1
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N1220;4.58;;2;1
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2120;0.46;;3;1
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2500;11.25;;;
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2620;;;3;0
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;48.96;;;
URGENCES_P;2023;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NINF;27.14;;3;1
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;M1140;2.12;0;;0
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;M3020;1;0;;
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;M9999;18.04;0;2;1
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N1220;2.24;;2;1
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2120;0.57;;2;1
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N2500;40.01;;;
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;N9999;92.12;;;
URGENCES_P;2023;020000162;CH SAINT-QUENTIN;020000063;NINF;43.36;;2;1
URGENCES_P;2023;020000394;CH LAON;020000253;M1140;3.75;;;0
URGENCES_P;2023;020000394;CH LAON;020000253;M9999;16.13;;3;1
URGENCES_P;2023;020000394;CH LAON;020000253;N1220;0.55;;;0
