BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2023;010000024;CH DE FLEYRIAT;010780054;60;21705;51;49;;;24;;2;;11;12;;;;;2;;;;;;;;
USLD;2023;010000081;CH DU PAYS DE GEX;010780112;30;9644;21;19;;;;8;;;5;;;;;;8;;;;;;;;
USLD;2023;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;30;9489;31;13;;9;5;1;;;7;4;;;;;5;;;;;;;;
USLD;2023;010009702;USLD EMILE PELICAND;010780054;11;3811;11;5;;;;;;;1;;;;;;10;;;;;;;;
USLD;2023;010789576;USLD;010780096;30;10656;34;22;;;1;1;;;17;3;;;;;12;;;2;;;7;1;
USLD;2023;010789717;USLD CH D'OYONNAX;010008407;35;12304;22;23;;;;;;;;;;;;;;;;;;;;;
USLD;2023;020000089;CH GUISE;020000022;30;9030;11;12;0;0;0;0;0;0;7;0;0;0;0;0;4;0;0;4;0;0;1;1;0
USLD;2023;020000162;CH SAINT-QUENTIN;020000063;60;19309;21;19;0;0;1;1;1;0;8;2;1;0;0;0;7;0;0;0;0;0;0;0;0
USLD;2023;020000535;CH CHAUNY;020000287;44;7469;14;13;;;;1;;;7;1;;;;;;;;;;;;;
USLD;2023;020004677;USLD CH SOISSONS;020000261;50;14939;31;27;;;7;;;1;17;1;;;;;4;;;;;;;;
USLD;2023;020005476;USLD CH LAON;020000253;41;11258;17;12;;;17;;;;;;;;;;;;;;;;2;;
USLD;2023;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;30;2918;2;4;;;;;;;;1;;;;;1;;;;;;;;
USLD;2023;030000061;CH DE MOULINS;030780092;80;28994;37;26;0;0;5;0;2;0;11;1;2;0;0;0;16;0;0;4;6;0;15;1;0
USLD;2023;030000079;CH DE MONTLUCON;030780100;60;15644;30;22;0;0;18;1;4;;2;3;0;0;0;0;1;;100;;;;1;;
USLD;2023;030000087;CH JACQUES LACARIN VICHY;030780118;108;36861;83;37;0;0;38;0;0;0;9;0;0;0;0;0;2;4;0;0;15;0;0;1;4
USLD;2023;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;40;14246;13;14;0;0;0;1;0;3;0;0;7;0;0;0;2;0;0;0;0;0;1;1;0
USLD;2023;040780405;CENTRE DES CARMES;040000168;41;11430;13;6;;;;7;;;1;;;;;;5;;;;;;;;
USLD;2023;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;30;10566;14;11;;;;;;;;;;;;;;;;;;;;;
USLD;2023;050000132;CH BUECH DURANCE;050007145;25;6564;11;3;;;;;;;;;;;;;;;;;;;;;
USLD;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;30;10044;4;6;;;;;;;;1;;;;;3;;;;;;;;
USLD;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;30;10341;18;15;;;;1;;;4;;;;;;7;;;;;;;;
USLD;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;50;14946;15;10;;;1;7;;;;2;;;;;5;;;;;;2;;
USLD;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;30;9541;17;13;;;2;2;1;1;5;1;;;;;5;;;;;;3;;
USLD;2023;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;61;14881;40;34;1;;17;;2;;4;0;0;0;6;10;;0;0;0;13;0;7;1;0
USLD;2023;060002102;CH LA PALMOSA DE MENTON;060791761;30;10577;68;15;4;;;;;;;;0;;;;;;0;;;;;;
USLD;2023;060019213;USLD DOLCE FARNIENTE;060005188;60;16826;54;19;;1;;13;;;;10;;0;;0;30;0;0;0;3;0;9;7;0
USLD;2023;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;58;11893;18;10;;;;;;;;;;;;;19;19;;;;;4;1;
USLD;2023;060790177;CHU NICE CTRE DE CONVALESCENCE TENDE;060785011;40;14236;2;5;;;;;;;;;;;;;2;2;;;;;0;;
USLD;2023;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;75;26839;38;29;;;;1;24;;1;2;;;;10;;;;;;;3;;
USLD;2023;060794021;SSR ISOLA BELLA CH CANNES;060780988;54;19423;28;14;1;;1;;1;;14;;;;;;3;29;15;;;;3;;
USLD;2023;070000047;CH DE VILLENEUVE DE BERG;070780127;75;22744;54;30;;;7;10;;;35;2;;;;;2;;;;6;;5;9;6
USLD;2023;070784517;LONG SEJOUR CH DE PRIVAS;070002878;60;19493;49;30;;;15;2;;;25;1;;;;;6;;;6;25;;;;
USLD;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;43;13449;39;33;;;11;1;;;8;4;;1;;;14;;;;;;;;
USLD;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;20;6343;18;20;;;7;1;;;8;;;;;;1;;;;7;2;;;
USLD;2023;080005960;USLD SITE CENTRE DE SANTE;080011174;65;22022;19;17;;;2;;;;2;12;;;;;3;;;;;;;;
USLD;2023;090003823;USLD ST LIZIER CH ARIEGE COUSERANS;090781816;20;5594;16;11;;;10;1;;;11;3;;;;;7;;;;;;2;;
USLD;2023;100000116;CENTRE HOSPITALIER DE BAR SUR AUBE;100000041;0;3723;4;8;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
USLD;2023;100000140;CENTRE HOSPITALIER DE BAR-SUR-SEINE;100000058;30;10482;27;18;;;3;;;;11;;;;;;13;;;;;;15;;
USLD;2023;100000801;HOPITAL LOCAL DE NOGENT-SUR-SEINE;100006279;30;9833;26;21;0;;11;;4;;2;4;0;;0;;5;;;;;;3;;
USLD;2023;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;70;20807;91;73;;;49;;;;36;3;1;;;;2;;;;;;4;2;
USLD;2023;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;30;10588;24;20;;;3;;;;4;;;;;17;;0;0;1;1;0;1;;
USLD;2023;110000247;CH LEZIGNAN CORBIERES;110780772;30;10950;27;22;;;;;;;;;;;;;27;0;0;9;1;0;0;0;0
USLD;2023;110006137;USLD LES RIVES D'ODE CH CARCASSONNE;110780061;30;8311;8;9;;;1;1;;;;1;;;;;5;1;6;;2;;1;;
USLD;2023;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;90;32340;40;37;;;6;;0;;3;3;;;;;28;0;;;;;9;;
USLD;2023;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;30;10005;12;4;;;;;;;8;;;;;;4;;;5;;;1;4;
USLD;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;22;7779;10;8;0;;4;;;;3;;;;;;3;;;;;;2;;
USLD;2023;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;30;7353;7;11;;;3;;;;3;1;;;;;;;;8;;;;;
