BOR;AN;FI;RS;FI_EJ;PERSO;EFFLIB;ETPSAL;GAR;AST
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;M100H;;1.5;0;1
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;M1030;;12.48;1;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;M200H;;9.42;0;1
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;N2200;;12.94;0;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;N2310;;23.56;0;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;N2320;;20.18;0;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;N2510;;17.12;0;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;N4160;;0.5;0;0
BLOCS_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;;5;0;0
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;M1030;;0.55;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;M200H;;2.7;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;N2200;;7.75;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;N2310;;2.38;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;N2320;;0.8;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;N2510;;3;;
BLOCS_P;2024;010000032;CH BUGEY SUD;010780062;NAUT;;2.54;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M100H;0;0.02;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;0;5.34;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M200H;0;2.7;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;0;6.56;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2310;0;6.27;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2320;0;4.77;;
BLOCS_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;0;2.55;;
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M100H;;0.25;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;5;;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M200H;10;2;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2200;;4.14;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2310;;0.72;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2510;;0.86;0;0
BLOCS_P;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;NAUT;;2.68;0;0
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;M100H;12;;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;M1030;10;0;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;M200H;35;0;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;N2310;;1.92;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;N2320;;25.94;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;N4130;;1.08;1;
BLOCS_P;2024;010780195;CLINIQUE CONVERT;010000156;N4160;;2;1;
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M100H;2;;0;0
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M200H;21;;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2200;;12.43;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2310;4;;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2320;;4.53;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2510;;4.65;0;0
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4130;;;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4160;;0.98;0;1
BLOCS_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;;15.71;0;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;M100H;;3;0;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1030;;10;1;0
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;M200H;;25.6;0;1
BLOCS_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2200;;23.7;0;0
