BOR;AN;FI;RS;FI_EJ;LIT_REA;SEJ_REA;SEJENF_REA;JOU_REA;LIT_BRU;SEJ;SEJENF;JOU;SAL;TISS;CONVSSR;ACT;VEN;CONS;FILADU;FILENF
BRULES;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;16;488;12;4078;;0;0;0;1;0;1;390;0;5676;97;10
BRULES;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;3;632;620;1865;;0;0;0;0;0;1;27;0;;0;53
BRULES;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;9;53;0;1583;6;96;5;1018;1;0;0;548;0;;104;5
BRULES;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;16;208;5;3626;1;95;2;87;1;0;1;1053;47;2335;195;4
BRULES;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;9;55;12;950;7;473;44;3271;1;1;1;;1;2725;115;40
BRULES;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;12;337;15;3520;;0;0;0;;;;;0;;145;4
BRULES;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;6;103;3;1590;17;691;278;4349;1;1;0;944;3;1537;247;82
BRULES;2024;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;;20;20;116;1;123;123;927;1;1;1;444;0;945;0;105
BRULES;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;14;195;6;3762;;0;0;0;1;0;1;3126;0;647;158;5
BRULES;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;12;171;21;3618;4;1923;326;0;1;1;1;1057;342;5967;428;94
BRULES;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;20;359;213;4906;11;409;8;3269;1;1;0;1906;71;8031;327;179
BRULES;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;15;143;2;3755;5;55;1;553;1;1;1;4587;0;2658;128;3
BRULES;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;10;265;264;2835;16;828;822;5074;1;0;1;4121;23;5763;0;559
BRULES;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;3;8;0;142;3;63;0;889;1;0;1;466;30;2794;79;0
BRULES;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;9;90;5;2816;;0;0;0;1;0;0;583;0;1000;80;4
BRULES;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;2;35;0;134;0;0;0;0;0;1;;26;0;1228;30;0
BRULES;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;0;0;0;0;4;127;7;1114;1;1;1;422;0;664;65;4
