BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;M1030;2.53;;1;1
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2200;33.69;;;
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2300;3;;;
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2500;19.94;;;
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2710;0.3;;;
BRULES_P;2024;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;NAUT;8.02;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;MAUT;0.85;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2120;0.5;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2200;5.51;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2300;8.4;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2410;0.5;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2500;11.71;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;N2710;1.5;;;
BRULES_P;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;NAUT;0.38;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;M2040;0.2;;0;0
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2120;1;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2200;16.2;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2410;1;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2500;13.15;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2710;0.09;;;
BRULES_P;2024;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;NAUT;0.4;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M2040;2.92;;0;1
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M3020;0.09;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;MAUT;0.58;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2120;1.67;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2200;35.52;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2300;2.25;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2500;30.83;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2710;0.5;;;
BRULES_P;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;NAUT;6.46;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1030;0.11;;1;1
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1180;0.1;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M2040;0.35;;0;1
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2120;1;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2200;10.48;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2500;9.27;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2710;0.1;;;
BRULES_P;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;NAUT;0.6;;;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;M1030;3.11;;0;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;M2040;0.4;;0;1
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;MAUT;0.8;;;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;N2120;1;;;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;N2200;28.46;;;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;N2500;14.71;;;
BRULES_P;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;NAUT;5.2;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;M1030;7.3;0;0;0
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;M2040;1.64;0;0;1
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;MAUT;0.83;0;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2120;1.29;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2200;29.52;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2300;1.32;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2410;0.56;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2500;22.66;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2710;0.62;;;
BRULES_P;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;NAUT;6.82;;;
BRULES_P;2024;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;MAUT;0.34;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;M1030;3.9;;1;0
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;M2040;1.03;;0;1
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;N2120;1;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;N2200;23.13;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;N2300;2;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;N2500;17;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;N2710;0.5;;;
BRULES_P;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;NAUT;1;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;M1030;3.52;;1;1
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;M2040;0.73;;0;1
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;N2120;1;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;N2200;31.69;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;N2300;2.8;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;N2410;2.57;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;N2500;23.24;;;
BRULES_P;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;NAUT;3.89;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;M1030;1.39;;1;0
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;M2040;0.17;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;MAUT;2.28;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2120;1;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2200;47.56;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2300;2.11;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2410;4.14;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2500;31.88;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;N2710;0.98;;;
BRULES_P;2024;690783154;HOPITAL EDOUARD HERRIOT - HCL;690781810;NAUT;6.54;;;
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;M1030;4;;1;1
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;M2040;;;1;1
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;N2120;1.86;;;
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;N2200;39.6;;;
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;N2500;33.7;;;
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;N2710;1;;;
BRULES_P;2024;750100075;GHU APHP NUP SITE SAINT LOUIS;750712184;NAUT;3.3;;;
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;M1030;5;;1;0
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;M2040;3.18;;0;0
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;N2120;2;;;
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;N2200;29;;;
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;N2500;20;;;
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;N2710;1;;;
BRULES_P;2024;750100109;GHU APHP SUN SITE TROUSSEAU;750712184;NAUT;6.5;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;M1030;1;;0;0
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;M2040;1;;0;1
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2120;0.3;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2200;5;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2300;1;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2410;0.1;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2500;2;;;
BRULES_P;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;N2710;0.1;;;
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;M1030;9;;1;0
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;M2040;3.8;;0;1
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;N2120;1.3;;;
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;N2200;31.8;;;
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;N2500;13.6;;;
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;N2710;1;;;
BRULES_P;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;NAUT;3.8;;;
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;M1030;;;1;1
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;M2040;1;;;
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;M3020;1;;;
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;MAUT;2;;;
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;N2120;1;;;
BRULES_P;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;N2200;2;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;M1030;;;0;1
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;M2040;1.48;;0;1
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;N2120;0.1;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;N2200;1.18;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;N2300;2.84;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;N2500;1.12;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;N2710;0.1;;;
BRULES_P;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;NAUT;1.35;;;
