BOR;AN;FI;RS;FI_EJ;AUT;SALCAR;SALCARTO;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2024;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;22;55;22;12;0;10;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;010780195;CLINIQUE CONVERT;010000156;1;2;;1;1488;1431;1659;167;0;1492;0;0;;;0;;;0;0;0;;
CHIRCAR;2024;020000162;CH SAINT-QUENTIN;020000063;1;1;;1;1463;4610;1707;606;0;1101;0;0;0;0;0;0;0;0;0;29;0;0
CHIRCAR;2024;020000519;CH SOISSONS;020000261;1;1;0;1;582;1546;601;65;0;536;0;0;;;0;0;;0;0;27;0;0
CHIRCAR;2024;030000061;CH DE MOULINS;030780092;1;1;0;1;256;732;273;231;0;42;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;030000079;CH DE MONTLUCON;030780100;1;1;0;1;976;2209;1032;42;0;990;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;2;;1271;1934;1386;51;;1335;0;0;;;;;;;;21;;
CHIRCAR;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;2;1;0;1231;2807;1661;720;0;941;0;0;;;0;0;;0;0;40;0;0
CHIRCAR;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1;3;2;1;1223;3007;1426;789;0;637;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;060780715;CLINIQUE SAINT GEORGE;060000361;1;5;3;2;2303;4547;2849;1489;0;1360;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;2;1;0;1353;3127;1584;690;0;894;0;0;0;0;0;0;0;0;0;33;0;0
CHIRCAR;2024;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;1;4;2;1;2374;3694;2831;1192;1;1638;1;0;2;2;0;574;59;537;23;;4780;2286
CHIRCAR;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;1;0;0;540;2148;591;0;0;591;0;0;;;0;0;;0;0;22;0;0
