BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT;DIALYSE_AA100;DIALYSE_AA101
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;112AX;;;;0;;1;;;;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;112BA;;;;20;76;10935;;;;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;1210;;;;;8;;;;0;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;121AX;;;;;6;;;;;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;121CX;;;;0;2;;;;0;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;122AX;;;;1;0;;;;9;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;122BX;;;;1;0;;;;156;;;;
DIALYSE;2024;010000024;CH DE FLEYRIAT;010780054;TOT;0;;;;;;1090;3;;44;3;1;1
DIALYSE;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1130X;;;;8;27;3774;;;;;;;
DIALYSE;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;TOT;1;1;;;;;0;2;;16;0;0;0
DIALYSE;2024;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;1130X;;;;6;6;145;;;;;;;
DIALYSE;2024;010011385;UNITE DE DIALYSE AMBERIEU EN BUGEY;210012290;1140X;;;;4;4;791;;;;;;;
DIALYSE;2024;010780294;NEPHROCARE CH BELLEY;690000278;112AX;;;;1;8;249;;;;;;;
DIALYSE;2024;010780294;NEPHROCARE CH BELLEY;690000278;112BA;;;;12;22;3172;;;;;;;
DIALYSE;2024;010780294;NEPHROCARE CH BELLEY;690000278;1130X;;;;12;34;5630;;;;;;;
DIALYSE;2024;010780294;NEPHROCARE CH BELLEY;690000278;1140X;;;;6;2;543;;;;;;;
DIALYSE;2024;010780294;NEPHROCARE CH BELLEY;690000278;TOT;0;;;;;;0;2;;20;;1;0
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;112AX;;;;3;6;929;;;;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1130X;;;;19;59;9533;;;;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1140X;;;;6;11;1274;;;;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1150A;;;;3;3;1055;;;;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1210;;;;;8;;;;491;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121AX;;;;;7;;;;337;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121CX;;;;1;1;;;;154;;;;
DIALYSE;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;112AX;;;;4;6;85;;;;;;;
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;112BA;;;;34;109;16383;;;;;;;
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;1130X;;;;53;200;32500;;;;;;;
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;1140X;;;;4;4;600;;;;;;;
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;1150A;;;;4;6;1045;;;;;;;
DIALYSE;2024;020000162;CH SAINT-QUENTIN;020000063;TOT;1;4;196;;;;1698;4;;85;1;1;0
DIALYSE;2024;020000394;CH LAON;020000253;112AX;;;;1;2;59;;;;;;;
DIALYSE;2024;020000394;CH LAON;020000253;112BA;;;;17;53;6571;;;;;;;
DIALYSE;2024;020000394;CH LAON;020000253;1150A;;;;3;3;;;;;;;;
DIALYSE;2024;020000394;CH LAON;020000253;TOT;0;;;;;;499;2;;49;1;1;0
DIALYSE;2024;020000394;CH LAON;020000253;VACAN;;;;1;;;;;;;;;
DIALYSE;2024;020000519;CH SOISSONS;020000261;112BA;;;;15;68;9888;;;;;;;
DIALYSE;2024;020000519;CH SOISSONS;020000261;TOT;0;;;;;;537;;;24;0;1;0
DIALYSE;2024;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1130X;;;;12;48;6875;;;;;;;
DIALYSE;2024;020001772;UNITE DE DIALYSE DE CHAUNY;590799995;1140X;;;;0;0;3;;;;;;;
DIALYSE;2024;020001913;UNITE DE DIALYSE DE LAON;590799995;1130X;;;;12;40;6838;;;;;;;
DIALYSE;2024;020006441;UNITE DIALYSE DE COURMELLES;590799995;1130X;;;;11;22;3501;;;;;;;
DIALYSE;2024;020006441;UNITE DIALYSE DE COURMELLES;590799995;1140X;;;;3;3;376;;;;;;;
DIALYSE;2024;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;112AX;;;;1;;90;;;;;;;
DIALYSE;2024;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1130X;;;;22;80;15141;;;;;;;
DIALYSE;2024;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;590799995;1140X;;;;2;4;303;;;;;;;
DIALYSE;2024;020016242;UNITE DE DIALYSE DE GUISE;590799995;1130X;;;;8;29;4988;;;;;;;
DIALYSE;2024;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1130X;;;;6;26;4052;;;;;;;
DIALYSE;2024;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;590799995;1140X;;;;2;2;411;;;;;;;
DIALYSE;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1150A;;;;6;6;1237;;;;;;;
DIALYSE;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;1210;;;;;0;;;;38;;;;
DIALYSE;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121AX;;;;;0;;;;7;;;;
DIALYSE;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;121CX;;;;1;0;;;;31;;;;
DIALYSE;2024;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;590799995;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1150A;;;;3;3;635;;;;;;;
DIALYSE;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;1210;;;;;0;;;;9;;;;
DIALYSE;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;121AX;;;;;0;;;;9;;;;
DIALYSE;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;122AX;;;;1;;;;;7;;;;
DIALYSE;2024;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;590799995;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;1150A;;;;1;1;284;;;;;;;
DIALYSE;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;1210;;;;;4;;;;194;;;;
DIALYSE;2024;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;590799995;121AX;;;;;4;;;;183;;;;
