BOR;AN;FI;RS;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETPSAL_PM;ETPSAL_PMDOU;ETPSAL_IDE;ETPSAL_IDEDOU;ETPSAL_PSY;ETPSAL_PNMAUT
DOULEUR;2024;010000024;CH DE FLEYRIAT;010780054;Consultation;5;3;6;;;11;;14;;175;338;690;;;865;;254;;0;4;0;;;0;;2;;381;64;;;;;;;;2;2;2;;1;1;1;1;;;;;1;1;1;;;;;;1;;1;1;0.35;0.35;0.92;;0.5;0.48
DOULEUR;2024;020000162;CH SAINT-QUENTIN;020000063;Consultation;;;17;;26;43;;;;983;812;928;;1589;3500;27;674;326;;6;1;;2;3;;;;589;203;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;
DOULEUR;2024;020000394;CH LAON;020000253;Consultation;76;71;;;76;152;8;9;9;538;252;;;1278;1816;192;847;157;1;0;;;0;1;1;1;0;809;321;456;1;1;1;;1;2;5;;1;;;;3;;;;;;2;;;;;;;;1;;;;1.55;1;1.27;;1;2.08
DOULEUR;2024;020000519;CH SOISSONS;020000261;Consultation;;;;;;;;;;552;479;1891;0;125;2568;0;850;337;;;;;;;;;;60;28;;;;1;;;;2;1;1;;3;3;1;;;;1;2;1;1;1;;1;;;;;;1;1;0.8;0.2;1.47;;0.82;0.9
DOULEUR;2024;030000061;CH DE MOULINS;030780092;Consultation;199;617;520;0;323;1042;0;266;;461;903;1637;0;839;2937;334;1113;;;;;0;;0;0;;;551;292;0;1;1;1;1;1;;1;1;2;;;2;0;;;;;;1;1;1;;;1;0;;1;;;1;1.07;1.07;1.4;1;1;0.5
DOULEUR;2024;030000079;CH DE MONTLUCON;030780100;Consultation;0;0;5;0;0;5;4;4;3;159;970;630;0;942;1731;354;354;126;;2;2;0;2;4;1;1;1;309;114;;1;1;0;0;1;1;;;2;1;;;;;;;;;;;;;;;;;2;1;;;0.5;0.5;1.4;0.6;0.16;1
DOULEUR;2024;030000087;CH JACQUES LACARIN VICHY;030780118;Consultation;;;;;;;;;;457;1618;501;;748;1706;242;490;342;;;7;;;7;;;;304;187;5;;;1;;;;1;1;;;1;6;;;;;;5;;;;;;1;1;1;;;1;;0.5;0.5;1;;0.5;0.66
DOULEUR;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;Centre;167;212;795;;212;1174;60;;234;;;637;;;637;;;;;;1432;;;1432;;;;598;;65;1;1;;;;;1;;1;1;1;3;;;;;;;1;;1;;1;3;;;;1;;;0.2;1;0.2;0.7;0.37;1.12
DOULEUR;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;Consultation;;;;;;;;;;227;435;888;;1575;2690;124;595;270;;;3;;;3;;;;326;;124;1;0;2;;;;5;;1;;;3;3;;;;;1;2;;;;;1;;;1;;;1;1.03;;1.38;;;0.81
DOULEUR;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;Consultation;186;0;1357;0;1764;3307;466;891;0;346;0;1717;0;895;2958;11;616;229;0;0;0;0;0;0;0;0;0;159;77;477;;;;;;;1;1;1;;2;2;;;;;;;;;;;;1;1;1;1;;2;1;0.5;0.5;0.4;;0.68;0.7
