BOR;AN;FI;RS;FI_EJ;STATUT;HEB_MED;HEB_CHIR;HEB_PERINAT;HEB_PSY;HEB_SSR;HEB_SLD;RTH;CHIMIO;IRC;IVGAMP;CPP;HAD;URG;SMURSAMU;BLOC;IMAG;ACTINTER;MEDNUC;BIO;ANEST;MEDIC;STERIL;DIM;TELEMED;EMSP;DOULEUR;PALIA;CARDIO_INT;REA;CHIRCANCER;NEUROCHIR;NEURO_INT;GREFFE;BRULE;CHIRCAR
FILTRE;2024;010000024;CH DE FLEYRIAT;010780054;DECLA;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1
FILTRE;2024;010000024;CH DE FLEYRIAT;010780054;INIT;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;;;0;;;;;;;;;;1;1;1;0;;0;0;0
FILTRE;2024;010000032;CH BUGEY SUD;010780062;DECLA;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0
FILTRE;2024;010000032;CH BUGEY SUD;010780062;INIT;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;;;0;;;;;;;;;;0;0;1;0;;0;0;0
FILTRE;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;DECLA;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
FILTRE;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000081;CH DU PAYS DE GEX;010780112;DECLA;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;;;;;;;;
FILTRE;2024;010000081;CH DU PAYS DE GEX;010780112;INIT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;;;;
FILTRE;2024;010000099;CH DE MEXIMIEUX;010780120;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
FILTRE;2024;010000099;CH DE MEXIMIEUX;010780120;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000107;CH DE PONT DE VAUX;010780138;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
FILTRE;2024;010000107;CH DE PONT DE VAUX;010780138;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;DECLA;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
FILTRE;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;INIT;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
FILTRE;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FILTRE;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
FILTRE;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;;;;
FILTRE;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;DECLA;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
FILTRE;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;INIT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;DECLA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;;;;;;;;
FILTRE;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INIT;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;;;;
FILTRE;2024;010002129;CLINIQUE LES ARBELLES;310025010;DECLA;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;;;;;
FILTRE;2024;010002129;CLINIQUE LES ARBELLES;310025010;INIT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;;;;
FILTRE;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;DECLA;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0
FILTRE;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;INIT;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;;;0;;;;;;;;;;0;0;0;0;;0;0;0
FILTRE;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;DECLA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;;;;;
FILTRE;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;INIT;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;0;;;;;;;;;;;;;;;;;
