"GHT_LIBC";"GHT_CODE";"GHT_LIB";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL";"NB_ET";"NB_CH";"NB_CHU";"NB_CHS";"NB_AUT"
"ARA-01";"84101";"Allier Puy-de-Dôme";1755;505;201;2461;87760;28897;12423;129080;577527;142929;43339;763795;213;92;19;324;40311;22059;3736;66106;82125;4;7;3;8;784;29;0;813;4419;238;0;4657;167;72;0;239;31887;7650;0;39537;0;0;0;0;0;0;9;6;15;10970;4737;15707;41;22;63;133805;48613;182418;13256;3764;14;16961;18008;4924;15;22576;3;2222;0;0;0;652;6311;195301;58;12811;584;385;197713;110;1210;30008;899;8;228885;1;28578;8;0;0;2;5;11593;4502;1;2;6974;3;1477;1;286;5;37587;2;2457;8;36498;0;0;1;4;2;1;2;1;7;1051;209;108;143;198;62;96;65;87;131;1628;42;12;0;0;3;0;0;0;0;1;46;781,85;143,27;91,73;125,17;150,11;50,36;79,16;28,96;76,49;86,44;1227,69;896;767,95;242;253;507;3999;3481;1623;192;303;10600;55;9;1609;201;104;161;357;274;14;2069;4749;15349;224,93;236,64;480,71;3822,99;3315,05;1556,37;148,68;254,32;10039,69;51,88;8,03;1534,84;183,97;96,61;153,97;345,07;259,53;8,21;2006,03;4551,53;14591,22;2513;775;667;584;2708;12;14;4;16;10;1;0;5;3;37;7;5;0;0;0;0;2;3;3;79;8;1;102150;19;113;20;15;4;1;
"ARA-02";"84102";"Savoie Belley";847;288;132;1267;45079;17388;6765;69232;260475;66340;26926;353741;94;85;19;198;7817;18660;1181;27658;55084;3;3;1;4;204;10;0;214;2132;304;0;2436;74;20;0;94;4533;840;0;5373;0;0;0;0;0;0;11;16;27;2888;15129;18017;35;26;61;56290;28620;84910;8420;4682;1253;14142;9793;4814;1290;15617;1;0;0;0;0;289;2329;81043;34;9074;173;140;61327;70;2063;25076;786;6;172784;0;0;6;0;3;1;1;3000;2954;1;3;4374;1;1128;1;229;1;13431;1;304;6;16821;2;24087;1;1;0;0;1;0;6;656;145;150;75;121;36;51;11;62;23;924;2;0;0;0;6;0;0;0;0;0;8;471,74;84,85;112,47;58,22;97,88;27,94;42,91;8,8;51,74;16,74;700,07;173;159,42;135;131;239;1887;1264;614;153;210;4633;35;5;1017;128;59;98;99;148;16;822;2368;7001;111,31;119,59;207,32;1683,41;1122,66;527,72;114,01;155,68;4041,7;34,18;4,74;901,01;104,84;51,47;90,45;90,76;133,8;13,73;768,07;2141,58;6183,28;1374;183;289;173;1318;8;7;1;9;5;3;1;2;1;14;2;1;0;0;0;0;0;0;0;37;6;10;55690;7;61;16;14;;1;1
"ARA-03";"84103";"Bresse Haut-Bugey";327;88;53;468;16631;4922;4243;25796;116303;23751;12486;152540;29;28;5;62;5725;5339;816;11880;43248;2;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1332;0;0;0;349;4086;112399;17;3486;136;112;47334;45;571;11113;286;2;70331;0;0;2;0;0;1;1;1037;1338;0;1;2244;1;275;0;0;1;10935;1;156;2;11631;1;20587;1;1;0;0;0;0;2;230;68;22;39;53;15;0;2;29;5;319;0;0;0;0;6;6;0;0;0;0;6;182,65;59,48;16,83;31,39;44,77;13,5;0;1,6;24,14;3,62;261,58;82;72,54;67;49;110;715;710;254;41;97;2043;17;4;457;51;17;63;45;44;5;455;1141;3184;55,47;46,89;99,17;665,94;668,15;247,24;26,27;67,68;1876,81;10,68;2,56;396,32;38,63;12,25;54,31;41,44;39,74;4,32;413,69;1001,69;2878,5;501;0;259;169;704;7;7;2;3;4;0;0;0;0;8;2;1;0;0;0;0;0;1;1;19;2;0;20000;3;28;11;9;;;2
"ARA-04";"84104";"Cantal";345;63;33;441;13060;3822;1706;18588;90280;16020;5249;111549;34;16;0;50;2996;3731;0;6727;4910;1;1;0;2;110;14;0;124;1184;375;0;1559;57;22;0;79;7759;2043;0;9802;1;0;1;35;0;35;2;0;2;3056;0;3056;6;5;11;19013;581;19594;3275;593;143;4066;4223;700;0;4973;1;290;0;0;0;181;1434;47994;15;2212;138;109;44457;15;957;6084;271;3;48034;0;0;3;0;0;1;1;1016;603;1;1;886;1;198;0;0;0;0;0;0;2;4910;0;0;0;1;0;0;0;0;3;150;27;37;18;34;7;13;2;15;11;225;0;0;0;0;0;0;0;0;0;0;0;110,08;22,6;28,94;14,32;27,94;4,8;11,09;1,5;13,24;7,55;173,73;62;50,5;35;38;62;653;585;251;31;57;1712;10;4;295;67;21;38;24;37;4;315;794;2506;31,66;37,94;58,71;608,96;554,28;235,74;22,18;40,03;1589,5;8,61;3,79;275,74;46;14,85;34,02;24,76;33,46;4;289,97;720,35;2309,85;459;117;181;138;501;6;5;1;3;2;0;0;2;0;8;1;0;0;0;0;0;0;0;0;16;6;0;13470;2;17;8;8;;;
"ARA-05";"84105";"Alpes Dauphiné";987;420;87;1494;52061;20290;7147;79498;312851;102591;25804;441246;132;54;19;205;26825;13077;4292;44194;42882;2;3;1;2;328;18;0;346;2655;176;0;2831;100;110;14;224;11299;16039;4147;31485;0;1;1;0;0;0;17;11;28;15701;18403;34104;83;44;127;102030;55452;157482;13297;5780;830;19546;15543;6329;886;24412;1;913;0;1;1;445;4422;121825;62;20227;345;119;104594;120;4052;25677;1043;4;136500;1;37346;2;0;2;1;2;8187;4789;1;0;3855;1;1016;1;300;1;2270;0;0;2;23789;1;16184;1;1;1;1;1;1;3;982;204;62;166;179;42;129;6;128;72;1496;11;0;0;0;6;1;0;0;0;0;17;638,53;130,13;23,09;117,07;120,39;26,9;106,33;1,55;98,1;61,38;1052,98;666;577,7;136;218;478;2746;1824;1024;296;391;7113;40;1;1473;218;113;114;310;212;38;1455;3861;10974;118,44;203,14;433,48;2508,98;1704,45;981,55;214,5;318,26;6482,8;36,8;1,03;1356,93;177,05;94,86;102,31;292;199,96;34,93;1383,08;3584,09;10066,89;1502;28;381;300;885;8;7;2;7;7;4;1;2;0;27;4;2;0;0;0;0;0;3;0;60;9;0;67709;7;80;13;6;5;1;1
"ARA-06";"84106";"Haute-Loire";291;103;21;415;18125;5748;1344;25217;90398;28409;5203;124010;37;28;2;67;2891;8749;73;11713;25272;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;96;1401;30880;14;1715;145;90;47389;50;558;13697;387;2;53505;0;0;2;0;0;1;1;1475;203;1;0;960;1;141;0;0;1;9067;0;0;2;7233;1;8881;0;1;0;0;0;0;1;149;34;29;19;45;8;2;2;18;11;227;23;17;0;0;0;0;0;0;0;0;23;124,33;25,44;30,45;17,84;42,18;7,1;0,9;0,73;15,17;7,6;194,59;78;79,83;33;37;68;662;587;317;21;55;1780;15;2;296;23;13;42;43;60;2;262;745;2525;24,56;34,55;62,04;591,2;535,25;264,39;15,66;43,77;1571,42;13,16;2,53;270,67;19,21;11,64;35,19;40,4;56,7;1,77;237,72;677,35;2248,77;452;0;98;145;684;5;5;1;3;2;0;0;1;0;8;1;0;0;0;0;0;0;1;0;18;2;2;20303;4;22;5;5;;;
"ARA-07";"84107";"Léman Mont-Blanc";560;161;83;804;30635;10228;6316;47179;187832;40881;22417;251130;51;47;1;99;7031;13366;1242;21639;19806;3;3;1;3;165;0;0;165;1225;0;0;1225;67;28;0;95;11006;1465;0;12471;5;0;5;0;0;0;4;5;9;9621;10457;20078;8;7;15;42975;21897;64872;6017;2593;493;9005;6812;2637;510;9827;2;991;0;0;0;82;669;26306;0;0;110;43;37529;64;1799;22358;834;3;129525;0;0;3;0;1;0;2;1965;1661;1;0;4331;3;1150;0;0;1;8411;1;183;3;10437;0;0;0;0;0;0;0;0;3;414;96;61;66;95;36;41;3;30;13;596;8;0;0;0;2;1;0;1;0;0;11;306,15;64,61;49,61;55,91;77,47;27,11;31,11;0,26;25,81;12,9;463,8;140;135,84;127;84;101;1166;851;340;99;118;2886;55;5;636;105;35;63;76;74;27;640;1681;4567;107,69;76,12;89,66;1052,24;786,82;304,19;80,22;86,66;2583,6;46,63;4,23;568,35;82,43;30,49;55,44;68,85;65,26;26,12;569,28;1486,59;4070,19;889;112;107;293;1128;5;5;1;4;4;3;1;3;0;9;0;3;1;0;0;0;0;2;0;27;6;0;39319;3;37;9;6;;1;2
"ARA-08";"84108";"Haute-Savoie Pays de Gex";559;168;83;810;31017;9710;6026;46753;174742;48530;22462;245734;65;27;0;92;7750;8460;123;16333;53931;1;2;2;2;91;4;0;95;892;103;0;995;20;28;0;48;3639;2330;0;5969;0;0;0;0;0;0;4;1;5;2016;1277;3293;6;5;11;26442;15722;42164;5628;2281;0;7647;6131;2315;0;8280;0;0;0;0;0;153;986;36494;25;7737;135;82;41637;35;429;8879;262;2;115578;0;0;2;0;1;1;1;3535;2382;0;1;3591;1;626;0;0;1;13374;1;46;2;16795;1;20688;1;1;1;1;0;0;2;437;95;49;69;72;18;31;7;30;17;594;0;0;0;0;3;0;0;0;0;0;3;343,24;61,09;54,2;58,73;63,4;16,62;31,71;0,57;27,41;16,99;492,86;130;130,25;86;65;131;1206;911;344;87;143;2973;17;2;607;93;46;70;71;77;9;520;1466;4439;78,21;60,44;122,66;1099,16;848,79;322,18;63,08;111,02;2705,54;13,16;1,67;555,82;67,24;37,67;56,48;65,11;71,36;9,54;478,94;1319,32;4024,86;804;95;153;165;552;4;2;1;4;3;0;0;1;1;7;3;2;0;0;0;0;1;1;1;36;6;6;34353;5;41;7;7;;;
"ARA-09";"84109";"Loire";1487;423;183;2093;88329;20930;11375;120634;470755;115491;38113;624359;165;104;18;287;33708;27311;3469;64488;128559;6;9;2;6;285;12;0;297;3571;278;0;3849;181;70;0;251;23251;7619;0;30870;0;0;0;0;0;0;13;8;21;17163;15010;32173;34;13;47;98642;26416;125058;15737;4154;791;20658;18756;4650;820;24248;2;2160;0;0;0;741;7237;210321;89;21194;420;336;144672;50;69;1287;55;6;249464;1;36368;4;0;0;2;5;7416;4395;1;3;7193;2;1933;1;308;3;30278;2;624;7;34889;2;51665;2;2;2;1;2;2;7;987;329;60;121;211;62;81;9;101;75;1464;67;21;0;0;7;0;0;0;0;0;74;709,65;244,78;40,54;97,51;147,29;42,74;73,37;2,28;87,52;58,31;1106,72;714;646,72;228;252;373;3830;2690;1278;248;376;9275;51;7;1798;213;107;173;321;275;93;1757;4688;13963;194,28;214,11;335,56;3468,02;2323,35;942,81;145,81;234,51;7858,45;36,93;6,06;1591,58;169,59;87,92;142,1;291,44;242,55;64,72;1513,83;4058,8;11917,25;4706;1083;1080;740;1919;15;16;5;10;7;3;2;4;1;27;4;3;0;1;1;0;1;3;1;83;8;0;93099;10;82;24;18;5;;1
"ARA-11";"84111";"Nord Dauphiné";324;55;31;410;18625;2646;1766;23037;93048;14006;5863;112917;22;13;1;36;2692;3658;141;6491;4144;1;2;0;1;0;0;0;0;0;0;0;0;0;34;0;34;0;1907;0;1907;0;0;0;0;0;0;0;9;9;0;290;290;0;9;9;0;6207;6207;0;866;0;866;0;1755;0;1755;0;0;0;0;0;110;736;26862;12;2755;155;133;53396;0;0;0;0;2;66161;0;0;1;0;0;0;1;904;867;1;1;1135;0;0;0;0;0;0;0;0;1;4144;0;0;0;0;0;0;0;0;2;142;44;15;18;26;10;1;0;13;8;190;0;0;0;0;0;0;0;0;0;0;0;107,18;34,32;11,01;13,7;20,61;6,81;0,8;0;9,77;7,54;148,9;57;57,64;20;27;55;466;426;254;31;74;1353;9;1;261;45;14;34;32;37;6;175;600;1953;17,73;25,75;50,35;417,38;371,62;216,55;25,92;52,44;1177,74;6,61;1;232,69;37,84;14,1;24,39;32,09;33,9;4,42;149,54;522,48;1700,22;412;0;60;155;288;2;2;1;3;2;0;0;0;0;6;0;1;0;0;0;0;0;1;0;15;2;1;10226;3;20;6;4;;;2
