BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;AUTRAT;EMSP;PREM24;ASTSOI24;ASTMED24;TELESUR;TELECONS;INTHAD;CONVPUI;CBPUI;AUTSSR;AUTSOC;AUTPARTUM;AUTENF;ASSOCANCERO;PLATOT;READAPDEV;SEJ_HAD;JOU_HAD;FIL_HAD
HAD;2024;010000024;CH DE FLEYRIAT;010780054;0;;;;;235000;2;1;1;1;1;0;0;1;1;1;0;1;0;0;1;45;1;571;11113;286
HAD;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;;;;;140200;2;0;1;1;1;0;0;0;0;;1;1;1;1;1;70;2;711;21743;453
HAD;2024;020000089;CH GUISE;020000022;0;;;;;112858;2;0;1;1;1;0;0;;0;;0;1;0;0;0;30;;259;9880;176
HAD;2024;020004297;HAD AMSAM SOISSONS;020005179;1;2;020004297;020004297;;438483;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;70;2;475;9875;263
HAD;2024;020010898;HAD CRF CHAUNY;750721334;0;;;;;54000;1;0;1;1;1;0;0;;1;1;0;1;0;0;;25;;141;4969;92
HAD;2024;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0;;;;;113000;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;58;;426;18833;257
HAD;2024;030000061;CH DE MOULINS;030780092;0;;;;;100000;2;1;1;1;1;0;0;1;1;1;0;1;0;0;1;30;;377;5228;298
HAD;2024;030000079;CH DE MONTLUCON;030780100;0;;;;;;1;1;1;2;1;0;0;1;0;;0;1;0;1;1;30;;198;6193;170
HAD;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;2;630000446;630000412;;;2;1;1;1;1;0;0;1;1;1;0;1;0;0;1;50;;635;18587;431
HAD;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;2;040000135;050000231;;;2;1;1;1;1;0;0;1;1;2;0;1;0;0;1;60;;912;16832;520
HAD;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;0;;;;;135855;2;1;1;1;2;0;0;1;1;1;0;1;0;0;1;25;;219;7447;149
HAD;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;0;;;;;;2;1;1;1;2;0;0;0;0;;0;1;0;0;1;25;;210;6695;141
HAD;2024;060006558;HAD ARNAULT TZANCK;060798865;0;;;;;340000;1;0;1;1;2;0;0;;1;1;0;1;0;0;1;30;;273;10009;190
HAD;2024;060785243;HAD NICE & REGION;060001484;0;;;;;;1;;1;1;1;;;;1;1;0;1;0;0;0;321;;1909;116707;1396
HAD;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;0;;;;;100000;2;1;1;1;1;0;0;1;1;1;1;1;0;0;1;34;1;601;13000;402
HAD;2024;080011257;GCS ES HAD DES ARDENNES SITE RETHEL;080011224;1;2;080011257;080011265;;63000;1;0;1;1;1;0;0;;1;1;0;1;0;0;1;18;;184;3779;109
HAD;2024;080011265;GCS ES HAD ARDENNES SITE CHARLEVILLE;080011224;1;2;080011265;080011257;;267000;1;0;1;1;1;0;0;;1;1;0;1;0;0;1;50;;367;12137;182
HAD;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;1;090000175;;;130000;2;1;1;1;;0;0;0;1;1;0;1;0;0;1;30;;440;7276;261
HAD;2024;100007699;HAD GHAM;100006279;0;;;;;;2;1;1;1;1;0;0;1;0;;0;1;0;0;0;20;;343;5785;206
HAD;2024;100010578;GCS PATCS HAD;100010347;0;;;;;;1;0;1;1;1;0;0;0;0;;0;1;0;0;0;50;;636;9780;290
HAD;2024;110000247;CH LEZIGNAN CORBIERES;110780772;0;;;;;;2;0;1;1;3;0;0;;0;;1;1;1;0;;20;1;101;3765;87
HAD;2024;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;0;;;;;123720;2;0;1;1;1;0;0;;1;1;0;1;0;0;1;60;;575;21767;395
HAD;2024;110005394;HAD KORIAN PAYS DES QUATRE VENTS CARCA;310025010;0;;;;;;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;65;1;646;20077;479
HAD;2024;120783618;HAD RODEZ;120784616;0;;;;;280000;1;0;1;3;3;0;0;;1;3;1;1;1;1;0;80;1;571;21888;408
HAD;2024;130000409;CHI SITE D'AIX EN PROVENCE;130041916;0;;;;;;2;;;;;0;0;;0;;1;1;1;1;1;40;1;480;12206;388
HAD;2024;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;130781446;;;183765;2;1;1;1;1;0;0;1;0;;0;1;1;0;1;20;;424;5504;229
HAD;2024;130001647;INSTITUT PAOLI CALMETTES;130784127;0;;;;;;1;1;1;3;1;0;0;1;0;;;1;0;0;1;20;;1540;11689;355
