BOR;AN;FI;RS;FI_EJ;PERSO;ETPS;NBLIB_MOY
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;M9999;1.62;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;MAUT;0.08;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;MCOOR;1.54;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;N2120;0.5;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;N2210;6.54;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;N2710;0.39;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;N3120;0.3;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;N9999;10.86;
HAD_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;3.13;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;0.5;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M9999;2.5;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;MCOOR;2;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2120;1;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2510;3.47;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2710;0.49;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N3120;0.99;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N9999;14.73;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;1.78;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NCOOR;6;
HAD_P;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NLIAI;1;
HAD_P;2024;020000089;CH GUISE;020000022;M3050;0.4;
HAD_P;2024;020000089;CH GUISE;020000022;M9999;1;19
HAD_P;2024;020000089;CH GUISE;020000022;MAUT;;19
HAD_P;2024;020000089;CH GUISE;020000022;MCOOR;0.6;
HAD_P;2024;020000089;CH GUISE;020000022;N2120;1;
HAD_P;2024;020000089;CH GUISE;020000022;N2210;2;98
HAD_P;2024;020000089;CH GUISE;020000022;N2410;0;6
HAD_P;2024;020000089;CH GUISE;020000022;N2450;0.1;
HAD_P;2024;020000089;CH GUISE;020000022;N2510;26.3;
HAD_P;2024;020000089;CH GUISE;020000022;N2710;0.15;
HAD_P;2024;020000089;CH GUISE;020000022;N3120;0.1;
HAD_P;2024;020000089;CH GUISE;020000022;N9999;31.65;104
HAD_P;2024;020000089;CH GUISE;020000022;NCOOR;2;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;M3050;0.2;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;M9999;0.46;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;MCOOR;0.26;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;N2210;4.73;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;N2510;10.63;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;N2710;0.46;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;N3120;0.5;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;N9999;19.3;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;NCOOR;0.96;
HAD_P;2024;020004297;HAD AMSAM SOISSONS;020005179;NLIAI;2.02;
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;M9999;0.67;
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;MCOOR;0.67;
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;N2510;3.1;
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;N2710;0.06;
HAD_P;2024;020010898;HAD CRF CHAUNY;750721334;N9999;3.99;
