"FI";"FI_EJ";"RS_ET";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"010000115";"010009132";"CHIC AIN VAL DE SAONE - PONT VEYLE";"2024";12;;;12;113;0;0;113;2777;0;0;2777;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;18;190;6332;0;0;30;20;10155;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;3;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;3,12;2,12;0;0;0;0;0;0;0,66;0;3,78;;;0;1;0;15;21;15;2;7;61;2;1;12;2;1;3;0;0;0;15;35;96;0;0,75;0;13,68;19,67;17,89;0,49;3,74;56,22;0,52;0,26;6,22;0,71;0,61;2,03;0;0;0;12,69;22,43;78,65;;;;;;;;12;0;18;30;111;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000131";"010009132";"CHIC AIN VAL DE SAONE - THOISSEY";"2024";8;0;0;8;131;0;0;131;2617;0;0;2617;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;338;8645;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;1;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1,63;0,41;0;0;0;0;0;0;1,22;0;2,85;;;0;1;0;13;14;13;1;5;47;2;1;11;2;1;2;0;0;0;11;29;76;0;1;0;12,29;11,72;13;0,21;2,02;40,24;0,6;0,3;7,16;0,63;0,49;1,35;0;0;0;9,64;19,68;59,92;;;;;;;;8;0;29;0;234;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000099";"010780120";"CH DE MEXIMIEUX";"2024";10;0;0;10;168;0;0;168;2261;0;0;2261;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;322;7658;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0,98;0;0;0;0;0;0;0;0,87;0;1,85;;;0;1;0;9;14;8;1;4;37;3;0;7;1;1;2;0;0;0;8;21;58;0;1;0;5,11;12,61;4,75;0,7;1,59;25,76;0,91;0;3,66;0,5;0,5;1,06;0;0;0;2,71;8,84;34,6;;;;;;;;10;;20;;121;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000107";"010780138";"CH DE PONT DE VAUX";"2024";3;0;0;3;70;0;0;70;857;0;0;857;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;168;6383;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0,38;0;2,88;;;0;1;0;8;11;5;1;4;30;1;0;11;1;1;2;0;0;0;16;31;61;0;0,54;0;6,88;11,07;4,51;0,5;1,79;25,29;0,17;0;2,8;0,39;0,39;0,3;0;0;0;2,99;6,65;31,94;;;;;;;;15;;20;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"020000089";"020000022";"CH GUISE";"2024";28;0;0;28;1097;0;0;1097;8819;0;0;8819;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;42;479;13265;0;0;30;16;8404;30;259;9880;176;;;;;;;;;0;;;1;0;0;0;0;0;0;;;;;1;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;2;1;14;0;0;0;0;0;0;0;0;0;0;0;4,7;3,2;0;0;0;0;0;0;1,6;0,2;6,5;1;3;0;5;0;48;88;36;1;2;180;0;0;21;3;3;5;0;2;0;24;55;235;0;4,5;0;46,2;85,1;34,9;0,7;1,85;173,25;0;0;19,96;2,53;2,53;4,6;0;1,8;0;23,8;52,69;225,94;;;;;;;;58;0;42;30;115;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;
"020000097";"020000048";"CH LA FÈRE";"2024";38;;;38;640;0;0;640;9906;0;0;9906;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;31;286;7072;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;5;4;0;0;0;0;1;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;3,94;3,89;0;0;0;0;1;0;1;0,4;6,34;;;0;3;0;31;53;14;2;2;105;0;0;17;2;1;2;0;0;0;16;37;142;0;2,04;0;26,06;48,33;14,5;2,35;1,8;95,08;0;0;17,98;2;1;1,86;0;0;0;16;37,84;132,92;;;;;;;;38;;31;;105;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"020000105";"020000055";"CH LE NOUVION-EN-THIÉRACHE";"2024";15;;;15;398;0;0;398;4129;0;0;4129;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;223;3448;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;6;3;0;0;0;0;0;0;0;1;7;0;0;0;0;1;0;0;0;1;3;5;1,57;1,12;0;0;0;0;0;0;0;0,02;1,59;;;0;2;0;15;18;11;1;3;50;1;0;9;2;1;0;0;0;0;19;31;81;0;1,1;0;9,93;15,11;8,15;0,28;1,12;35,69;1;0;8,57;0,49;0,32;0;0;0;0;17,25;27,31;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"020000246";"020000071";"CH VERVINS";"2024";27;;;27;433;0;0;433;6480;0;0;6480;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;27;270;6448;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2,1;2,1;0;0;0;0;0;0;0;0;2,1;;;0;1;0;18;29;11;1;4;64;0;0;8;1;1;1;0;0;0;16;26;90;0;0,8;0;17;28,6;10,6;0,5;2,31;59,81;0;0;7,5;0,9;0,9;1;0;0;0;16;25,4;85,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"020001087";"020004495";"CH HIRSON";"2024";60;;;60;3914;0;0;3914;9590;0;0;9590;4;;;4;324;0;0;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;30;206;6420;0;0;;;;;;;;1;14957;0;;1;0;0;0;0;;;1;0;;0;0;0;;;;;;0;;0;;0;0;0;0;0;0;0;26;4;13;1;2;2;1;0;1;2;32;0;0;0;0;0;0;0;0;0;0;0;16,31;3,68;8,54;0,1;0,33;0,33;0,8;0;1,05;0,8;19,29;3;0,74;1;5;0;48;49;22;2;4;131;3;0;41;3;2;6;3;7;1;37;101;232;0,34;5;0;43,04;46,4;21,31;1,5;3,83;121,42;2,25;0;34,87;1,98;1,48;4,25;3;6,02;1;29,63;83;204,42;;;;;;;;75;;45;;86;1;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;0;1;0;0
"030007942";"030002158";"CH DPT COEUR BOURBONNAIS ST POURCAIN";"2024";10;0;0;10;181;0;0;181;3697;0;0;3697;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;479;9667;5;907;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;4;0;0;0;0;0;0;0;0;4;9;9;0;0;0;0;0;0;0;0;9;1,45;1,45;0;0;0;0;0;0;0;0;1,45;2;1,49;0;2;0;20;30;14;0;5;71;0;0;4;2;1;0;0;0;0;23;29;100;0;2,22;0;16,45;20,88;11,83;0,62;3,78;55,78;0;0;3;2,04;0,93;0;0;0;0;20,38;25,42;81,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
