BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACT;ACTINT
IMAGES;2024;010000024;CH DE FLEYRIAT;010780054;IRM;3;3;1419;;;5926;7345;
IMAGES;2024;010000024;CH DE FLEYRIAT;010780054;RADIO;4;4;13775;;;21358;35133;1
IMAGES;2024;010000024;CH DE FLEYRIAT;010780054;SCAN;2;2;8093;;;8836;16929;1
IMAGES;2024;010000024;CH DE FLEYRIAT;010780054;VASC;2;2;0;;;;0;1
IMAGES;2024;010000024;CH DE FLEYRIAT;010780054;dtIRM2;1;1;522;;;2846;3368;
IMAGES;2024;010000032;CH BUGEY SUD;010780062;MAMM;1;1;;;;574;574;
IMAGES;2024;010000032;CH BUGEY SUD;010780062;RADIO;2;2;1274;;;15354;16628;
IMAGES;2024;010000032;CH BUGEY SUD;010780062;SCAN;1;1;1080;;;7141;8221;
IMAGES;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;RADIO;1;1;1257;217;;52;1526;
IMAGES;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;RADIO;2;2;1353;;;761;2114;0
IMAGES;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;IRM;1;1;138;;;1426;1564;0
IMAGES;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;RADIO;2;2;1541;;;15660;17201;0
IMAGES;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SCAN;1;1;800;;;5085;5885;0
IMAGES;2024;010780195;CLINIQUE CONVERT;010000156;CAM;2;;;;;;;
IMAGES;2024;010780195;CLINIQUE CONVERT;010000156;IRM;1;;;;;;;
IMAGES;2024;010780195;CLINIQUE CONVERT;010000156;SCAN;1;;;;;;;
IMAGES;2024;010780195;CLINIQUE CONVERT;010000156;TOMO;1;;;;;;;
IMAGES;2024;010780195;CLINIQUE CONVERT;010000156;VASC;2;;;;;;;
IMAGES;2024;020000089;CH GUISE;020000022;RADIO;1;1;899;113;;3934;4946;0
IMAGES;2024;020000089;CH GUISE;020000022;VASC;1;1;0;0;0;199;199;0
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;IRM;2;2;2257;;31;5975;8263;0
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;MAMM;1;1;;;;2749;2749;
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;RADIO;5;5;15106;;25147;;40253;1
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;SCAN;2;2;10620;;193;10533;21346;1
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;VASC;2;2;2746;;;;2746;1
IMAGES;2024;020000162;CH SAINT-QUENTIN;020000063;dtIRM2;1;1;276;;10;3488;3774;0
IMAGES;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;RADIO;2;2;2058;;;;2058;0
IMAGES;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;RADIO;3;;;;;;;
IMAGES;2024;020000394;CH LAON;020000253;MAMM;1;1;;;;295;295;
IMAGES;2024;020000394;CH LAON;020000253;RADIO;3;3;4762;;;16573;21335;
IMAGES;2024;020000394;CH LAON;020000253;SCAN;2;2;5213;;;8179;13392;
IMAGES;2024;020000519;CH SOISSONS;020000261;IRM;2;2;675;0;0;6954;7629;0
IMAGES;2024;020000519;CH SOISSONS;020000261;MAMM;1;1;;;;796;796;
IMAGES;2024;020000519;CH SOISSONS;020000261;RADIO;3;3;3558;0;0;25664;29222;
IMAGES;2024;020000519;CH SOISSONS;020000261;SCAN;4;3;1635;0;0;19392;21027;1
IMAGES;2024;020000519;CH SOISSONS;020000261;dtIRM2;1;1;293;0;0;5902;6195;0
IMAGES;2024;020000535;CH CHAUNY;020000287;RADIO;2;2;4612;;;7508;12120;
IMAGES;2024;020000535;CH CHAUNY;020000287;SCAN;1;1;3599;;;5883;9482;
IMAGES;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;RADIO;1;;;;;;;1
IMAGES;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;RADIO;1;1;772;;;178;950;0
IMAGES;2024;020001061;CH CHÂTEAU-THIERRY;020004404;IRM;2;2;183;;;1805;1988;0
IMAGES;2024;020001061;CH CHÂTEAU-THIERRY;020004404;RADIO;2;2;6113;;;11675;17788;1
IMAGES;2024;020001061;CH CHÂTEAU-THIERRY;020004404;SCAN;1;1;4195;;;4320;8515;1
IMAGES;2024;020001087;CH HIRSON;020004495;RADIO;2;2;269;;35;9588;9892;
IMAGES;2024;020001087;CH HIRSON;020004495;SCAN;1;1;812;;145;8547;9504;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;CAM;2;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;IRM;2;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;MAMM;1;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;RADIO;5;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SCAN;1;1;3976;;;;3976;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;TOMO;1;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;dtIRM1;1;;;;;;;
IMAGES;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;dtIRM2;1;;;;;;;
IMAGES;2024;030000061;CH DE MOULINS;030780092;IRM;2;2;680;27;0;6159;6866;0
IMAGES;2024;030000061;CH DE MOULINS;030780092;LITHO;1;;;;;;;1
IMAGES;2024;030000061;CH DE MOULINS;030780092;MAMM;1;1;;;;869;869;
IMAGES;2024;030000061;CH DE MOULINS;030780092;RADIO;5;5;6126;462;0;26645;33233;0
IMAGES;2024;030000061;CH DE MOULINS;030780092;SCAN;2;2;3488;66;0;13735;17289;1
IMAGES;2024;030000061;CH DE MOULINS;030780092;dtIRM2;1;1;415;27;0;2464;2906;0
IMAGES;2024;030000079;CH DE MONTLUCON;030780100;CAM;1;1;331;5;;9012;9348;
IMAGES;2024;030000079;CH DE MONTLUCON;030780100;IRM;1;1;632;7;;4891;5530;
IMAGES;2024;030000079;CH DE MONTLUCON;030780100;RADIO;3;3;9703;189;;24945;34837;
IMAGES;2024;030000079;CH DE MONTLUCON;030780100;SCAN;2;2;6509;110;;8158;14777;0
IMAGES;2024;030000079;CH DE MONTLUCON;030780100;VASC;1;1;905;;;;905;1
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;IRM;2;2;795;;4418;5613;10826;0
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;LITHO;1;1;65;;;;65;0
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;MAMM;1;1;;;;2112;2112;
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;RADIO;3;3;6212;;;26303;32515;1
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SCAN;2;2;3689;;;16815;20504;1
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;VASC;2;2;2782;;;26;2808;1
IMAGES;2024;030000087;CH JACQUES LACARIN VICHY;030780118;dtIRM1;2;2;23;;1738;1270;3031;
