BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;DISU;DISHU
IMAGES_P;2024;010000024;CH DE FLEYRIAT;010780054;M1160;1.6;;;1;;
IMAGES_P;2024;010000024;CH DE FLEYRIAT;010780054;MAUT;0.06;;;;;
IMAGES_P;2024;010000024;CH DE FLEYRIAT;010780054;N4130;11.53;;;;;
IMAGES_P;2024;010000024;CH DE FLEYRIAT;010780054;N4160;1;;;;;
IMAGES_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;20.82;;;;;
IMAGES_P;2024;010000032;CH BUGEY SUD;010780062;N4130;7.69;;;;;
IMAGES_P;2024;010000032;CH BUGEY SUD;010780062;NAUT;5.47;;;;;
IMAGES_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;0.6;;0;0;0;0
IMAGES_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N4130;0.85;;0;0;;
IMAGES_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;1.5;;;;;
IMAGES_P;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4130;2.6;;;;;
IMAGES_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2.5;0;;;;
IMAGES_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4130;6.03;0;;;;
IMAGES_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;4.29;0;;;;
IMAGES_P;2024;010780195;CLINIQUE CONVERT;010000156;M1160;;;0;1;1;1
IMAGES_P;2024;010780195;CLINIQUE CONVERT;010000156;N4130;;;0;1;;
IMAGES_P;2024;020000089;CH GUISE;020000022;M1160;0;1;0;0;0;0
IMAGES_P;2024;020000089;CH GUISE;020000022;N4130;1.86;0;0;0;;
IMAGES_P;2024;020000089;CH GUISE;020000022;NAUT;2;0;;;;
IMAGES_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1160;7.41;;1;1;1;1
IMAGES_P;2024;020000162;CH SAINT-QUENTIN;020000063;N4130;24.83;;0;1;;
IMAGES_P;2024;020000162;CH SAINT-QUENTIN;020000063;N4160;1;;;;;
IMAGES_P;2024;020000162;CH SAINT-QUENTIN;020000063;NAUT;12.34;;;;;
IMAGES_P;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1160;0.11;;0;0;0;1
IMAGES_P;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N4130;1;;0;0;;
IMAGES_P;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;1;;;;;
IMAGES_P;2024;020000394;CH LAON;020000253;M1160;6.35;;0;1;;
IMAGES_P;2024;020000394;CH LAON;020000253;N4130;13.85;;1;0;;
IMAGES_P;2024;020000394;CH LAON;020000253;NAUT;10.43;;;;;
IMAGES_P;2024;020000519;CH SOISSONS;020000261;M1160;8.05;;0;1;0;0
IMAGES_P;2024;020000519;CH SOISSONS;020000261;N4130;15.08;;0;1;;
IMAGES_P;2024;020000519;CH SOISSONS;020000261;N4160;1.05;;;;;
IMAGES_P;2024;020000519;CH SOISSONS;020000261;NAUT;10.32;;;;;
IMAGES_P;2024;020000535;CH CHAUNY;020000287;M1160;;4;;;;
IMAGES_P;2024;020000535;CH CHAUNY;020000287;N4130;9.54;;;;;
IMAGES_P;2024;020000535;CH CHAUNY;020000287;N4160;0.98;;;;;
IMAGES_P;2024;020000535;CH CHAUNY;020000287;NAUT;8.58;;;;;
IMAGES_P;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;M1160;0.2;;0;0;0;0
IMAGES_P;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;N4130;1;;0;0;;
IMAGES_P;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;M1160;;;0;0;0;1
IMAGES_P;2024;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;N4130;0.5;;0;0;;
IMAGES_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M1160;2.81;5;0;1;1;1
IMAGES_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N4130;11.36;;1;0;;
IMAGES_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;12.28;;;;;
IMAGES_P;2024;020001087;CH HIRSON;020004495;M1160;1.5;;;;;
IMAGES_P;2024;020001087;CH HIRSON;020004495;MAUT;0.4;;;;;
IMAGES_P;2024;020001087;CH HIRSON;020004495;N4130;6.53;;;;;
IMAGES_P;2024;020001087;CH HIRSON;020004495;NAUT;3.17;;;;;
IMAGES_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1160;;3;;1;;
IMAGES_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1210;;3;0;0;;
IMAGES_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4130;;20;;;;
IMAGES_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4160;;1;;;;
IMAGES_P;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;;12;;;;
IMAGES_P;2024;030000061;CH DE MOULINS;030780092;M1160;4.72;3;0;1;0;0
IMAGES_P;2024;030000061;CH DE MOULINS;030780092;N4130;22.39;0;1;1;;
IMAGES_P;2024;030000061;CH DE MOULINS;030780092;N4160;0.77;0;;;;
IMAGES_P;2024;030000061;CH DE MOULINS;030780092;NAUT;11.14;0;;;;
IMAGES_P;2024;030000079;CH DE MONTLUCON;030780100;M1160;4.7;;;1;0;0
IMAGES_P;2024;030000079;CH DE MONTLUCON;030780100;M1210;1;;;;;
IMAGES_P;2024;030000079;CH DE MONTLUCON;030780100;N4130;17.68;;;1;;
IMAGES_P;2024;030000079;CH DE MONTLUCON;030780100;N4160;1;;;;;
IMAGES_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;13.68;;;;;
IMAGES_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1160;5.35;;0;1;0;0
IMAGES_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;25.76;;;;;
IMAGES_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;11.22;;;;;
IMAGES_P;2024;030780548;POLYCLINIQUE LA PERGOLA;030000194;NAUT;0.2;;;;;
IMAGES_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1160;;7;0;1;0;0
IMAGES_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;M1160;;2;0;0;1;1
IMAGES_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;N4130;5.15;;0;0;;
IMAGES_P;2024;030785430;POLYCLINIQUE SAINT-ODILON;030009088;NAUT;5.88;;;;;
IMAGES_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1160;1.66;0;0;0;0;0
IMAGES_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4130;8.3;0;0;0;;
