BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A26;DIM_A27;DIM_A18;DIM_A19;DIM_A20;DIM_A28;DIM_A29;DIM_A30;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A31;DIM_A25;DIM_A32
INFOMED;2024;010000024;CH DE FLEYRIAT;010780054;;;1;1;;;1;;;;;;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;;6.6;4;1.01;0
INFOMED;2024;010000032;CH BUGEY SUD;010780062;0;0;1;;;;0;0;1;;;;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;730000015;2.63;;0.05;
INFOMED;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;690000575;;;;
INFOMED;2024;010000081;CH DU PAYS DE GEX;010780112;0;0;0;0;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;740781133;0;0;0;0
INFOMED;2024;010000099;CH DE MEXIMIEUX;010780120;;;1;;;;;;1;;;;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;;0.5;;0;
INFOMED;2024;010000107;CH DE PONT DE VAUX;010780138;0;1;0;;;;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;;0.2;;0.1;
INFOMED;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;;0.56;0.51;0;0
INFOMED;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;;0.54;0.44;0;0
INFOMED;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;0;1;0;0;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;1;010008407;2.2;;0.2;
INFOMED;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;1;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;3.42;;1;
INFOMED;2024;010002129;CLINIQUE LES ARBELLES;310025010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;;0;
INFOMED;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;;0.65;
INFOMED;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;;0;0;1;1;;0.1;0.1;0.1;
INFOMED;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;;;;;
INFOMED;2024;010010171;CLINIQUE DE CHATILLON;920039690;;;;;;;;;;;1;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;;;;;;0;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;
INFOMED;2024;010780195;CLINIQUE CONVERT;010000156;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;;1;1;0.2;0.2
INFOMED;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;1;0;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;;1.45;1.45;0.1;0.1
INFOMED;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.34;0.34;0.23;0.23
INFOMED;2024;010780294;NEPHROCARE CH BELLEY;690000278;1;;;;;;;;;;;;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;690780499;;;0.08;0
INFOMED;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;1;;;1;;0;0;0;0;0;0;1;;;;;;;0;1;740780143;0.8;0.8;0.15;
INFOMED;2024;010780492;CRF ROMANS-FERRARI;360000707;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;;;;;;;0;;0.8;;0;
INFOMED;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;;;;;;;;;1;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1.4;1.4;0.4;0.4
