BOR;AN;FI;RS;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFLIB_PM;EFFLIB_GER;ETPSAL_PM;ETPSAL_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFLIB_INF;EFFLIB_AID;EFFLIB_ERG;EFFLIB_PMT;EFFLIB_APNM;ETPSAL_INF;ETPSAL_AID;ETPSAL_ERG;ETPSAL_PMT;ETPSAL_APNM
MCOGER;2024;010000024;CH DE FLEYRIAT;010780054;1;103;38;46;2.82;1;20;0;737;0;8054;;;2;1;0;0;0;0;;;;;;10.33;12.28;0;0;4.95
MCOGER;2024;010000107;CH DE PONT DE VAUX;010780138;0;;;;;1;3;0;70;0;857;;;1.24;1.24;;;;;;;;;;2.96;4.69;0.12;;2.92
MCOGER;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0;;;;;1;12;0;113;0;2777;;;2.79;;;;;;;;;;;3.9;7.76;0.08;;
MCOGER;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;0;;;;;1;8;;131;0;2617;;;0.61;0.38;;;;;;;;;;3.46;2.34;0.05;;3.9
MCOGER;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0;;;;;1;5;0;55;0;1144;0;0;0.2;0.2;;;;;0;0;0;0;0;4.49;7.21;0;0;0
MCOGER;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;;;;;1;13;0;591;0;4542;0;0;0.63;0;;;;;0;0;0;0;0;5.14;9.84;0.19;0;2.05
MCOGER;2024;020000097;CH LA FÈRE;020000048;0;;;;;1;30;;486;0;7947;;;3.99;0.05;0;;1;;;;;;;15.61;28.89;0.45;;9.33
MCOGER;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0;;;;;1;14;;263;0;2860;;;0.51;;;;1;;;;;;3;5.92;9.29;;;3.56
MCOGER;2024;020000162;CH SAINT-QUENTIN;020000063;1;125;0;95;1.4;1;50;1;2336;405;16665;;;6.6;;;;;;;;;;;21.93;25.39;0;0;4.76
MCOGER;2024;020000394;CH LAON;020000253;1;547;2;549;;1;25;0;1014;40;9480;;;2.37;1.66;0;0;0;0;;;;;;9.81;11.89;;;4.15
MCOGER;2024;020000519;CH SOISSONS;020000261;1;49;0;48;0.5;1;15;;648;0;5267;;;1.11;0.83;0;0;0;0;;;;;;0.7;;;;0.27
MCOGER;2024;020000535;CH CHAUNY;020000287;1;539;0;486;0.1;0;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2024;030000061;CH DE MOULINS;030780092;1;407;0;392;2.35;1;36;1;535;14;8798;0;0;3.41;3.25;1;1;0;0;0;0;0;0;0;9.88;14.33;0;0;2.65
