BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO
MCO;2024;010000024;CH DE FLEYRIAT;010780054;239;88503;11485;715;81994;68;23334;3819;176;19507;36;13176;3507;890;10297;343;125013;18811;1781;111798;22;4404;;;46956;20;3871;4;669;;;46;8944;;;46956
MCO;2024;010000032;CH BUGEY SUD;010780062;56;20496;2938;443;17658;19;6954;953;55;3895;8;2928;389;40;1371;83;30378;4280;538;22924;8;150;0;;1225;8;1748;1;78;;;17;1976;0;;1225
MCO;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;59;21594;2201;80;20149;;;0;0;0;;;0;0;0;59;21594;2201;80;20149;;0;;;4;;0;;0;;;;0;;;4
MCO;2024;010000099;CH DE MEXIMIEUX;010780120;10;3650;168;0;2261;0;0;0;0;0;0;0;0;0;0;10;3650;168;0;2261;0;0;;;0;0;0;0;0;;;0;0;;;0
MCO;2024;010000107;CH DE PONT DE VAUX;010780138;3;1098;70;0;857;0;0;0;0;0;0;0;0;0;0;3;1098;70;0;857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;12;4392;113;1;2777;;;0;0;0;;;0;0;0;12;4392;113;1;2777;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;8;2928;131;0;2617;0;0;0;0;0;0;0;0;0;0;8;2928;131;0;2617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MCO;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;8;2920;236;1;2038;;;0;0;0;;;0;0;0;8;2920;236;1;2038;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;16;5840;336;74;4122;;;0;0;0;;;0;0;0;16;5840;336;74;4122;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;31;11315;4092;372;19637;20;7300;1103;61;4244;17;6205;736;155;2189;68;24820;5931;588;26070;7;1321;;;578;8;1468;1;147;;;16;2936;;;578
MCO;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;2022;;0;;;2;2022;;;0
MCO;2024;010780195;CLINIQUE CONVERT;010000156;26;9460;4295;1587;13036;65;23095;3602;362;10482;;;0;0;0;91;32555;7897;1949;23518;0;;;0;3632;32;12343;;0;;;32;12343;;0;3632
MCO;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;26;9490;5510;1732;15096;30;10635;2385;307;6039;15;5475;523;4;2052;71;25600;8418;2043;23187;8;126;;;350;48;6527;0;0;;;56;6653;;;350
MCO;2024;020000089;CH GUISE;020000022;28;10220;1097;210;8819;0;0;0;0;0;0;0;0;0;0;28;10220;1097;210;8819;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;96
MCO;2024;020000097;CH LA FÈRE;020000048;38;13908;640;6;9906;;;0;0;0;;;0;0;0;38;13908;640;6;9906;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;15;5490;398;13;4129;;;0;0;0;;;0;0;0;15;5490;398;13;4129;;0;;;0;;0;;0;;;;0;;;0
MCO;2024;020000162;CH SAINT-QUENTIN;020000063;277;101382;19481;2151;92946;78;28548;4683;298;16901;28;10248;2300;107;8257;383;140178;26464;2556;118104;53;4684;2;402;49500;32;6154;1;1036;;;86;11874;2;402;49500
MCO;2024;020000246;CH VERVINS;020000071;27;9855;433;1;6480;;;0;0;0;;;0;0;0;27;9855;433;1;6480;;;;;;;0;;0;;;;0;;;
MCO;2024;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;0;0;0;30;10200;963;4;2293;;;0;0;0;30;10200;963;4;2293;;255;;;0;18;4521;;0;;;18;4776;;;0
MCO;2024;020000394;CH LAON;020000253;128;48020;9443;3495;39158;34;12455;2395;190;8845;18;6570;1096;144;3836;180;67045;12934;3829;51839;14;2960;;;9514;11;1816;0;274;;;25;5050;;;9514
MCO;2024;020000519;CH SOISSONS;020000261;195;71727;11744;1072;66114;38;13274;2028;37;10811;21;7686;1456;67;5233;254;92687;15228;1176;82158;8;1032;;;15803;15;1846;1;611;;;24;3489;;;15803
MCO;2024;020000535;CH CHAUNY;020000287;119;43435;5485;1177;26856;3;1095;284;6;1076;18;5840;862;304;1897;140;50370;6631;1487;29829;3;430;1;254;1803;21;1092;1;315;;;25;1837;1;254;1803
MCO;2024;020001061;CH CHÂTEAU-THIERRY;020004404;140;48169;6410;1221;44499;15;5433;1320;7;3625;14;5490;736;6;3300;169;59092;8466;1234;51424;4;2526;2;0;1123;10;2384;1;577;;;15;5487;2;0;1123
MCO;2024;020001087;CH HIRSON;020004495;60;21900;3914;2336;9590;;;0;0;0;;;0;0;0;60;21900;3914;2336;9590;4;324;;;0;;0;;0;;;4;324;;;0
MCO;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;35;12775;2571;529;9661;68;24820;2515;8;5753;0;0;0;0;0;103;37595;5086;537;15414;4;457;;;3615;40;9450;0;0;0;0;44;9907;0;0;3615
MCO;2024;030000061;CH DE MOULINS;030780092;200;71499;11239;3138;62743;57;20862;2899;56;14340;25;9150;1271;7;5009;282;101511;15409;3201;82092;21;1085;;;11258;15;2374;2;292;;;38;3751;;;11258
MCO;2024;030000079;CH DE MONTLUCON;030780100;236;86140;11551;1437;83538;33;12045;1689;66;9721;33;12045;1627;149;5430;302;110230;14867;1652;98689;5;2216;;;14765;4;734;3;677;;;12;3627;;;14765
