BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A25;ORG_A26;ORG_A27;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2024;010000024;CH DE FLEYRIAT;010780054;;;;3;C;D;;;;;;;1;A;;;;;;;;381;C;A;;;;0;1;1;;;;;;;
ORG;2024;010000032;CH BUGEY SUD;010780062;;;;2;A;B;;;;;;;1;A;;2;A;B;;;;25;C;;1;C;;1;1;1;1;1;SAVOIE BELLEY;;;;
ORG;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;;;;;;;;;;1;A;;;;;4;C;;;;;0;1;2;1;1;RHÔNE NORD BEAUJOLAIS DOMBES;;;;
ORG;2024;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;;;;;;;;;;;;1;A;;;;;;;;0;0;;0;;;;;;
ORG;2024;010000099;CH DE MEXIMIEUX;010780120;;;;2;A;;;;;;;;;;;;;;;;;4;C;A;;;;0;0;;;;;;;;
ORG;2024;010000107;CH DE PONT DE VAUX;010780138;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;;1;C;;;;;;;;;;;;;;;;;8;C;A;;;;0;0;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;;1;C;;;;;;;;;;;;;;;;;8;C;A;;;;0;0;;1;;BRESSE HAUT-BUGEY;;;;
ORG;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;;;;;;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;;;;
ORG;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;;;;;;;;;;;;;;;;;;;;3;D;;;;;0;0;;;;;;;;
ORG;2024;010002129;CLINIQUE LES ARBELLES;310025010;3;C;D;;;;;;;;;;;;;;;;;;;10;C;D;;;;0;0;;0;;;;;;
ORG;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2024;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;0;;0;;;;;;
ORG;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;;;;;;;;;;;;;;;4;C;;;;;1;0;;0;;;;;;
ORG;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;;;;;;;;;;;;;;;;;;;25;F;;;;;0;0;;0;;;;;;
ORG;2024;010010171;CLINIQUE DE CHATILLON;920039690;4;C;D;;;;;;;;;;;;;;;;2;C;;6;C;D;;;;0;;;1;3;SAVOIE BELLEY;BRESSE HAUT-BUGEY;;;
ORG;2024;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;0;;0;;;;;;
ORG;2024;010780195;CLINIQUE CONVERT;010000156;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;0;;;;;;
ORG;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2024;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;;;;;;;;;;;;;;;;;;;25;A;;;;;0;0;;0;;;;;;
ORG;2024;010780294;NEPHROCARE CH BELLEY;690000278;;;;;;;;;;;;;;;;;;;;;;4;;;;;;1;0;;0;;;;;;
ORG;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;;;;;;;;;;;;;;;10;C;;;;;0;0;;0;;;;;;
ORG;2024;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;
ORG;2024;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;0;;0;;;;;;
ORG;2024;020000089;CH GUISE;020000022;;;;1;C;D;;;;;;;;;;;;;;;;50;C;C;;;;0;0;;1;1;AISNE NORD;;;;
ORG;2024;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;;2;D;A;;;;;;;2;A;;;;;;;;21;C;A;;;;;;;;;;;;;
ORG;2024;020000162;CH SAINT-QUENTIN;020000063;;;;3;D;;;;;;;;;;;;;;1;C;;263;C;A;;;;0;0;;0;;;;;;
ORG;2024;020000246;CH VERVINS;020000071;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;AISNE NORD;;;;
ORG;2024;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;1;A;;;;;;;;3;;;;;;;;;88;C;A;6;C;A;0;1;1;0;;;;;;
ORG;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;;;;;;;;;;1;A;;;;;2;C;;;;;0;1;1;1;1;AISNE SUD- SAPHIR;;;;
ORG;2024;020000394;CH LAON;020000253;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;
