BOR;AN;FI;RS;FI_EJ;ETPSAL_TOT;ETPSAL_URG;ETPSAL_SMUR;ETPSAL_SAMU;EFFLIB_TOT;EFFLIB_URG;EFFLIB_SMUR;EFFLIB_SAMU;COM_SMUR_SU;MOD;PERSO
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;2.57;;;2.57;;;;;;;M1140
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;17.54;11.58;3.39;2.57;;;;;1;3;M9999
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;3.83;2;;1.83;;;;;;;N1200
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;25.43;;;25.43;;;;;;;N1230
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;2;1;0.5;0.5;;;;;0;;N2120
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;24.08;22.4;;1.68;;;;;;;N2500
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;9.9;;9.9;;;;;;;;N5140
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;112.52;57.85;19.89;34.78;;;;;1;;N9999
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;40.57;30.45;9.49;0.63;;;;;1;;NIDE
PCAMEDURG_P;2024;010000024;CH DE FLEYRIAT;010780054;4.7;;;4.7;;;;;;;NOPE
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;4.34;2.17;2.17;;;;;;;;M9999
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;0.79;0.48;0.31;;;;;;;;N2120
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;10.58;4.01;6.57;;;;;;;;N2500
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;0.05;0.05;;;;;;;;;N3120
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;6;;6;;;;;;;;N5140
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;50.71;31.74;18.97;;;;;;;;N9999
PCAMEDURG_P;2024;010000032;CH BUGEY SUD;010780062;15.65;9.56;6.09;;;;;;;;NIDE
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;10;10;;;;;;;1;2;M9999
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;2.24;2.24;;;;;;;1;2;N1200
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;;;;;;;1;2;N2120
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;12.29;12.29;;;;;;;;;N2500
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;34.24;34.24;;;;;;;1;2;N9999
PCAMEDURG_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;18.71;18.71;;;;;;;1;2;NIDE
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;;;;;5;5;;;0;;M9999
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;4.65;4.65;;;;;;;0;;N1200
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;0.5;0.5;;;;;;;0;;N2120
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;5.67;5.67;;;;;;;;;N2500
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;1;1;;;;;;;0;;N2620
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;24.34;24.34;;;;;;;0;;N9999
PCAMEDURG_P;2024;010780195;CLINIQUE CONVERT;010000156;12.52;12.52;;;;;;;0;;NIDE
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;;;;12;12;;;1;3;M9999
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;3.96;3.96;;;;;;;1;3;N1200
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;;;;;;;1;3;N2120
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;11.31;11.31;;;;;;;;;N2500
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;5;;5;;;;;;;;N5140
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;57.75;47.95;9.8;;;;;;1;3;N9999
PCAMEDURG_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;31.48;26.68;4.8;;;;;;1;3;NIDE
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;2;2;;;;;;;;;M1140
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;1;1;;;;;;;;;M3020
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;33;18;15;;;;;;;;M9999
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;3;2.88;0.12;;;;;;;;N1200
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;2.35;;;2.35;;;;;;;N1230
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;0.48;0.38;0.1;;;;;;;;N2120
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;41;39.39;1.61;;;;;;;;N2500
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;4.07;;4.07;;;;;;;;N5140
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;97.88;95.18;2.7;;;;;;;;N9999
PCAMEDURG_P;2024;020000162;CH SAINT-QUENTIN;020000063;44.92;44.36;0.56;;;;;;;;NIDE
PCAMEDURG_P;2024;020000394;CH LAON;020000253;14.39;7.07;5.12;2.2;;;;;1;1;M9999
PCAMEDURG_P;2024;020000394;CH LAON;020000253;30.02;1.73;;28.29;;;;;;;N1200
PCAMEDURG_P;2024;020000394;CH LAON;020000253;1.36;0.53;0.33;0.5;;;;;;;N2120
PCAMEDURG_P;2024;020000394;CH LAON;020000253;14.32;13.32;;1;;;;;;;N2500
PCAMEDURG_P;2024;020000394;CH LAON;020000253;0.08;0.08;;;;;;;;;N3120
PCAMEDURG_P;2024;020000394;CH LAON;020000253;13;;12.6;0.4;;;;;;;N5140
PCAMEDURG_P;2024;020000394;CH LAON;020000253;111.06;54.72;22.38;33.96;;;;;;;N9999
PCAMEDURG_P;2024;020000394;CH LAON;020000253;43.37;30.85;9.45;3.07;;;;;;;NIDE
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;17.4;13.14;4.26;;;;;;1;3;M9999
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;3.03;3.03;;;;;;;1;3;N1200
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;1;;;1;;;;;;;N1230
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;;;;;;;;;1;;N2120
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;21.89;19.89;2;;;;;;;;N2500
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;0.01;0.01;;;;;;;;;N3120
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;4.05;;4.05;;;;;;;;N5140
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;79.47;72.47;7;;;;;;;;N9999
PCAMEDURG_P;2024;020000519;CH SOISSONS;020000261;44.88;39.88;5;;;;;;1;;NIDE
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;12.45;12.45;;;;;;;1;3;M9999
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;1;1;;;;;;;;;N1200
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;1.25;1.15;0.1;;;;;;1;3;N2120
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;15.34;12.34;3;;;;;;;;N2500
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;;;;;;;;;1;3;N2620
PCAMEDURG_P;2024;020000535;CH CHAUNY;020000287;20.99;16.99;4;;;;;;1;3;NIDE
