BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;GAR;AST;GARDED;ASTDED
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;M1140;1.23;;1;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;M2050;4.41;;1;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;MIVG;;6;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;N2200;4.78;;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;N2340;17.24;;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;N2530;30.08;;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;N2800;28.81;;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;N280H;26.81;;;;;
PERINAT_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;3.43;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;M2050;1;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;MAUT;0.1;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;N2530;3.81;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;N2700;0.05;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;N2800;10.21;;;;;
PERINAT_P;2024;010000032;CH BUGEY SUD;010780062;NAUT;4.82;;;;;
PERINAT_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;MIVG;0.2;;;;;
PERINAT_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;0.3;;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;1.9;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;3.52;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2530;11.95;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2700;0.2;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2800;17.02;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N280H;17.02;0;;;;
PERINAT_P;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;4;0;;;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;;5;0;1;0;1
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;0.94;1;0;1;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;1.25;1;0;1;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2530;11.74;;;;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2800;10.79;;;;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N280H;10.79;;;;;
PERINAT_P;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;3.21;;;;;
PERINAT_P;2024;020000089;CH GUISE;020000022;M1140;0.2;0;0;0;;
PERINAT_P;2024;020000089;CH GUISE;020000022;M2050;0.2;0;0;0;;
PERINAT_P;2024;020000089;CH GUISE;020000022;N2800;0.8;0;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1030;1;;1;0;0;0
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1140;7.6;;1;0;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;M2050;7.5;;1;1;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;MIVG;0.2;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2200;19.73;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2340;14.02;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2530;14.19;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2700;2;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2800;1.62;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;N280H;1.62;;;;;
PERINAT_P;2024;020000162;CH SAINT-QUENTIN;020000063;NAUT;21.62;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;M1140;2.92;;1;0;;
PERINAT_P;2024;020000394;CH LAON;020000253;M2050;6.63;;1;0;;
PERINAT_P;2024;020000394;CH LAON;020000253;N2200;12.37;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;N2340;1.44;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;N2530;9.96;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;N2700;0.6;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;N2800;18.12;;;;;
PERINAT_P;2024;020000394;CH LAON;020000253;NAUT;11.22;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;M1030;;;1;0;0;0
PERINAT_P;2024;020000519;CH SOISSONS;020000261;M1140;2.01;;1;0;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;M2050;1.26;;0;1;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;MAUT;0.1;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N2200;9.25;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N2340;7.8;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N2530;6.34;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N2700;0.6;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N2800;17.94;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;N280H;17.94;;;;;
PERINAT_P;2024;020000519;CH SOISSONS;020000261;NAUT;16.66;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;M1030;6.19;;1;0;0;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;M1140;1.76;;0;1;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;M2050;5.55;;0;1;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;MAUT;0.56;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;MIVG;0.01;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;N2200;2.65;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;N2340;1;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;N2530;10.74;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;N2800;11.7;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;N280H;11.7;;;;;
PERINAT_P;2024;020000535;CH CHAUNY;020000287;NAUT;10.29;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;0.75;;1;0;0;0
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M1140;0.4;;1;0;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;M2050;4.55;;1;0;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;MIVG;0.2;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;10.31;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2340;5.61;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2530;13.94;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2700;0.25;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;N2800;17.08;;;;;
PERINAT_P;2024;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;8.55;;;;;
PERINAT_P;2024;020001087;CH HIRSON;020004495;M2050;0.33;;;;;
PERINAT_P;2024;020001087;CH HIRSON;020004495;N2530;1;;;;;
PERINAT_P;2024;020001087;CH HIRSON;020004495;N2800;0.34;;;;;
PERINAT_P;2024;020001087;CH HIRSON;020004495;NAUT;1;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;M1030;;;1;1;0;0
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;M1140;1.63;;0;1;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;M2050;5.32;;1;0;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;MAUT;0.13;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;MIVG;0.05;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;N2200;2.83;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;N2340;5.09;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;N2530;16.87;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;N2800;25.81;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;N280H;10.21;;;;;
PERINAT_P;2024;030000061;CH DE MOULINS;030780092;NAUT;26.82;;;;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;M1140;5.54;;;1;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;M2050;6.13;;;1;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;N2340;5.5;;;;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;N2530;12.47;;;;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;N2700;1.2;;;;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;N2800;21.99;;;;;
PERINAT_P;2024;030000079;CH DE MONTLUCON;030780100;NAUT;9.96;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;9.43;;1;0;0;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M1140;6.1;;0;1;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;M2050;7.02;;0;1;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;MIVG;0.35;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;2.8;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2340;2.53;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2530;19.13;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2700;1;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;N2800;22.96;;;;;
PERINAT_P;2024;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;12.94;;;;;
PERINAT_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;;5;0;1;0;0
PERINAT_P;2024;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;MIVG;;1;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1140;0.11;0;0;0;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M2050;2.33;0;0;0;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;1;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2340;4.15;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2530;3.5;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2700;0.5;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2800;19.04;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N280H;19.04;0;;;;
PERINAT_P;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;8.77;0;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1030;;;0;1;0;0
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1140;2.6;;0;1;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M2050;6.19;;0;1;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MIVG;0.18;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2200;3;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2530;1.22;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2700;0.3;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2800;5.6;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N280H;5.6;;;;;
PERINAT_P;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;4.38;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;M2050;0.83;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2530;5.62;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2700;0.53;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N2800;12.16;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;N280H;12.16;;;;;
PERINAT_P;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;NAUT;6.59;;;;;
PERINAT_P;2024;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;0.06;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1030;;;1;0;0;0
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1140;1.18;;0;1;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M2050;4.77;;0;1;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;MIVG;0.18;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;0.97;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2340;7.54;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2530;23.27;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2800;18.61;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N280H;18.61;;;;;
PERINAT_P;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;13.46;;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1140;7.73;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M2050;0.12;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2340;18.56;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2530;15.73;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2800;34.63;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N280H;16.19;0;;;;
PERINAT_P;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;4.13;0;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;9.89;;1;0;0;0
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1140;6.92;2;0;1;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M2050;8.2;1;1;0;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;MIVG;2;;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;0.56;;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2340;6.12;;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2530;19.92;;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2700;0.4;;;;;
PERINAT_P;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2800;20.5;;;;;
