BOR;AN;FI;RS;FI_EJ;PN_A1;PN_A2;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A76;PN_A77;PN_A25;PN_A24;PN_A26;PN_A27;PN_A28;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2024;010000024;CH DE FLEYRIAT;010780054;4.56;1.12;1;2.74;1227;0;0;0;1;;2171;89;1332;4513;1461;1146;2;0;;;0;;;1;1;0;1;1;399;250;0;2;1;1;1;1;1;1;0;1;0;0.4;0.2;0.2;1.43;1;1;10;93;3549;0;;;;0;;;;1;38;4230;1;3.24;1;2.75;2467;278;1;1137;466;4.32;0;;;;
PN;2024;010000032;CH BUGEY SUD;010780062;1;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;1;1;1;1;1;286;104;1;;;;;;3;3;;2;2;1.35;;;1.46;1.46;0;;;;0;;;;0;;;;1;2;270;0;;0;;;;0;;;;0;;;;
PN;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0.75;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;1;1;0;1;1;208;68;0;0;;;;;4;1;;4;2;0.35;0.1;;1.2;0.8;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000081;CH DU PAYS DE GEX;010780112;;0.2;0;;;;;1;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000099;CH DE MEXIMIEUX;010780120;0.4;0.05;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000107;CH DE PONT DE VAUX;010780138;0;0.2;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;0.19;0.4;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;0.6;0.1;0;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1.49;0.17;1;1.47;94;0;1;1;0;;;;;;;;;0;;;0;;;1;0;1;1;1;616;131;0;;;;2;1;4;3;;6;2;1.33;1.3;;3.24;1.62;0;;;;0;;;;0;;;;0;;;0;;1;2.45;71;0;0;;;;0;;;;
PN;2024;010002129;CLINIQUE LES ARBELLES;310025010;0.25;0.08;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0.2;1;1.7;265;1;0;0;0;;;;;;;;;0;;;0;;;1;0;0;0;1;134;0;0;1;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;0.1;0;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;0.01;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
PN;2024;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;0.28;0.19;0;;;;;0;0;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;0;;;;
