BOR;AN;FI;RS;FI_EJ;PSY_A45;PSY_A46;PSY_B45;PSY_B46;PSY_C45;PSY_C46;PSY_D45;PSY_D46;PSY_E45;PSY_E46;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44;PSY_A47;PSY_B47;PSY_A48;PSY_B48;PSY_A49;PSY_B49
PSY2;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;;52955;3986;2206;;165;16887;9398;11025;82;34;;;105;118;174735;538;530;;14;1830;667;1;0.1;0;;0;;0;0;1;4;1;18;1;1893
PSY2;2024;010010171;CLINIQUE DE CHATILLON;920039690;;;;;;;;;;;32776;;;;;;;6064;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;;;;;;;;;;;893;;;;;;;;;;;;;;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;;;;;27695;;;;;;;2647;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;0;0;
PSY2;2024;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0;0;0;0;0;0;0;0;0;0;85663;5767;997;0;232;8611;7683;14257;8;0;0;0;7;0;118461;1152;0;0;958;1693;1756;1;1;1;;0;;0;0;1;1;1;11;0;
PSY2;2024;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;;;;;;;;;;;16622;;;;;;;4834;;;;;;;;;;;;;;0;;0;;0;;0;0;1;;0;;0;
PSY2;2024;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;;;;;;;;;;;;;;;;;;;;;;;;;42027;;;;;;;1;1;0;;0;;0;0;1;1;1;4;0;
PSY2;2024;030000061;CH DE MOULINS;030780092;;;;;;;;;;;31294;1962;1430;;57;6996;1461;10167;160;21;;0;604;21;41140;339;3;;12;488;77;1;1;0;;0;;0;0;1;6;1;6;0;
PSY2;2024;030000087;CH JACQUES LACARIN VICHY;030780118;;;;;;;;;;;18141;1092;;;;6203;80;2979;422;;;;723;;96269;445;;;;1811;57;0;;0;;0;;0;0;1;3;1;1;0;
PSY2;2024;030000160;CHS D'AINAY LE CHATEAU;030780282;0;0;0;0;0;0;0;0;0;0;96706;0;0;0;0;0;0;0;0;0;0;0;0;0;22214;0;0;0;0;0;0;0;;0;;0;;0;0;1;2;1;1;1;1499
PSY2;2024;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;0;0;;;;;;;;;10645;103;;;;218;;7284;156;;;;100;;25441;487;;;;1456;;1;0.5;0;;0;;0;0;;;;;0;
PSY2;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;;;;;;;;16860;2824;0;0;0;6380;1869;17620;120;0;0;0;439;159;57114;998;0;0;0;618;173;1;;0;;0;;0;0;1;3;1;3;;
PSY2;2024;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;;23150;769;0;0;0;1375;1296;5536;1;0;0;0;218;43;79705;243;0;0;0;497;377;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;0;0;;;;;;;65;0;4890;4;;;;5;6;2341;1;;;;;;15905;116;;;;;;1;0.3;0;;0;;0;0;1;1;1;1;0;
PSY2;2024;050000454;LE FUTUR ANTERIEUR;050000645;;;;;;;;;;;9329;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;1;;;;0;
PSY2;2024;050000991;CENTRE MEDICAL CHANT'OURS;050000546;;;;;;;;;;;11109;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;050008630;HJ L'ESCALE BRIANCON;050000116;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;1;1;0;
PSY2;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;;;;;;;;;;5474;978;447;0;6;5015;133;2236;0;104;0;0;84;0;21384;86;0;0;0;604;0;1;1;0;;0;;;;1;1;1;2;0;
PSY2;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;;;;;;;;;31;47;13466;1820;0;0;23;6311;464;4751;132;0;0;0;83;0;52813;234;0;0;0;683;9;0;;0;;0;;0;0;;;;6;0;
