BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU
PSY;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;GEN;;4;;;242;;;;;94662;87;;;2747;81639;;;;;9620;;;12;1;13;73234;4424;29565;13731;3186;3078;1;12023;9526;;22.18;;11.32;0;1;;608.03;360.62;82.25;38.59;7.35;43.56
PSY;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INF;;1;;;14;;;;;5079;14;;;233;3958;;;;;1745;;;11;1;6;22276;1091;8041;407;37;464;696;2914;2651;;6.4;;;0;1;;131.35;63.57;5.45;23.48;11.52;15.43
PSY;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5103;;;;825;794;;0.76;;;;;;5.87;3.6;;2.27;;
PSY;2024;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;TOT;1;;6;1;256;;;;;99741;101;;;2980;85597;;;;;11365;;;23;2;19;95510;5515;37606;19241;3223;3542;697;15315;12681;;29.34;;11.32;;;;745.25;427.79;87.7;64.34;18.87;58.99
PSY;2024;010010171;CLINIQUE DE CHATILLON;920039690;GEN;;;;;100;;;;;36600;20;0;;935;32776;;;;;6064;;;;;;;;;;;;;924;;4;0.41;;0.6;0;0;;61.82;29.11;19.58;7.58;4.31;1
PSY;2024;010010171;CLINIQUE DE CHATILLON;920039690;TOT;0;;;0;100;;;;;36600;20;0;;935;32776;;;;;6064;;;;;;;;;;;;;924;;4;0.41;;0.6;;;;61.82;29.11;19.58;7.58;4.31;1
PSY;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;INF;;;;;;;;;;;3;0;;;;;;;;893;;;;;;;;;;;;;37;;0;0.4;0;0.05;0;1;0;3.6;1.55;0.2;0.5;0.55;0.8
PSY;2024;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;TOT;0;;;0;;;;;;;3;0;;;;;;;;893;;;;;;;;;;;;;37;;0;0.4;0;0.05;;;0;3.6;1.55;0.2;0.5;0.55;0.8
PSY;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;GEN;;;;;86;;;;;31390;10;;;869;27695;;;;;2641;;;;;;;;;;;;;609;;5;0;;0.43;0;1;5;35.57;26.44;4.95;1.92;;2.26
PSY;2024;020000386;CLINIQUE DE LA ROSERAIE;020000600;INF;;;;;0;;;;;0;12;;;;;;;;;6;;;;;;;;;;;;;5;;;;;;0;0;1;0.12;0.12;;;;
