FI;PERSO;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_PC;ETP_PC_EXT;ETP_PC_PA_EXT;ETP_PA;ETP_PA_EXT;ETP_AUTRES;BOR;AN;RS;FI_EJ;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETPSAL_TOT_PUBLIC;ETP_PACT;EFFSAL;ETPSAL;EFFLIB;totetp1
010000024;M1010;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;7;2;11;;;;;11.46;14.2;;;24;25.66;;25.66
010000024;M1020;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;3;3;0;0;;;;;3;3;;;6;6;;6
010000024;M1030;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;6;4;2;8;;;;;6.9;10.25;;;20;17.15;;17.15
010000024;M1031;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;6;1;0;1;;;;;6;1.75;;;8;7.75;;7.75
010000024;M1040;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;2;0;1;0;;;;;2.4;0;;;3;2.4;;2.4
010000024;M1050;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;1;1;1;;;;;0.4;1.2;;;3;1.6;;1.6
010000024;M1070;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;1;0;1;;;;;0;1.5;;;2;1.5;;1.5
010000024;M1090;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;3;1;0;0;;;;;3;1;;;4;4;;4
010000024;M1100;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;2;2;1;0;;;;;2.8;2;;;5;4.8;;4.8
010000024;M1110;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;3;0;0;2;;;;;3;1.2;;;5;4.2;;4.2
010000024;M1120;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;0;2;1;;;;;4;0.8;;;7;4.8;;4.8
010000024;M1130;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;2;3;0;0;;;;;2;3;;;5;5;;5
010000024;M1140;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;3;2;2;;;;;2.6;4.6;;;8;7.2;;7.2
010000024;M1150;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;3;0;0;0;;;;;3;0;;;3;3;;3
010000024;M1160;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;0;0;1;;;;;0;0.5;;;1;0.5;;0.5
010000024;M1170;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;2;0;0;;;;;1;2;;;3;3;;3
010000024;M1180;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;1;0;0;;;;;0;1;;;1;1;;1
010000024;M1190;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;1;0;3;;;;;0;2.4;;;4;2.4;;2.4
010000024;M1200;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;1;0;0;;;;;0;1;;;1;1;;1
010000024;M1320;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;5;1;3;;;;;1.4;6.7;;;10;8.1;;8.1
010000024;M1340;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;7;4;6;;;;;6.2;10;;;21;16.2;;16.2
010000024;M2020;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;0;0;0;;;;;1;0;;;1;1;;1
010000024;M2030;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;1;1;0;;;;;4.2;1;;;6;5.2;;5.2
010000024;M2040;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.3;0;;;1;0.3;;0.3
010000024;M2050;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;9;1;0;;;;6;1.1;8.8;;;11;9.9;6;9.9
010000024;M2070;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.2;0;;;1;0.2;;0.2
010000024;M2080;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;2;1;0;;;;;1.4;2;;;4;3.4;;3.4
010000024;M2100;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;0;0;0;;;;;4;0;;;4;4;;4
010000024;M2120;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;4;0;0;0;;;;;4;0;;;4;4;;4
010000024;M2130;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;2;1;0;;;;;1.2;2;;;4;3.2;;3.2
010000024;M3012;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;2;2;0;3;;;;;2;4.2;;;7;6.2;;6.2
010000024;M3030;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;0;0;1;;;;;1;0.6;;;2;1.6;;1.6
010000024;M3040;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;1;0;0;0;;;;;0.8;0.3;;;1;1.1;;1.1
010000024;M3050;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;2;6;0;3;;;;;2;8.1;;;11;10.1;;10.1
010000024;M3060;;;;;;;;;;;Q20;2024;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.8;0;;;1;0.8;;0.8
010000024;M9999;0;124.5;2;0;31.2;0;2.8;15.76;2;0;Q20;2024;CH DE FLEYRIAT;010780054;67;65;23;47;;;;6;83.16;95.1;178.26;0;202;178.26;6;178.26
010000032;M1010;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;5;;;3;;;;;4.08;2.54;;;8;6.62;;6.62
010000032;M1030;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;;1;;;;;;0.55;;;;1;0.55;;0.55
010000032;M1090;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;2;;1;;;;;;1.66;;;;3;1.66;;1.66
010000032;M1120;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;;1;;;;;;0.4;;;;1;0.4;;0.4
010000032;M1140;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;1;;;;;;;;1.54;;;1;1.54;;1.54
010000032;M1200;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;;;1;;;;;;0.2;;;1;0.2;;0.2
010000032;M1320;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;;;1;;;;;0.24;0.67;;;1;0.91;;0.91
010000032;M1340;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;1;;1;;;;;;2.62;1.09;;;2;3.71;;3.71
010000032;M2010;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;1;;;;;;;;1;;;;1;1;;1
010000032;M2030;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;3;;;;;;;;3;;;;3;3;;3
010000032;M2050;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;;2;;;;;;1;;;;2;1;;1
010000032;M2100;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;1;;;;;;;;1;;;;1;1;;1
010000032;M2120;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;2;;;;;;;;2;;;;2;2;;2
010000032;M3050;;;;;;;;;;;Q20;2024;CH BUGEY SUD;010780062;;1;;2;;;;;;2.67;;;3;2.67;;2.67
010000032;M9999;;14.83;0.25;;6.76;;1.87;;;2.55;Q20;2024;CH BUGEY SUD;010780062;15;2;6;7;;;;;17.55;8.71;26.26;;30;26.26;;26.26
010000065;M1010;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;4;2;1;7;;;;;5.34;6.13;;;14;11.47;;11.47
010000065;M1040;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;;;1;3;;;;;0.1;0.26;;;4;0.36;;0.36
010000065;M1160;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;;;1;;;;;;0.6;;;;1;0.6;;0.6
010000065;M1320;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;1;0;1;3;;;;;1.9;2.8;;;5;4.7;;4.7
010000065;M3050;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;1;;;0;;;;;1;0.07;;;1;1.07;;1.07
010000065;M3060;;;;;;;;;;;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;;;1;;;;;;0.2;;;;1;0.2;;0.2
010000065;M9999;;16.34;;;1.18;;0.68;;;0.2;Q20;2024;CH DE TREVOUX - MONTPENSIER;010780096;6;2;5;13;;;;;9.14;9.26;18.4;;26;18.4;;18.4
010000081;M1010;;;;;;;;;;;Q20;2024;CH DU PAYS DE GEX;010780112;;1;1;;;;;;0.5;1;;;2;1.5;;1.5
010000081;M9999;;;;;1.5;;;;;;Q20;2024;CH DU PAYS DE GEX;010780112;;1;1;;;;;;0.5;1;1.5;;2;1.5;;1.5
010000099;M1320;;;;;;;;;;;Q20;2024;CH DE MEXIMIEUX;010780120;;;1;;;;;;0.98;;;;1;0.98;;0.98
010000099;M3050;;;;;;;;;;;Q20;2024;CH DE MEXIMIEUX;010780120;;;;1;;;;;;0.87;;;1;0.87;;0.87
010000099;M9999;;0.75;;;0.61;;;;;;Q20;2024;CH DE MEXIMIEUX;010780120;;;1;1;;;;;0.98;0.87;2.5;0.49;2;1.85;;1.85
010000107;M1320;;;;;;;;;;;Q20;2024;CH DE PONT DE VAUX;010780138;2;1;;;;;;;1.6;0.9;;;3;2.5;;2.5
010000107;M3050;;;;;;;;;;;Q20;2024;CH DE PONT DE VAUX;010780138;;1;;;;;;;;0.38;;;1;0.38;;0.38
010000107;M9999;;1.88;;;;;;1;;;Q20;2024;CH DE PONT DE VAUX;010780138;2;2;;;;;;;1.6;1.28;2.88;;4;2.88;;2.88
010000115;M1010;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;2;;;;;;1.09;1.03;;;3;2.12;;2.12
010000115;M1320;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;;;;;;;;1;;;1;1;;1
010000115;M3050;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;1;;;;;;0.4;0.26;;;1;0.66;;0.66
010000115;M9999;;1.56;;;1.22;;;1;;;Q20;2024;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;2;3;;;;;;1.49;2.29;3.78;;5;3.78;;3.78
010000131;M1010;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;;1;;;;;;0.41;;;1;0.41;;0.41
010000131;M1320;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - THOISSEY;010009132;;1;;1;;;;;;1.22;;;2;1.22;;1.22
010000131;M3050;;;;;;;;;;;Q20;2024;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;1;1;;;;;0.2;1.02;;;2;1.22;;1.22
010000131;M9999;;1.7;;;1.15;;;;;;Q20;2024;CHI AIN VAL DE SAONE - THOISSEY;010009132;;1;1;3;;;;;0.2;2.65;2.85;;5;2.85;;2.85
010000180;M1010;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;1;0;0;1;0;0;0;0;1;0.48;;;2;1.48;0;1.48
010000180;M1090;;;;;;;;;;;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;0;0;0;0;0;0;0;0;0.07;0;;;0;0.07;0;0.07
010000180;M9999;0;0;0;0;0.77;0;0;0;0;0.78;Q20;2024;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;1;0;0;1;0;0;0;0;1.07;0.48;1.55;0;2;1.55;0;1.55
