BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2024;010000024;CH DE FLEYRIAT;010780054;1000;0.8;;;;;
Q21;2024;010000024;CH DE FLEYRIAT;010780054;2000;177.46;;;68.78;4.4;6
Q21;2024;010000024;CH DE FLEYRIAT;010780054;2100;170.27;;;68.78;4.4;6
Q21;2024;010000024;CH DE FLEYRIAT;010780054;2300;1.62;;;;;
Q21;2024;010000024;CH DE FLEYRIAT;010780054;2400;3.86;;;;;
Q21;2024;010000024;CH DE FLEYRIAT;010780054;2500;1.71;;;;;
Q21;2024;010000024;CH DE FLEYRIAT;010780054;9999;178.26;;;68.78;4.4;6
Q21;2024;010000032;CH BUGEY SUD;010780062;2000;26.26;;;3.97;;
Q21;2024;010000032;CH BUGEY SUD;010780062;2100;24.56;;;3.97;;
Q21;2024;010000032;CH BUGEY SUD;010780062;2400;1.7;;;;;
Q21;2024;010000032;CH BUGEY SUD;010780062;9999;26.26;;;3.97;;
Q21;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2000;18.4;;;1.84;;
Q21;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2100;12.47;;;1.84;;
Q21;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2400;5.93;;;;;
Q21;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;9999;18.4;;;1.84;;
Q21;2024;010000081;CH DU PAYS DE GEX;010780112;2000;1.5;;;;;
Q21;2024;010000081;CH DU PAYS DE GEX;010780112;2400;1;;;;;
Q21;2024;010000081;CH DU PAYS DE GEX;010780112;2500;0.5;;;;;
Q21;2024;010000081;CH DU PAYS DE GEX;010780112;9999;1.5;;;;;
Q21;2024;010000099;CH DE MEXIMIEUX;010780120;2000;1.85;;;;0.66;
Q21;2024;010000099;CH DE MEXIMIEUX;010780120;2400;1.85;;;;0.66;
Q21;2024;010000099;CH DE MEXIMIEUX;010780120;9999;1.85;;;;0.66;
Q21;2024;010000107;CH DE PONT DE VAUX;010780138;2000;2.88;;;;;
Q21;2024;010000107;CH DE PONT DE VAUX;010780138;2100;1.24;;;;;
Q21;2024;010000107;CH DE PONT DE VAUX;010780138;2400;1.64;;;;;
Q21;2024;010000107;CH DE PONT DE VAUX;010780138;9999;2.88;;;;;
Q21;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2000;3.78;;;;;
Q21;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2100;1.77;;;;;
Q21;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2400;1.02;;;;;
Q21;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2500;0.99;;;;;
Q21;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;9999;3.78;;;;;
Q21;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2000;2.85;;;;;
Q21;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2100;1.79;;;;;
Q21;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2400;1.06;;;;;
Q21;2024;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;9999;2.85;;;;;
Q21;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2000;1.55;0;;0;0;
Q21;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2100;0.55;0;;0;0;
Q21;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2400;1;0;;0;0;
Q21;2024;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;9999;1.55;0;;0;0;
Q21;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2000;3.65;0;;0.17;0;
Q21;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2100;3.65;0;;0;0;
Q21;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2400;0;0;;0.17;0;
Q21;2024;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;9999;3.65;0;;0.17;0;
Q21;2024;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1000;;0;;0;0.83;
