BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSOIN;ADMIN;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2024;010000024;010780054;1000;4.81;1.4;115.11;121.32;11.08;71.81;6.12;63.98;40.79;0.71;3.49;1.42;199.4;3.01;6.7;9.71;7.46;239.07;576.96
Q24;2024;010000024;010780054;2000;;;150.9;150.9;17.01;386.36;75.62;326.22;61.61;11.89;33.21;29.12;941.04;6.28;0.05;6.33;95.3;27.34;1220.91
Q24;2024;010000024;010780054;2100;;;143.04;143.04;15.51;341.03;74.37;271.85;44.85;9.41;33.21;25.21;815.44;5.4;0.05;5.45;79.64;25.62;1069.19
Q24;2024;010000024;010780054;2300;;;6.56;6.56;1;19.78;1.25;11.94;3.95;1.88;;;39.8;;;;15.66;1.07;63.09
Q24;2024;010000024;010780054;2400;;;1.3;1.3;0.5;14.15;;25.64;1.08;0.6;;2.21;44.18;0.88;;0.88;;0;46.36
Q24;2024;010000024;010780054;2500;;;;;;11.4;;16.79;11.73;;;1.7;41.62;;;;;0.65;42.27
Q24;2024;010000024;010780054;9999;4.81;1.4;266.01;272.22;28.09;458.17;81.74;390.2;102.4;12.6;36.7;30.54;1140.44;9.29;6.75;16.04;102.76;266.41;1797.87
Q24;2024;010000032;010780062;1000;1.8;;27.83;29.63;2.06;8.1;0.38;6.58;23.31;0.86;0.19;0.84;42.32;;0.22;0.22;1.88;24;98.05
Q24;2024;010000032;010780062;2000;;;31.96;31.96;5.82;81.81;4.19;70.78;17.1;2.48;11.11;8.53;201.82;;1.52;1.52;24.34;7.17;266.81
Q24;2024;010000032;010780062;2100;;;30.6;30.6;4.76;72.16;4.19;57.53;13.08;0.55;11.11;4.41;167.79;;1.34;1.34;24.34;6.86;230.93
Q24;2024;010000032;010780062;2400;;;1.36;1.36;1.06;9.65;;13.25;4.02;1.93;;4.12;34.03;;0.18;0.18;;0.31;35.88
Q24;2024;010000032;010780062;9999;1.8;;59.79;61.59;7.88;89.91;4.57;77.36;40.41;3.34;11.3;9.37;244.14;;1.74;1.74;26.22;31.17;364.86
Q24;2024;010000065;010780096;1000;0.6;;11.12;11.72;2.13;6.5;;15.01;1.5;;;;25.14;0.13;0.23;0.36;;10.71;47.93
Q24;2024;010000065;010780096;2000;;;7.4;7.4;6.14;57.56;;73.28;1.52;4.06;;13.61;156.17;1.17;3.46;4.63;4.37;;172.57
