BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;UNIT;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2024;010000024;CH DE FLEYRIAT;010780054;REAADU;12;4392;495;512;48;3169;13;44;80;;6.88;;1.8;;32.97;;20.17;;;;3.45;
REA;2024;010000024;CH DE FLEYRIAT;010780054;SIADU;6;2196;542;;;1410;;;;;2.58;;;;6.81;;5.08;;;;;
REA;2024;010000024;CH DE FLEYRIAT;010780054;SITOT;6;2196;542;;;1410;;;;;;;;;;;;;;;;
REA;2024;010000024;CH DE FLEYRIAT;010780054;USINVADU;6;2196;542;;;1410;;;;;;;;;;;;;;;;
REA;2024;010780195;CLINIQUE CONVERT;010000156;REAADU;10;3650;614;;;1954;;59;170;;0;10;0;0;11.95;0;5.66;0;0;1;2.12;0
REA;2024;010780195;CLINIQUE CONVERT;010000156;SIADU;8;2928;1408;;;1979;;;;;;;;;;;;;;;;
REA;2024;010780195;CLINIQUE CONVERT;010000156;SITOT;8;2928;1408;;;1979;;;;;;;;;;;;;;;;
REA;2024;010780195;CLINIQUE CONVERT;010000156;USICADU;8;2928;1408;;;1979;;;;;;;;;;;;;;;;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;REAADU;10;3660;473;478;15;4899;19;46;56;;7.6;;1.2;;27.54;;24.32;;;;6.02;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;SIADU;18;6570;1699;;;5457;;;;;;;1.07;;26.88;;14.92;;;;4.3;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;SITOT;18;6570;1699;;;5457;;;;;;;;;;;;;;;;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;USICADU;12;4387;1102;;;3644;;;;;;;;;;;;;;;;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;USIHADU;1;343;17;;;285;;;;;;;;;;;;;;;;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;USINVADU;4;1635;555;;;1358;;;;;;;;;;;;;;;;
REA;2024;020000162;CH SAINT-QUENTIN;020000063;USIPADU;1;205;25;;;170;;;;;;;;;;;;;;;;
REA;2024;020000394;CH LAON;020000253;REAADU;8;2920;247;249;9;2929;8;32;35;;2.67;;0.13;;21.04;;11.03;;;;0.83;
REA;2024;020000394;CH LAON;020000253;SIADU;10;2190;571;;;1462;;;;;1.95;;;;7.37;;3;;;;0.6;
REA;2024;020000394;CH LAON;020000253;SITOT;10;2190;571;;;1462;;;;;;;;;;;;;;;;
REA;2024;020000394;CH LAON;020000253;USICADU;6;2190;535;;;1364;;;;;;;;;;;;;;;;
REA;2024;020000394;CH LAON;020000253;USIPADU;4;;36;;;98;;;;;;;;;;;;;;;;
REA;2024;020000519;CH SOISSONS;020000261;REAADU;8;2928;320;327;20;2234;16;45;48;;4.97;;0.36;;14.24;;13.18;;0.2;;1.21;
REA;2024;020000519;CH SOISSONS;020000261;SIADU;16;4744;1160;;;2983;;;;;1.88;;0.56;;13.97;;8.91;;;;7.74;
REA;2024;020000519;CH SOISSONS;020000261;SITOT;16;4744;1160;;;2983;;;;;;;;;;;;;;;;
REA;2024;020000519;CH SOISSONS;020000261;USICADU;6;2196;565;;;1415;;;;;;;;;;;;;;;;
REA;2024;020000519;CH SOISSONS;020000261;USINVADU;6;2196;550;;;1376;;;;;;;;;;;;;;;;
REA;2024;020000519;CH SOISSONS;020000261;USIPADU;4;352;45;;;192;;;;;;;;;;;;;;;;
REA;2024;020000535;CH CHAUNY;020000287;AUTSIADU;4;1460;204;;;1130;;;;;;;;;;;;;;;;
REA;2024;020000535;CH CHAUNY;020000287;SIADU;10;3650;741;;;3196;;;;;1.38;;0;;10.1;;11.68;;0;;4.82;
REA;2024;020000535;CH CHAUNY;020000287;SITOT;10;3650;741;;;3196;;;;;;;;;;;;;;;;
REA;2024;020000535;CH CHAUNY;020000287;USICADU;6;2190;537;;;2066;;;;;;;;;;;;;;;;
REA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;REAADU;9;3282;313;321;9;2795;12;39;67;;4.03;;;;21.9;;16;;;;1;
REA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;SIADU;6;1374;295;;;1006;;;;;1.2;;;;2;;3;;;;0.2;
REA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;SITOT;6;1374;295;;;1006;;;;;;;;;;;;;;;;
REA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;USICADU;3;1098;251;;;824;;;;;;;;;;;;;;;;
REA;2024;020001061;CH CHÂTEAU-THIERRY;020004404;USIPADU;3;276;44;;;182;;;;;;;;;;;;;;;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;AUTSIADU;;266;149;;;1049;;;;;;;;;;;;;;;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;REAADU;;;;;;;0;0;0;;0;6;;;3.56;;3.2;;;;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SIADU;8;365;168;;;1163;;;;;11;;;;10.3;;7.2;;;;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SIPED;;;0;;;0;;;;;;;;;;;;;;1;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SITOT;8;365;168;;;1163;;;;;;;;;;;;;;;;
REA;2024;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;USIPADU;8;99;19;;;114;;;;;;;;;;;;;;;;
REA;2024;030000061;CH DE MOULINS;030780092;REAADU;8;2836;363;371;14;2880;9;44;71;;5.86;0;0;0;19.72;0;13.98;0;0;0;3;0
REA;2024;030000061;CH DE MOULINS;030780092;SIADU;6;2194;525;;;1428;;;;;0.3;;0.49;;10.43;;9.14;;;;0.5;
REA;2024;030000061;CH DE MOULINS;030780092;SITOT;6;2194;525;;;1428;;;;;;;;;;;;;;;;
REA;2024;030000061;CH DE MOULINS;030780092;USICADU;6;2194;525;;;1428;;;;;;;;;;;;;;;;
REA;2024;030000079;CH DE MONTLUCON;030780100;REAADU;8;2920;384;399;21;3164;11;45;55;;5.74;;1;;25.77;;15.91;;;;2.24;
REA;2024;030000079;CH DE MONTLUCON;030780100;SIADU;12;4380;1125;;;3835;;;;;1.75;4;;;6.92;;6.51;;;;2.31;
REA;2024;030000079;CH DE MONTLUCON;030780100;SITOT;12;4380;1125;;;3835;;;;;;;;;;;;;;;;
REA;2024;030000079;CH DE MONTLUCON;030780100;USICADU;8;2920;831;;;2953;;;;;;;;;;;;;;;;
REA;2024;030000079;CH DE MONTLUCON;030780100;USINVADU;4;1460;294;;;882;;;;;;;;;;;;;;;;
REA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;REAADU;8;2928;361;371;25;2155;6;43;46;;5.25;;;;16.57;;11.57;;0.8;;2.33;
REA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SIADU;9;3272;965;;;2140;;;;;4.21;;;;12.31;;11.35;;;;1.68;
REA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;SITOT;9;3272;965;;;2140;;;;;;;;;;;;;;;;
REA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;USICADU;8;2906;887;;;1912;;;;;;;;;;;;;;;;
REA;2024;030000087;CH JACQUES LACARIN VICHY;030780118;USINVADU;1;366;78;;;228;;;;;;;;;;;;;;;;
REA;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;REAADU;6;2196;138;139;5;1712;1;65;35;;4.19;;0.75;;14.11;;6.98;;0.75;;1.93;
REA;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;REAADU;8;2928;291;291;15;1743;18;55;35;;3.72;;0.6;;16.29;;11.08;;;;2.25;
REA;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;REAADU;8;2920;312;316;22;2149;16;36;45;;6.36;0;1.3;0;22.67;0;14.58;0;0;0;4.15;0
REA;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SIADU;4;1464;54;;;196;;;;;0;0;0;0;0;0;0;0;0;0;0;0
REA;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SITOT;4;1464;54;;;196;;;;;;;;;;;;;;;;
REA;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;USIPADU;4;1464;54;;;196;;;;;;;;;;;;;;;;
REA;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;REAADU;10;3660;365;379;21;2233;6;45;53;;6.9;;0.96;;28;;16.23;;0.8;;;
