BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMSAS;DRMLIB;REF;REF_TERR;REF_PED;REF_PSY;REF_GER;REF_AUT;NRML;NBLIB;NBSAL;NBINFLIB;NBINFSAL;NBMED;NBINF;CAR;SAMUSDIS
SMURSAMU;2024;010000024;CH DE FLEYRIAT;010780054;1;1;0;0;0;;0;1;2;3;0;0;1056;244;276;0;0;0;1576;629;140;3;95;293;482;63;63;269;213;383432;8909;366361;331529;218176;216681;144724;88252;0;;;;;;0;3;7;0;0;10;0;12141;1
SMURSAMU;2024;010000032;CH BUGEY SUD;010780062;1;1;0;0;0;;0;0;0;2;0;0;509;23;3;0;0;0;535;347;62;;111;209;192;12;18;60;132;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;1;0;0;0;;0;0;0;1;0;0;463;18;0;0;0;0;481;272;73;0;31;168;171;13;27;105;66;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;0;0;0;;0;0;0;2;0;0;564;33;;;;;597;352;109;;15;228;207;56;67;48;159;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020000162;CH SAINT-QUENTIN;020000063;1;0;0;1;0;;0;0;1;2;0;0;1057;212;368;5;48;0;1690;1024;11;8;167;838;1057;94;239;947;110;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020000394;CH LAON;020000253;1;1;0;0;0;;0;1;2;3;1;0;729;349;292;86;218;0;1674;321;110;37;15;374;769;75;75;584;185;316802;56426;247333;214082;153255;106248;;;0;;;;;;0;0;;;;0;;1173;0
SMURSAMU;2024;020000519;CH SOISSONS;020000261;1;1;0;0;0;;0;0;;2;;;703;3;;;;;706;409;104;5;31;269;566;53;144;526;40;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020000535;CH CHAUNY;020000287;1;1;0;0;0;;0;0;;1;;;515;0;;;;;515;306;58;3;17;214;209;10;31;120;89;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020001061;CH CHÂTEAU-THIERRY;020004404;1;1;0;0;0;;0;0;1;1;;;546;80;;;;;626;71;62;0;9;0;479;39;90;395;84;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020001087;CH HIRSON;020004495;1;1;0;0;0;;0;0;;1;;;435;13;8;;;;456;254;54;73;29;254;217;32;72;187;30;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;1;0;0;0;1;020000063;0;0;;;;;292;;;;;;292;187;33;5;13;136;119;7;10;99;20;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;030000061;CH DE MOULINS;030780092;1;1;0;0;0;;0;1;2;2;1;0;775;266;62;94;71;0;1268;394;118;2;63;211;365;74;72;307;58;300897;36590;251611;236384;180295;151743;0;50393;1;2;0;0;0;0;1;2;0;0;0;2;0;2832;0
SMURSAMU;2024;030000079;CH DE MONTLUCON;030780100;1;1;0;0;0;;0;0;2;2;0;0;963;178;52;83;61;0;1337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;030000087;CH JACQUES LACARIN VICHY;030780118;1;1;0;0;0;;0;0;2;2;0;0;1121;147;28;233;4;0;1533;219;166;0;112;219;528;88;100;505;23;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;1;0;0;0;;0;0;1;2;0;0;661;77;0;0;0;0;738;189;35;4;22;121;547;41;91;356;191;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;1;0;0;0;;0;0;0;1;0;0;400;89;0;16;11;0;516;339;64;5;32;267;292;16;62;127;165;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;1;0;0;0;;0;1;1;2;1;0;359;52;0;477;11;0;899;48;25;0;3;20;760;0;0;465;295;186647;3447;176663;169373;72356;45287;14973;12069;0;;;;;;0;9;0;0;0;9;0;1110;1
SMURSAMU;2024;050000231;CH LES ESCARTONS A BRIANCON;050000116;1;1;0;0;0;;0;0;0;1;0;0;186;16;0;410;3;0;615;51;62;28;28;51;434;;;337;97;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;0;0;0;;0;1;0;3;1;0;528;126;175;301;216;0;1346;109;100;21;21;109;677;119;107;525;152;91640;2045;88596;88072;49698;47438;6773;14099;0;;;;;;0;38;0;0;0;38;0;301;0
SMURSAMU;2024;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;1;0;0;0;;0;0;0;1;0;0;814;129;0;0;0;0;943;418;112;3;44;282;664;70;212;430;234;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;0;0;;0;0;2;2;0;0;1274;80;0;0;0;0;1354;667;121;0;419;127;741;53;147;577;164;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;0;0;0;;0;0;;2;;;1262;112;;;;;1374;336;191;8;97;35;897;71;396;746;151;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;060002102;CH LA PALMOSA DE MENTON;060791761;1;1;0;0;0;;0;0;0;1;0;0;489;60;0;0;0;0;549;270;64;2;35;169;407;;;199;208;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;1;1;1;0;;0;1;5;5;1;0;3078;2200;0;206;84;0;5568;;;;;;;;;;;542332;65635;447004;339642;377788;274206;148071;0;0;;0;0;0;0;0;37;0;0;0;37;0;7215;0
SMURSAMU;2024;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;1;1;1;0;;0;0;1;0;0;0;0;361;187;0;72;0;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;070000013;CH DE PRIVAS ARDECHE;070002878;1;1;0;0;0;;0;1;0;1;0;0;598;0;0;0;0;0;598;;;;;;;;;;;225521;;212262;;143062;136426;65162;35210;0;;0;0;0;0;0;63;1;;1;64;1;2950;1
SMURSAMU;2024;070000179;CH ARDECHE NORD;070780358;1;1;0;0;0;;0;0;0;2;0;0;764;9;0;0;0;0;773;471;65;4;32;255;362;39;54;;362;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;1;1;0;0;;0;0;1;2;;;920;29;87;;;;1036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;1;0;0;0;;0;0;1;1;;;652;6;;;;;658;143;84;3;36;0;532;55;124;406;126;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;1;0;0;0;;0;0;1;1;0;0;471;68;12;;;;551;145;46;;61;38;336;42;104;267;69;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;1;0;0;0;;0;0;1;1;0;0;350;66;17;0;0;0;433;71;31;1;38;101;433;22;106;347;86;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;1;0;0;0;;0;1;2;2;;;1583;451;;;;;2034;628;165;11;142;310;954;;;871;83;197974;26986;168534;156406;113395;73038;0;0;0;;;;;;0;0;0;0;0;0;0;681;0
SMURSAMU;2024;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;1;0;0;0;1;080011174;0;0;;1;;;591;3;;;;;594;379;36;4;62;277;179;;;96;83;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;1;0;0;0;;0;1;2;3;1;0;1154;366;;117;0;0;1637;117;92;36;23;;867;82;145;606;261;151630;6494;145136;125000;80284;62538;20734;9322;0;;;;;;1;0;0;0;0;0;0;370;1
SMURSAMU;2024;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;1;0;0;0;;0;0;1;1;0;0;279;93;57;0;0;0;429;137;54;0;15;68;182;15;20;142;40;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;0;0;0;100000017;0;1;2;4;0;0;2628;464;173;0;0;0;3265;1279;291;34;286;668;1334;160;208;1258;76;216652;;216596;;140064;88654;26427;10369;0;;;;;;0;0;0;0;0;0;0;1124;0
SMURSAMU;2024;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;1;0;0;0;100006279;0;0;0;1;0;0;539;41;0;0;0;0;580;289;93;6;41;149;306;40;112;203;103;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;1;0;0;0;1;100000017;0;0;;1;;;443;9;0;0;0;0;452;331;57;5;60;209;107;8;21;96;11;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;110000023;CH CARCASSONNE;110780061;1;1;0;0;0;;0;1;3;4;1;0;1327;202;123;155;50;0;1857;887;199;7;117;503;853;60;154;800;53;161052;2627;156728;144619;121063;104276;49029;26341;0;;;;;;0;0;0;;0;0;0;3271;1
SMURSAMU;2024;110000056;CH NARBONNE;110780137;1;1;0;0;0;;0;0;2;5;1;0;1191;445;111;204;39;;1990;476;4;1;4;393;1350;89;279;1052;298;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;1;0;0;0;1;110780061;0;0;;1;;;271;30;;;;;301;171;24;;26;119;108;9;22;42;66;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;1;0;0;0;1;110780061;0;0;;1;;;365;;;;;;365;330;32;5;63;225;61;1;16;47;14;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;0;0;0;;0;1;2;2;1;0;934;168;239;331;253;0;1925;440;192;;81;167;792;81;167;705;87;163584;13455;150129;122512;95771;89256;36231;29562;0;;;;;;1;;;;;;;3454;0
SMURSAMU;2024;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;1;0;0;0;;0;0;;;;;227;32;;;;;259;50;46;0;4;;177;16;28;155;22;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;1;0;0;0;;0;0;;;;;306;;;;;;306;146;51;;23;72;152;19;41;59;93;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2024;120004569;CH MILLAU;120004528;1;1;0;0;0;;0;0;1;2;1;;234;79;;;;;313;92;41;;9;42;259;18;24;155;104;;;;;;;;;;;;;;;;;;;;;;;
